Target,Redshift,Distance [Mpc],Phase,Limiting Magnitude,Limiting Magnitude Error,,,
ASASSN-14co,0.033,146,1180,25.94,0.08,,,
ASASSN-14dc,0.044,195,1198,25.97,0.08,,,
ASASSN-14eu,0.02272,99,990,25.8,0.07,,,
ASASSN-14ew,0.0196,85,962,25.81,0.05,,,
ASASSN-14lo,0.01993,87,808,25.82,0.07,,,
ASASSN-14lq,0.026,114,878,25.81,0.08,,,
ASASSN-14lw,0.016,69,768,25.82,0.05,,,
ASASSN-15de,0.05172,230,652,25.79,0.07,,,
ASASSN-15hy,0.025,109,695,25.8,0.07,,,
ASASSN-15jo,0.015,65,666,25.77,0.08,,,
ASASSN-15nr,0.023,100,540,25.77,0.05,,,
ASASSN-15sh,0.033,145,516,25.75,0.07,,,
ASASSN-15ut,0.011,51,330,25.81,0.05,,,
LSQ15aae,0.05,222,746,25.8,0.07,,,
LSQ15adm,0.073,330,728,25.85,0.06,,,
LSQ15bxe,0.044,195,452,25.79,0.06,,,
MasterOT0442,0.016,69,926,25.8,0.07,,,
OGLE-2014-SN-107,0.067,301,756,25.84,0.07,,,
OGLE-2014-SN-141,0.063,283,726,25.82,0.07,,,
PS1-13dsg,0.05,222,1472,25.94,0.07,,,
PS1-14oo,0.05,222,1094,25.86,0.08,,,
PS15cwx,0.046,204,618,25.94,0.06,,,
PS15sv,0.038,167,910,25.8,0.1,,,
PSNJ02+42,0.03,131,898,25.77,0.08,,,
PSNJ08+48,0.043,190,790,25.79,0.07,,,
PTF11kx,0.046,205,2134,25.84,0.07,,,
iPTF13asv,0.036,158,1509,25.98,0.06,,,
iPTF13ebh,0.01327,57,1380,25.98,0.07,,,
iPTF13s,0.06,269,1561,25.98,0.06,,,
iPTF14aqs,0.08,366,1108,25.94,0.06,,,
iPTF14atg,0.0051,93,1111,26,0.07,,,
iPTF14bdn,0.01558,68,1022,25.83,0.05,,,
iPTF14fpg,0.02,86,1074,25.94,0.06,,,
iPTF14fyq,0.065,280,818,25.87,0.08,,,
iPTF14gmo,0.066,300,868,25.8,0.07,,,
iPTF14gnl,0.0537,241,1050,25.95,0.07,,,
iPTF14ibo,0.08,366,954,25.97,0.06,,,
iPTF14sz,0.03,132,1091,25.82,0.06,,,
iPTF15agv,0.035,155,662,25.83,0.07,,,
iPTF15akf,0.0527,235,580,25.8,0.08,,,
iPTF15clp,0.02,86,822,25.91,0.07,,,
iPTF15eod,0.026,114,378,25.82,0.08,,,
iPTF15go,0.03,132,763,25.79,0.07,,,
iPTF15wd,0.05735,256,764,25.78,0.07,,,
iPTF16abc,0.023,100,245,25.76,0.06,,,
SN 2012cg,0.00147,6.3,1738,25.77,0.08,,,
SN 2012gl,0.00937,40,1584,25.82,0.06,,,
SN 2013I,0.036,160,1686,25.98,0.06,,,
SN 2013bh,0.07436,320,1566,25.94,0.07,,,
SN 2013dn,0.052,233,1555,25.91,0.07,,,
SN 2013dy,0.00388,17,1278,25.79,0.07,,,
SN 2013gh,0.0088,38,1478,25.97,0.07,,,
SN 2013gv,0.033,145,1136,25.79,0.07,,,
SN 2013hh,0.012,52,1278,25.93,0.07,,,
SN 2014I,0.03,131,1056,25.84,0.06,,,
SN 2014J,0.00068,3,1048,25.77,0.06,,,
SN 2014R,0.02515,110,1064,25.73,0.07,,,
SN 2014ab,0.02323,101,1098,25.5,0.1,,,
SN 2014ai,0.023,100,1021,25.82,0.06,,,
SN 2014aj,0.02,87,980,25.8,0.07,,,
SN 2014aw,0.037,164,1054,25.82,0.07,,,
SN 2014bn,0.05,200,1090,25.96,0.05,,,
SN 2014ch,0.044,195,1426,25.98,0.07,,,
SN 2014dl,0.033,145,998,25.95,0.07,,,
SN 2014dt,0.00525,23,862,25.71,0.07,,,
SN 2015F,0.004,24,602,25.81,0.07,,,
SN 2015aw,0.01962,85,510,25.81,0.09,,,
SN 2015bd,0.0186,81,430,25.5,0.1,,,
SN 2015bp,0.004,18,754,25.81,0.06,,,
SN 2015bq,0.02818,123,718,25.8,0.08,,,
