Target,Redshift,Distance [Mpc],Phase,50% Limiting Magnitude,Log 50% Luminosity Limit,50% Luminosity Limit [erg/s/Hz],50% Luminosity Limit [erg/s/A]
ASASSN-14co,0.033,146,1180,25.94,24.79,6.17E+24,2.51E+36
ASASSN-14dc,0.044,195,1198,25.97,24.98,9.55E+24,3.89E+36
ASASSN-14eu,0.02272,99,990,25.8,24.64,4.37E+24,1.78E+36
ASASSN-14ew,0.0196,85,962,25.81,24.3,2.00E+24,8.12E+35
ASASSN-14lo,0.01993,87,808,25.82,24.26,1.82E+24,7.41E+35
ASASSN-14lq,0.026,114,878,25.81,24.49,3.09E+24,1.26E+36
ASASSN-14lw,0.016,69,768,25.82,24.02,1.05E+24,4.26E+35
ASASSN-15de,0.05172,230,652,25.79,25.09,1.23E+25,5.01E+36
ASASSN-15hy,0.025,109,695,25.8,24.72,5.25E+24,2.14E+36
ASASSN-15jo,0.015,65,666,25.77,24.09,1.23E+24,5.01E+35
ASASSN-15nr,0.023,100,540,25.77,24.61,4.07E+24,1.66E+36
ASASSN-15sh,0.033,145,516,25.75,24.78,6.03E+24,2.45E+36
ASASSN-15ut,0.011,51,330,25.81,23.77,5.89E+23,2.40E+35
LSQ14fmg,0.06,269,330,,23.77,5.89E+23,2.40E+35
LSQ15aae,0.05,222,746,25.8,25.17,1.48E+25,6.02E+36
LSQ15adm,0.073,330,728,25.85,25.43,2.69E+25,1.10E+37
LSQ15bxe,0.044,195,452,25.79,24.99,9.77E+24,3.98E+36
MasterOT0442,0.016,69,926,25.8,24.85,7.08E+24,2.88E+36
OGLE-2014-SN-107,0.067,301,756,25.84,25.3,2.00E+25,8.12E+36
OGLE-2014-SN-141,0.063,283,726,25.82,25.41,2.57E+25,1.05E+37
PS1-13dsg,0.05,222,1472,25.94,25.1,1.26E+25,5.13E+36
PS1-14oo,0.05,222,1094,25.86,25.04,1.10E+25,4.46E+36
PS15cwx,0.046,204,618,25.94,25.25,1.78E+25,7.24E+36
PS15sv,0.038,167,910,25.8,24.96,9.12E+24,3.71E+36
PSNJ02+42,0.03,131,898,25.77,24.76,5.75E+24,2.34E+36
PSNJ08+48,0.043,190,790,25.79,24.94,8.71E+24,3.55E+36
PSNJ23-15,0.058,259,790,,24.94,8.71E+24,3.55E+36
PTF11kx,0.046,205,2134,25.84,25.01,1.02E+25,4.17E+36
iPTF13asv,0.036,158,1509,25.98,24.75,5.62E+24,2.29E+36
iPTF13daw,0.07,318,1509,,24.75,5.62E+24,2.29E+36
iPTF13dud,0.06,269,1509,,24.75,5.62E+24,2.29E+36
iPTF13ebh,0.01327,57,1380,25.98,23.92,8.32E+23,3.39E+35
iPTF13s,0.06,269,1561,25.98,25.13,1.35E+25,5.49E+36
iPTF14abk,0.035,155,1561,,25.13,1.35E+25,5.49E+36
iPTF14aqs,0.08,366,1108,25.94,25.42,2.63E+25,1.07E+37
iPTF14atg,0.0051,93,1111,26,24.2,1.58E+24,6.45E+35
iPTF14bdn,0.01558,68,1022,25.83,24,1.00E+24,4.07E+35
iPTF14fpg,0.02,86,1074,25.94,24.2,1.58E+24,6.45E+35
iPTF14fyq,0.065,280,818,25.87,25.39,2.45E+25,9.99E+36
iPTF14gmo,0.066,300,868,25.8,25.38,2.40E+25,9.77E+36
iPTF14gnl,0.0537,241,1050,25.95,25.09,1.23E+25,5.01E+36
iPTF14ibo,0.08,366,954,25.97,25.57,3.72E+25,1.51E+37
iPTF14sz,0.03,132,1091,25.82,24.74,5.50E+24,2.24E+36
iPTF15agv,0.035,155,662,25.83,24.71,5.13E+24,2.09E+36
iPTF15akf,0.0527,235,580,25.8,25.12,1.32E+25,5.37E+36
iPTF15clp,0.02,86,822,25.91,24.3,2.00E+24,8.12E+35
iPTF15eod,0.026,114,378,25.82,24.47,2.95E+24,1.20E+36
iPTF15go,0.03,132,763,25.79,24.64,4.37E+24,1.78E+36
iPTF15wd,0.05735,256,764,25.78,25.18,1.51E+25,6.16E+36
iPTF16abc,0.023,100,245,25.76,24.4,2.51E+24,1.02E+36
SN 2012cg,0.00147,6.3,1738,25.77,22.41,2.57E+22,1.05E+34
SN 2012gl,0.00937,40,1584,25.82,23.6,3.98E+23,1.62E+35
SN 2013I,0.036,160,1686,25.98,24.77,5.89E+24,2.40E+36
SN 2013bh,0.07436,320,1566,25.94,25.35,2.24E+25,9.11E+36
SN 2013dn,0.052,233,1555,25.91,25.17,1.48E+25,6.02E+36
SN 2013dy,0.00388,17,1278,25.79,23.11,1.29E+23,5.24E+34
SN 2013gh,0.0088,38,1478,25.97,23.47,2.95E+23,1.20E+35
SN 2013gv,0.033,145,1136,25.79,24.99,9.77E+24,3.98E+36
SN 2013hh,0.012,52,1278,25.93,23.76,5.75E+23,2.34E+35
SN 2014E,0.01896,82,1278,,23.76,5.75E+23,2.34E+35
SN 2014I,0.03,131,1056,25.84,24.59,3.89E+24,1.58E+36
SN 2014J,0.00068,3,1048,25.77,24.63,4.27E+24,1.74E+36
SN 2014R,0.02515,110,1064,25.73,24.5,3.16E+24,1.29E+36
SN 2014ab,0.02323,101,1098,25.5,24.51,3.24E+24,1.32E+36
SN 2014ai,0.023,100,1021,25.82,24.35,2.24E+24,9.11E+35
SN 2014aj,0.02,87,980,25.8,24.48,3.02E+24,1.23E+36
SN 2014ap,0.0235,102,980,,24.48,3.02E+24,1.23E+36
SN 2014aw,0.037,164,1054,25.82,24.78,6.03E+24,2.45E+36
SN 2014bn,0.05,200,1090,25.96,25.01,1.02E+25,4.17E+36
SN 2014ch,0.044,195,1426,25.98,24.91,8.13E+24,3.31E+36
SN 2014dl,0.033,145,998,25.95,24.72,5.25E+24,2.14E+36
SN 2014dt,0.00525,23,862,25.71,23.13,1.35E+23,5.49E+34
SN 2014eg,0.018,78,862,,23.13,1.35E+23,5.49E+34
SN 2015F,0.004,24,602,25.81,23.51,3.24E+23,1.32E+35
SN 2015aw,0.01962,85,510,25.81,24.21,1.62E+24,6.60E+35
SN 2015bd,0.0186,81,430,25.5,24.37,2.34E+24,9.54E+35
SN 2015bp,0.004,18,754,25.81,22.94,8.71E+22,3.55E+34
SN 2015bq,0.02818,123,718,25.8,24.53,3.39E+24,1.38E+36
