t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
778266285.995,778266381.995,778266346.7841251,778266314.871,778266374.944,-0.009958675314768135,0.05156827309508366,-2.0514871148422358e-18,1.0623064257587234e-17,,,,-0.046104257792470626,0.05558133112660886,-9.49747710524895e-18,1.1449754212081425e-17,,,,0.10679044258836229,0.03564278122930423,2.1998831173202632e-17,7.342412933236671e-18,22.508669033925695,0.312697294356731,0.44092939285026844,8.0,8.976801107191802,38.0,34.07613551409946,84.05996725562844,9.813927028060647,12.852323507571935,0.8912222083763166,587.8209228515625,345.1772766113281,195.6584525661067,351.54886964173716,-8.838085072613618,14.375,0.0
779443901.995,779444001.995,779443947.7563637,779443907.028,779443991.293,-0.015197475629236627,0.06092688184362322,-3.1306799796227448e-18,1.2550937659786383e-17,,,,-0.010643507440059466,0.06046948579669774,-2.19256253265225e-18,1.2456714074119735e-17,,,,0.14462409580455948,0.04199275630149558,2.979256373573925e-17,8.650507798108088e-18,22.17939835814401,0.276775506592557,0.3724016489083901,11.0,11.861307098888409,49.0,45.5129307535656,82.01473643034845,13.107724057026894,12.734231556279338,0.9274288697039226,594.1278076171875,462.18426513671875,203.84427517310732,351.54914636064973,-8.838283617566306,14.636363983154297,0.0
811811462.995,811813075.995,811812250.8914634,811811464.36,811813074.34,0.01600291222383347,0.014376271011167356,3.2965999181096947e-18,2.9615118283004754e-18,24.56950244216446,0.6959426756176121,2.4822681293079505,0.01040960556324076,0.014512636448465885,2.1443787460275964e-18,2.989603108383972e-18,25.036414315741766,0.9478820882291004,,0.15472361554101915,0.010439067382721353,3.1873064801449944e-17,2.1504478808405987e-18,22.10610848665631,0.07088830914396382,0.07584195395549997,205.0,219.67964034003063,733.0,683.8832986222719,1419.819718999462,196.95839000321433,204.8998770943349,0.9333661310331824,282.6006774902344,551.149658203125,191.38657241476864,351.54900937269383,-8.838263764214506,13.219511985778809,0.0
842412947.995,842414484.995,842413676.5479076,842412955.52,842414483.695,0.03673612415207747,0.014203721850796235,7.567641575327958e-18,2.9259667012640243e-18,23.66726666472431,0.35491073399043316,0.5307145935857207,0.0057349710027909135,0.014982260600109367,1.181404026574928e-18,3.0863456836225297e-18,25.683671934101522,1.3945012369883187,,0.15599315360779,0.010692792022054372,3.213458964320474e-17,2.2027151565432007e-18,22.09723615500496,0.0719836129924829,0.07709710734884467,184.0,212.8280355880031,654.0,564.9562247984796,1364.3421564712496,162.70739274196217,205.00357288275526,0.8648856402348762,238.4780731201172,274.3885803222656,204.61564362591176,351.54905812882635,-8.83804621973358,11.14673900604248,0.0
845035104.995,845035207.995,845035151.1419231,845035115.245,845035206.445,0.037708722400762944,0.053898913166610975,7.767996814557166e-18,1.110317611232186e-17,23.638895453903615,0.9637246387985101,,0.012456499194824203,0.05638786147265888,2.566038834133786e-18,1.1615899463367729e-17,24.84150998929561,1.8561809171795538,,0.15248016397107533,0.04071238283346091,3.141091377804152e-17,8.386750863692948e-18,22.121966624206415,0.2569425434824879,0.3372418027568287,13.0,14.027286173368209,40.0,36.66077618969142,91.99417031076324,10.55830354263113,12.881360864963666,0.9268938410970768,304.1520080566406,575.7980346679688,200.22933489550084,351.54892876549127,-8.838445834901638,12.769230842590332,0.0
845041020.995,845041126.995,845041080.2455,845041022.03,845041122.17,0.011375792427776879,0.048060556360898385,2.343413240122037e-18,9.900474610345067e-18,24.940045852605905,1.7951761590954263,,-0.025527844969208645,0.05195714257377473,-5.258736063656981e-18,1.0703171370197594e-17,,,,0.11504717022442905,0.03485651450134404,2.3699717066232382e-17,7.180441987276873e-18,22.42781014763892,0.2873409181585984,0.3918804405139156,10.0,10.893914616939849,37.0,34.08587199657138,94.69085241895539,9.816731135012558,13.311168017493157,0.9180367790301837,206.43490600585938,463.07659912109375,203.58315983804667,351.5487761589035,-8.83856107301269,11.399999618530273,0.0
903693244.995,903694683.995,903693939.1851647,903693245.9,903694669.885,0.004841062336854822,0.01577318492201821,9.972588413920933e-19,3.2492760939357515e-18,25.86764831262016,1.5730670149037778,,-0.008789856468625885,0.01611526781429942,-1.8107104325369322e-18,3.3197451697456803e-18,,,,0.1578627984719519,0.011239829792056063,3.251973648522209e-17,2.3154049371635487e-18,22.084300506548125,0.07467640064131587,0.08019447236879529,182.0,197.26049812970075,717.0,663.9279705326412,1249.5692464538997,191.21125551340072,208.24403245363953,0.9229707911283365,432.4544982910156,706.1969604492188,307.9121190334378,351.5490513055141,-8.838179398484733,8.373626708984375,32.0
903699157.995,903700601.995,903699881.3952192,903699175.66,903700600.845,0.02805230314393106,0.016929235371617182,5.778774447649798e-18,3.48742248655314e-18,23.960078691488505,0.512664455597367,1.0043598500990747,0.014648332666899164,0.01724371611217104,3.0175565293812277e-18,3.552205519107234e-18,24.665529514174747,0.8447355633690243,,0.19275786126653735,0.012431616091226647,3.9708119420906696e-17,2.5609129147926894e-18,21.86746975258216,0.06785746577426366,0.07238289809220078,228.0,240.41912823821337,753.0,713.3007593849406,1247.2597831212292,205.43061870286294,222.1488520130091,0.9484573574389694,87.71637725830078,476.99334716796875,321.6349429723196,351.5491085863614,-8.838293168869617,7.0789475440979,32.0
968884151.995,968885223.995,968884635.5748119,968884152.215,968885201.6,0.04226689457568767,0.017088475669369114,8.70698028259166e-18,3.520225987890037e-18,23.51499914847726,0.3686491943737167,0.5624297143985686,0.008011661792496202,0.0181089703851975,1.6504023292542175e-18,3.730447899350685e-18,25.320693481182314,1.2831526902513097,,0.16037910601670813,0.01296795183205105,3.303809583944187e-17,2.6713980774025164e-18,22.067130529230425,0.08442171659548237,0.09154360426917307,133.0,152.95116849699733,450.0,391.1175682928609,953.6851295396486,112.64185966834395,145.31056578259273,0.8697298388362266,403.842529296875,557.6326293945312,157.6794561166133,351.54904411295365,-8.838190889662823,13.187970161437988,0.0
968948584.995,968950281.995,968949435.6903677,968948600.925,968950280.105,0.06720391171856734,0.013503631781557631,1.384400581402487e-17,2.781748147000872e-18,23.01151361839424,0.1987989405578432,0.2435450074508303,0.0023150503002951133,0.015027384162461108,4.769003618607934e-19,3.0956411374669883e-18,26.66859892100677,2.1863740759348147,,0.16968678067896545,0.010662394451660806,3.495547681986688e-17,2.196453257042126e-18,22.00587997437377,0.06616537515116505,0.07046070551901806,204.0,253.2716212385776,660.0,531.1256885849418,1492.5831006114045,152.96419831246328,249.81621628329177,0.8058028015618842,372.5632629394531,250.807861328125,151.69399718518056,351.54894423299453,-8.838202807075575,11.980392456054688,0.0
