t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
782390649.995,782392204.995,782391431.9409505,782390657.3,782392194.35,0.04963182060846995,0.015239915490497788,1.022415504534481e-17,3.1394225910425444e-18,23.34059948399389,0.29073828570679794,0.39825993111041313,0.044093061048703724,0.015371479479113492,9.083170576032966e-18,3.1665247726973794e-18,23.469074375841043,0.3247195446265678,0.4654047469294973,0.18452420848967202,0.01158325175218819,3.8011986948872436e-17,2.386149860950767e-18,21.914866622220465,0.06610191031963808,0.07038873469474183,242.0,253.77317385318503,677.0,644.1504508299674,1375.2839041029617,185.51532983903064,193.13269671027354,0.9538030422670793,675.8756103515625,561.087158203125,319.46271288650536,38.43305653034098,-8.097262382738545,8.570247650146484,32.0
784805590.995,784806806.995,784806169.909941,784805596.87,784806806.77,0.055679979476751025,0.016464323696053947,1.1470075772210711e-17,3.391650681387113e-18,23.215752333688393,0.2812574412055078,0.38059896165685103,0.03413067197961031,0.017060543665200382,7.030918427799724e-18,3.5144719950312786e-18,23.747137902643296,0.440126509951444,0.752270133171109,0.1739626359707543,0.012702760902764378,3.5836303009975384e-17,2.6167687459694616e-18,21.97886005076233,0.0765195957728757,0.08232415172567542,169.0,187.54941422034264,491.0,442.78032459873214,1078.1017037007446,127.52073348443487,150.7530786106735,0.9018044891055499,374.5545349121094,734.2538452148438,335.2209789593244,38.432941853810696,-8.097145875620926,8.39645004272461,32.0
784811990.995,784812727.995,784812343.2952999,784811996.085,784812718.36,0.052088823128840854,0.020914531216388723,1.0730297564541215e-17,4.308393430576077e-18,23.28813863677073,0.3664956754333524,0.5573698687996647,,,,,,,,0.1694917347134186,0.016075377301695098,3.491529735096423e-17,3.31152772414919e-18,22.007128688429166,0.09838121059352645,0.10819214404230948,100.0,111.16669631543998,297.0,267.36992516222057,655.8826983711256,77.00253844671954,,0.9001124701166684,381.67327880859375,735.7760009765625,336.27576710408385,38.43307443695746,-8.09719385536309,8.59000015258789,96.0
876812128.995,876812250.995,876812191.42225,876812132.825,876812247.015,0.06859395521408748,0.05472808569818155,1.413035477410202e-17,1.12739856538254e-17,22.98928538612799,0.6368871447526949,1.735846841435066,0.0632987533479477,0.055173482405708046,1.3039543189677226e-17,1.1365737375575857e-17,23.076512108030805,0.6805535688799758,2.2288932626856948,0.19629963892297064,0.042598463583791296,4.043772561813195e-17,8.775283498261006e-18,21.847701248120533,0.2132329988648891,0.2656057805704357,20.0,21.234944511618252,51.0,47.967752298632576,108.17617713474753,13.814712662006185,14.387527357041968,0.9419999241163491,202.216064453125,548.8416137695312,247.53244464095755,38.43279204294985,-8.097108189078012,9.399999618530273,0.0
878391633.995,878391765.995,878391691.7169999,878391639.885,878391762.83,0.016746395594586,0.04751179260548687,3.4497574924847158e-18,9.787429276730295e-18,24.520196634527704,1.460017824984618,,,,,,,,,0.14049074692236552,0.03464415915726672,2.89410938660073e-17,7.136696786396945e-18,22.210880696388188,0.23931248088506152,0.30742714863666976,15.0,16.4450573616964,55.0,50.29450832642358,117.05438060475153,14.484818398009995,,0.9122425399554529,559.5282592773438,569.174072265625,232.52770208083663,38.433162519923705,-8.096900102969022,9.866666793823242,0.0
908804458.995,908806147.995,908805301.425088,908804462.125,908806139.465,0.047839819963420606,0.013217764871381127,9.855002912464645e-18,2.722859563504512e-18,23.380526158514837,0.26487521239856093,0.3510917337167996,0.0329534670117251,0.013583567758189814,6.78841420441537e-18,2.7982149581871017e-18,23.785247217102008,0.37474398613274573,0.5769343782023668,0.15655878901809822,0.01015421440944328,3.2251110537728235e-17,2.0917681683453155e-18,22.093306366509903,0.06823005559070339,0.07280701586011062,227.0,237.71809863116727,600.0,573.188716158546,1518.3951033479636,165.07835025366126,187.68171568222522,0.9550941423329335,218.64407348632812,571.705078125,249.7450819046187,38.43288069701945,-8.097201618423508,9.647577285766602,0.0
971805723.995,971807145.995,971806444.3163528,971805732.885,971807126.88,0.08028371153111878,0.015957917185592252,1.653844457541047e-17,3.2873309402320037e-18,22.818431395511684,0.19683880563185951,0.24060570967454709,0.04818131736975561,0.016757012720474883,9.925351378169655e-18,3.4519446204178256e-18,23.3728033243252,0.3240561153580259,0.4640324844672783,0.19649806870634964,0.012649774415089009,4.0478602153508026e-17,2.6058535295083357e-18,21.84660428439565,0.06773775987532815,0.07224670329488703,207.0,241.29649358122242,579.0,495.5186687851972,1227.9840467125423,142.7093766101368,182.13060450156863,0.8581689612649123,605.7897338867188,296.1087341308594,230.52724285224724,38.43297179871377,-8.09721117470809,11.280193328857422,0.0
974171790.995,974173463.995,974172622.502323,974171796.34,974173460.01,0.061583542465869695,0.013550728158093928,1.2686209747969157e-17,2.791450000567349e-18,23.1063383320568,0.21593351904072833,0.2698165847243885,0.035909532057862535,0.014171193938428923,7.397363603919683e-18,2.9192659513163583e-18,23.691975635473057,0.36115217549066614,0.544958515743172,0.16783191638897965,0.010603787281689798,3.457337477612981e-17,2.1843801800280983e-18,22.01781361601565,0.06651801067509311,0.07086076727003032,226.0,250.51116883853513,611.0,550.6584957666452,1492.6312838967526,158.58964678079386,196.91147789887617,0.9023876045628827,163.95106506347656,377.8756103515625,237.08350491331734,38.43301784881126,-8.09724509977396,9.756637573242188,0.0
975733243.995,975734081.995,975733714.7839545,975733253.11,975734079.09,0.057128258290652316,0.018989844043603828,1.1768421207874377e-17,3.911907872982389e-18,23.187872540946532,0.3115924223265374,0.4387208800468301,0.0276191918570673,0.019999589709434655,5.689553522555863e-18,4.119915480143539e-18,23.9769725827815,0.5914182798092504,1.398196678370354,0.16371204256770613,0.014778897643612563,3.3724680768947465e-17,3.044452914584188e-18,22.044798432375163,0.09383887542726654,0.10272316683472837,110.0,122.70921321758229,309.0,277.3928052704357,749.5429859219649,79.8891279178855,102.00744168428444,0.8966044469994696,164.3180389404297,352.0045166015625,240.51934058518975,38.4330653310462,-8.09712899999698,9.245454788208008,65.0
976035052.995,976036362.995,976035645.011959,976035072.405,976036350.105,0.0522695908461254,0.015764724472385718,1.0767535714301831e-17,3.2475332413114577e-18,23.284377248606084,0.2861972948734248,0.3897458437878605,0.029705898775679702,0.016373808290168546,6.119415147790019e-18,3.37300450777472e-18,23.89789325790573,0.47666753181199795,0.8698611106564869,0.16937001924975323,0.01212173372841864,3.489022396544916e-17,2.4970771480542398e-18,22.007908657780785,0.07505089626006978,0.08062654464745478,171.0,195.22866927801957,534.0,468.67636541172595,1152.6754861504453,134.9787932385771,160.98740796522705,0.8760783534492599,617.7305297851562,408.02618408203125,217.87841387214903,38.433060943204836,-8.097160873382997,11.485380172729492,0.0
976040966.995,976042277.995,976041636.845663,976040979.075,976042274.24,0.062208522251683274,0.01552522635268695,1.2814955583846754e-17,3.1981966286535118e-18,23.095375287736484,0.24189931641543083,0.31172093679200685,0.03247377880409126,0.01632356915853761,6.6895984336427996e-18,3.3626552466587474e-18,23.801167929630143,0.44215847866901115,0.7583866596902631,0.17204211471692477,0.012129042071223497,3.54406756316865e-17,2.4985826666720405e-18,21.9909130694996,0.07396710933374351,0.07937701025571187,181.0,201.19470157495414,496.0,445.9893297240396,1169.4502936446495,128.44492696052342,163.21823141675821,0.8998789852441539,169.43397521972656,372.4634704589844,232.20454828047812,38.433193554777226,-8.09724561819463,9.480663299560547,0.0
