t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
759310740.995,759312146.995,759311467.5000548,759310745.465,759312142.12,0.07170434409718397,0.013928495752134276,1.47710948840199e-17,2.8692701249396606e-18,22.941136331183156,0.19273719819888768,0.23449784103876326,0.053216496590409446,0.014434872585208763,1.0962598297624345e-17,2.973583752553005e-18,23.26488429954307,0.2605757759865064,0.34355072175327805,0.160714996185835,0.011173798687399573,3.3107289214282013e-17,2.3018025296043122e-18,22.064858994200875,0.072977911000919,0.07823887061160661,182.0,206.87648061278836,452.0,397.8361211825171,1287.2257444698985,114.57680290056494,138.37483617111874,0.8799322822031177,469.6322021484375,488.0469665527344,112.2537834336963,189.5373862302639,62.31318248300926,15.049450874328613,0.0
759316657.995,759318078.995,759317337.7034242,759316658.505,759318060.52,0.0521477936695912,0.013384568810100524,1.0742445495935786e-17,2.757221174880708e-18,23.286910153730815,0.24804971574688395,0.3220400950577833,0.036121921304347,0.013838070984056365,7.441115788695482e-18,2.8506426227156112e-18,23.68557289467231,0.35212880133827795,0.5244515236802769,0.14235010037439516,0.010471836529673938,2.93241206771254e-17,2.1571983251128314e-18,22.196605555714225,0.07706980506618422,0.08296139154937876,165.0,184.78633306254827,456.0,406.57177478871495,1298.1117159492092,117.09267113914993,137.89604381478009,0.8930910763940271,421.2779846191406,508.8270263671875,110.88766521744837,189.53744099753123,62.31326055610003,15.775757789611816,0.0
759322734.995,759324068.995,759323395.5354098,759322738.495,759324054.775,0.03371119914461561,0.012682931262838718,6.944507023790815e-18,2.6126838401447756e-18,23.760564497173757,0.34672209441766455,0.5124267505406799,,,,,,,,0.1148845015681164,0.009708637683979759,2.366620732303198e-17,1.99997936289983e-18,22.42934638905905,0.08808171021623323,0.09586339125847232,122.0,140.0252319640126,394.0,343.5307231874171,1218.834830222856,98.93684827797614,,0.8714860463391102,501.4798583984375,453.0693664550781,114.51864178600049,189.53721797263387,62.31316801261934,15.631147384643555,65.0
759328498.995,759330198.995,759329312.7425128,759328508.935,759330196.1,0.05463503799066563,0.01222481369784291,1.125481782607712e-17,2.518311621755639e-18,23.23632187649752,0.21923539871331243,0.27500170025949444,0.036516720544076994,0.012692238245138602,7.52244443207986e-18,2.614601078498552e-18,23.673770580141912,0.32388101991254103,0.46367073914850465,0.14355981886163996,0.00960642077371242,2.957332268549783e-17,1.9789226793847582e-18,22.187417745787084,0.07032537123772897,0.07519791638636164,197.0,223.3276996683726,545.0,480.3303258129604,1555.6421109977248,138.33513383413262,166.52075143447067,0.8823545667442023,444.6327819824219,497.6956787109375,107.40824394003064,189.5370561604998,62.31314064661045,15.842639923095703,0.0
759334410.995,759336115.995,759335199.3084254,759334412.74,759336089.8,0.04567232534446693,0.011855500906917843,9.408499020960186e-18,2.4422331868250754e-18,23.43086719078972,0.2505621009593142,0.32630075212048837,0.024842691041461994,0.012405533368540509,5.1175943545411704e-18,2.555539873919345e-18,24.092003404375085,0.4397673422323578,0.751193745221812,0.13253293092078286,0.009214460122308143,2.730178376968127e-17,1.8981787851954777e-18,22.274190494124838,0.07297817950957608,0.07823917924656243,181.0,206.87490655968102,539.0,470.776068463458,1560.9321028547508,135.58350771747592,168.09715259176087,0.8751410213509482,485.0913391113281,471.843505859375,111.36438086715648,189.5372668676553,62.31319008575994,15.469613075256348,0.0
759340327.995,759342033.995,759341139.4684182,759340343.245,759342030.025,0.058627705309398745,0.011989776543197385,1.2077307293736141e-17,2.4698939678986614e-18,23.159742759462468,0.20202332697435565,0.24840910364424573,0.03536005413857951,0.012595655970483427,7.284171152547378e-18,2.594705129919586e-18,23.70871769681226,0.3308185123991798,0.4781418702593889,0.14158823320862768,0.009520710042185295,2.91671760409773e-17,1.9612662686901706e-18,22.2024320937502,0.07065751484826777,0.07557782367614863,196.0,221.1646169744269,507.0,449.9533651854142,1562.026815099422,129.5865691733993,165.93126422659842,0.8864133034172598,439.9364929199219,504.7291259765625,112.08529472931616,189.53723502176766,62.313221425840766,15.770408630371094,0.0
759346244.995,759347950.995,759347095.1331675,759346248.055,759347944.465,0.0476700418390664,0.012172787470648021,9.820028618847679e-18,2.5075942189534925e-18,23.384386167252472,0.24691646313968363,0.3201269260787498,0.03288439541373778,0.012556418492330213,6.774185455229982e-18,2.5866222094200237e-18,23.787525345808085,0.3511405997347552,0.5222392567345757,0.13930431476768124,0.009454184447228347,2.869668884214233e-17,1.9475619961290395e-18,22.22008857917028,0.07129304973793182,0.0763054462470798,191.0,217.11058360444184,563.0,495.8860338245533,1558.5345218238117,142.8151777414714,165.85911812282689,0.8800275375303612,457.2054138183594,495.3011779785156,111.15203054475637,189.5372610617088,62.31318562200986,16.345550537109375,0.0
759369914.995,759371620.995,759370731.4959211,759369917.96,759371606.655,0.04853790166682456,0.01207077352578052,9.99880774336586e-18,2.486579346310787e-18,23.36479750625954,0.24113448411044658,0.31044858597747194,0.03175972326472005,0.012507632293080866,6.54250299253233e-18,2.5765722523746584e-18,23.82530822602865,0.360517173230253,0.5434970110316542,0.13810773507485427,0.009401214913943825,2.8450193425419977e-17,1.936650272272428e-18,22.229454992433734,0.07150092140270559,0.07654363645567841,190.0,215.80825063439818,553.0,485.98103318591006,1562.60799235778,139.9625375575421,166.1802532258753,0.8805946259655795,468.1859436035156,485.1729431152344,109.10432229757336,189.537289499767,62.313180027666775,15.731578826904297,0.0
759375832.995,759376679.995,759376293.3102063,759375841.72,759376670.6,0.05403128304550329,0.017258313648181554,1.1130444307373677e-17,3.5552126115254e-18,23.248386798579084,0.3009521930483814,0.41779145059951617,0.03381722437525226,0.01799774905468236,6.966348221301966e-18,3.707536305264566e-18,23.757155102429664,0.46329330190415163,0.8248647093311696,0.1424901677709762,0.01355603601493985,2.93529745608211e-17,2.792543419077609e-18,22.195537755456755,0.09867077503346522,0.10854249438878938,97.0,110.4852665271067,272.0,238.15979162694333,775.3887040451041,68.5900199885597,84.26377274437735,0.8781078838229045,477.632080078125,475.8602600097656,108.54270544815832,189.53740660202882,62.31312085695585,15.041236877441406,0.0
759381750.995,759382702.995,759382207.2840477,759381753.21,759382695.005,0.0537833206773218,0.015922974465203407,1.107936405952829e-17,3.2801327398319017e-18,23.253380967939115,0.28156096993475543,0.38115757948344253,0.029653632785789082,0.01676954785268791,6.108648353872551e-18,3.4545268576537092e-18,23.899805237015872,0.4866424680102597,0.9050608153160944,0.1374157802089192,0.012554487026054276,2.8307650723037355e-17,2.5862243273671807e-18,22.234908479978955,0.09492139335604222,0.10402194855301161,105.0,119.80509050600601,289.0,253.1751318726339,871.843760038775,72.91443797931858,93.95175579923456,0.8766927822039564,471.8566589355469,482.8316345214844,109.65609472747181,189.53730993717167,62.313324659060065,15.647619247436523,0.0
759387667.995,759388727.995,759388149.6487501,759387668.65,759388725.275,0.06021434599064808,0.015530113041944871,1.2404155274073505e-17,3.1992032866406433e-18,23.13075006577876,0.24912723628604283,0.32386416617476854,0.04030244015471257,0.01617908218585775,8.30230267187079e-18,3.3328909302866966e-18,23.566671645587405,0.36643762982564,0.5572339508585564,0.14679426046933394,0.012316938042420204,3.023961765668279e-17,2.537289236738562e-18,22.163227311581657,0.08747917931388116,0.09515005517875608,124.0,142.0406454485087,333.0,290.8896214511717,967.6171601966803,83.77621097793745,103.04331275700908,0.8732528982900108,485.6970520019531,472.56121826171875,112.29031622295061,189.537473925432,62.31321236838217,15.879032135009766,0.0
759399501.995,759401093.995,759400271.262237,759399510.905,759401093.2,0.07254094750491791,0.012662990090340146,1.4943435186013087e-17,2.6085759586100698e-18,22.928541940283292,0.1746911043237951,0.20829061705836693,0.04745801880576023,0.013324356882349923,9.776351873986607e-18,2.7448175177640842e-18,23.3892259897639,0.2686701661125923,0.3578168034701221,0.15327871521109124,0.010248350467766901,3.1575415333484797e-17,2.1111601963599815e-18,22.116295371314138,0.07026948096347141,0.07513401333486058,190.0,223.69473653781478,483.0,409.1270210956328,1459.3985618273778,117.82858207554227,154.43457214551165,0.8495753361441727,383.7490539550781,281.1442565917969,119.9615813019801,189.53725793231746,62.31316581824094,14.6578950881958,65.0
759405419.995,759407123.995,759406293.8106523,759405424.815,759407120.995,0.06325962889669937,0.012467234065434304,1.3031483552720069e-17,2.5682502174794665e-18,23.07718340034367,0.19530831596080844,0.23831987456042114,0.04708327876822991,0.012876982018691786,9.69915542625536e-18,2.652658295850508e-18,23.397833253836147,0.26249203651135744,0.34690159857730407,0.15268826570839586,0.00990057435421631,3.1453782735929544e-17,2.03951831696856e-18,22.120485844390874,0.06821267623282523,0.07278722607305,207.0,237.84309360413693,555.0,483.69211284773934,1557.7038124093294,139.30332850014895,164.50129076613396,0.8707996096272864,513.228759765625,433.5731506347656,118.10126367489165,189.53717160376115,62.31324992963822,15.309178352355957,8.0
