t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
775817271.995,775817363.995,5e-324,-2.6815615859885194e+154,5e-324,-0.022548469472148214,0.01590401663732324,-3.15678572610075e-17,2.2265623292252537e-17,,,,,,,,,,,0.0,0.0,0.0,0.0,inf,,,5e-324,5e-324,9.0,6.979559380832936,89.1463211799262,2.010113101679886,,5e-324,5e-324,5e-324,565.685424949238,160000.0,5e-324,5e-324,0.0
775852798.995,775852873.995,775852823.8234999,775852811.206,775852836.441,0.016005607106247353,0.02636799920843304,2.2407849948746295e-17,3.691519889180626e-17,23.3093196201238,1.0570581884290817,,0.011320542084954859,0.027566140152655388,1.5848758918936803e-17,3.859259621371755e-17,23.685331941069926,1.3398341692546154,,0.03320673665852225,0.021401347510421914,4.6489431321931156e-17,2.996188651459068e-17,22.516934504833696,0.540076855646511,1.1228647262679239,2.0,2.4075214103430724,5.0,4.33020481918943,72.50099385255915,1.2470989879265562,1.5867708582341231,0.8308974362048038,449.464111328125,168.0720977783203,237.1439439210501,332.82114322396046,-0.041001655612007595,9.0,0.0
777177408.995,777178263.995,777177934.2383333,777177589.63,777178193.435,-0.002858117880310121,0.004890658677960655,-4.00136503243417e-18,6.846922149144917e-18,,,,-0.013055639340937949,0.006007174659577162,-1.8277895077313128e-17,8.410044523408027e-18,,,,0.00859386039048206,0.0032022068778134968,1.2031404546674885e-17,4.483089628938896e-18,23.984529264556677,0.34387236579691205,0.5061657977541998,6.0,7.202409606460962,40.0,33.32556719547985,838.0878067832974,9.597763352298198,18.14418174786138,0.8354541252498228,504.0892333984375,190.3323974609375,234.08347242800522,332.8219420228627,-0.040546367947097074,12.166666984558105,0.0
777183324.995,777184052.995,777183685.8336111,777183356.275,777183999.43,0.019249582815864107,0.007749422783491654,2.6949415942209752e-17,1.0849191896888316e-17,23.108946695613565,0.3673161179864515,0.5592935946561681,,,,,,,,0.03093490753185082,0.0066021571927354005,4.330887054459115e-17,9.243020069829561e-18,22.593877944500846,0.21002871752134666,0.26064405510041766,18.0,21.954619955524212,35.0,28.795551385266645,709.7037524007326,8.293118798956796,,0.8211285657062528,493.98101806640625,191.349853515625,228.83906000669842,332.8220981529074,-0.040504979733173546,12.11111068725586,0.0
903278982.995,903280543.995,903279742.102381,903279085.425,903280495.84,0.005324804451457329,0.00425816985507218,7.45472623204026e-18,5.961437797101052e-18,24.504240841653772,0.6379916509977228,1.7457199934604901,-0.00440853288052685,0.004952572135361614,-6.1719460327375906e-18,6.9336009895062596e-18,,,,0.01645899946738432,0.0032886958155003395,2.304259925433805e-17,4.604174141700475e-18,23.278991422050105,0.1977824650789124,0.24201910774031177,21.0,25.047215417034177,71.0,58.833184411899104,1521.7945335418804,16.943957110626943,31.756096655559578,0.8397234705454011,552.3840942382812,564.7029418945312,224.3835360393777,332.82203870439884,-0.0405330668529153,18.714284896850586,0.0
903622220.995,903623677.995,903623093.076591,903622503.16,903623652.245,0.0075597647786439775,0.0048216901224953385,1.0583670690101568e-17,6.750366171493474e-18,24.123729293299302,0.5356584935417601,1.1026574931961157,,,,,,,,0.020339904180127735,0.0037785771808049083,2.847586585217883e-17,5.290008053126872e-18,23.049127743348798,0.18500263994086552,0.22313442592246346,22.0,28.976185305158282,82.0,63.217222507888366,1424.5979257595652,18.206560082271853,,0.7605961765827526,557.0668334960938,249.80076599121094,217.32418199849877,332.8222134257931,-0.04075432887976285,12.636363983154297,8.0
903941791.995,903943237.995,903942427.6352856,903941811.055,903943213.79,0.0021715174696913557,0.00578968523555827,3.040124457567898e-18,8.105559329781578e-18,25.47809168105482,1.4105383858251912,,0.003710781675820836,0.005695380435020065,5.195094346149171e-18,7.973532609028092e-18,24.896336491637815,1.0098676399840834,,0.024904883420943935,0.004186193636304627,3.486683678932151e-17,5.860671090826479e-18,22.829288717117617,0.16868821887402063,0.19980556317391063,35.0,35.39406140229829,114.0,112.18044078496077,1421.1695274402855,32.3079669460687,30.120411561637923,0.9900640567315703,410.49627685546875,618.3016357421875,218.5538285995955,332.82203251033593,-0.04076464771799857,16.542856216430664,0.0
904953294.995,904954532.995,904953888.9194,904953311.48,904954479.305,0.002329337479990708,0.005656523476751122,3.2610724719869914e-18,7.919132867451571e-18,25.401918963206224,1.337723324068694,,-0.0005996857288924501,0.005866116088657404,-8.395600204494301e-19,8.212562524120366e-18,,,,0.020567453155976433,0.004118061473759534,2.8794434418367004e-17,5.7652860632633485e-18,23.037048707902862,0.1981541718458999,0.24257668743707939,25.0,24.94453329691802,77.0,76.80373565325507,1212.8158556019225,22.119475868137464,25.67184165729698,1.003163433379277,181.3487091064453,418.7831115722656,219.456584065628,332.8220956700276,-0.04074341358564933,9.039999961853027,0.0
906231733.995,906232733.995,906232143.2668,906231810.025,906232725.77,0.012631047058680775,0.0065153101568578885,1.7683465882153084e-17,9.121434219601044e-18,23.5664016170877,0.4516170104106223,0.7874763982821023,0.006050362861162789,0.007012344487740802,8.470508005627905e-18,9.817282282837123e-18,24.365546446065096,0.8356294391086507,,0.02708867315694669,0.0052609332180813765,3.792414241972537e-17,7.365306505313927e-18,22.738030667070895,0.19270316859402925,0.2344474058060655,25.0,26.512451587224145,52.0,49.13225038741462,978.7283206385184,14.150088111575412,20.590790104864627,0.9445889409301996,438.5066833496094,611.0923461914062,214.57572855097007,332.82178260009374,-0.040788196045900504,17.360000610351562,0.0
906284409.995,906285988.995,906285367.2921429,906284425.3,906285964.325,0.0031401710688501658,0.005229646136385496,4.396239496390232e-18,7.321504590939695e-18,25.077616729949185,1.0644066629776248,,0.0009676239852650801,0.005361945934144196,1.3546735793711121e-18,7.506724307801875e-18,26.355733437435255,2.039168941557282,,0.022771429024120507,0.003832399344827678,3.188000063376871e-17,5.36535908275875e-18,22.926524285801165,0.16888462924666925,0.2000814026262283,35.0,35.3052309560419,107.0,105.68282482987823,1550.4178907105495,30.436653551004937,33.80500941780628,0.9926744967086435,372.0267028808594,622.9246826171875,224.67291664036745,332.8220355701002,-0.04088439476189105,16.485713958740234,0.0
