t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
745869733.995,745871242.995,745870487.4806414,745869735.15,745871239.37,0.6479121391128183,0.02752528100536537,1.3346990065724057e-16,5.670207887105266e-18,20.55120970787582,0.045172501499109785,0.04713381859273724,0.6527532187663255,0.0274570787176995,1.3446716306586305e-16,5.656158215846097e-18,20.543127444917246,0.04473545064319495,0.04665818560703627,0.8130062668861633,0.02509498791881881,1.6747929097854963e-16,5.1695675112766745e-18,20.304765266815597,0.03300649401954203,0.03404143953723349,1029.0,1049.575790376341,755.0,740.0465694673809,1290.9811807432257,213.13341200660574,206.883669279449,0.9806214882467059,519.4063110351562,654.422119140625,281.04889578689125,351.4001796315373,-0.014248865631346124,11.447035789489746,0.0
750114805.995,750114915.995,750114855.8381228,750114809.645,750114911.6,0.5420476837272503,0.09054262829350229,1.1166182284781357e-16,1.865178142846147e-17,20.744906267654386,0.16771260892365447,0.19843718882983552,0.5047581912279672,0.09269244187243295,1.0398018739296123e-16,1.9094643025721185e-17,20.822291561464812,0.1830466256498262,0.22029214417997878,0.6590430909561831,0.08343886149862569,1.357628767369737e-16,1.7188405468716892e-17,20.532715471281772,0.12943022553251993,0.14697458769314053,57.0,62.38653765775486,42.0,38.455051552062464,94.66230435287679,11.075054846993991,14.60496413512545,0.9139554720446146,623.13330078125,227.2779083251953,282.172626011198,351.4003819596858,-0.014375353498158643,12.035087585449219,0.0
776486355.995,776486437.995,776486402.1311427,776486357.834,776486437.166,0.6873900437224689,0.12238694175245712,1.416023490068286e-16,2.5211710001006165e-17,20.48699190637604,0.17790548038344411,0.2128810131693406,0.6797613392365816,0.12284743002936391,1.400308358827358e-16,2.5306570586048963e-17,20.49910884781455,0.18036859907699565,0.2164209903102723,0.8496257328046791,0.11214718896055229,1.750229009577639e-16,2.310232092587377e-17,20.256930856223146,0.13461222013903296,0.15369567003491014,56.0,57.39559079922944,39.0,38.0543916119036,67.55396945165754,10.959664784228238,11.47501405402359,0.9757906741807537,620.7477416992188,581.7066650390625,285.9141087545752,351.40000463699045,-0.014264081550160904,10.339285850524902,0.0
781976394.995,781978070.995,781977228.4498253,781976398.925,781978070.67,0.6053573502333572,0.024167842802806653,1.247036141480716e-16,4.97857561737817e-18,20.624970450068968,0.04250323724164673,0.044235137148533,0.5874853612146176,0.024414440501511713,1.2102198441021123e-16,5.0293747433114125e-18,20.65750737635512,0.044208157517992674,0.046084875705854955,0.738342727269441,0.02224723421625861,1.5209860181750484e-16,4.582930248549273e-18,20.409354996489487,0.03223146937252963,0.03321765255675402,1002.0,1101.447873350697,758.0,688.8383987152469,1491.7840085242,198.38545882999114,225.0466062486671,0.9099696859268392,613.9146728515625,317.2270202636719,229.370559217223,351.4001608743133,-0.014356870107207586,13.020957946777344,0.0
782000061.995,782001734.995,782000901.569552,782000066.5,782001734.445,0.6410227047493473,0.025130353917493277,1.3205067717836553e-16,5.176852907003615e-18,20.56281646921105,0.041751534994538986,0.0434215049444866,0.6416679610038506,0.02512171615875565,1.3218359996679322e-16,5.175073528703664e-18,20.56172411209852,0.04169628140258297,0.04336174547553284,0.7899127850472413,0.02305159460278809,1.627220337197317e-16,4.748628488174346e-18,20.336052142228517,0.031230935302446028,0.03215595924095993,1116.0,1174.23856526693,808.0,768.5116810651596,1486.5420429885862,221.331364146766,220.37216359594555,0.9505880221863756,391.8711242675781,626.4491577148438,226.5950124129729,351.4001895876769,-0.014352239393725447,12.773297309875488,0.0
782023730.995,782024553.995,782024153.1155757,782023731.04,782024553.89,0.5496905626193497,0.03354397388041561,1.1323625589958604e-16,6.910058619365616e-18,20.72970429792369,0.06431238046793553,0.068363048593163,0.5307930330113739,0.033930436235965915,1.0934336480034303e-16,6.989669864608978e-18,20.767686965388318,0.06727655759582518,0.07172227260015873,0.6825612937857616,0.030689616241658207,1.406076265198669e-16,6.32206094578159e-18,20.494645857576323,0.047751693676481466,0.04994886175723323,469.0,494.65271630676466,353.0,334.3455739571081,724.7008009540363,96.29152529964715,109.98658014259973,0.9483317534319212,591.0343627929688,524.7579956054688,228.1637246260013,351.400199904233,-0.014434260756190701,12.494669914245605,0.0
782035564.995,782037130.995,782036344.6338485,782035566.13,782037130.83,0.6950816552181354,0.02692255053735192,1.4318682097493588e-16,5.546045410694496e-18,20.474910433389507,0.04125975186720865,0.04288983984798023,0.6989111380425773,0.02687118782259218,1.4397569443677093e-16,5.535464691453989e-18,20.468945096082976,0.04096106639226704,0.042567176474499036,0.8498404313906042,0.024762157391527633,1.7506712886646444e-16,5.101004422654692e-18,20.256656527691046,0.031183423945510214,0.032105593802789656,1142.0,1177.8712418118635,767.0,744.7718072941701,1385.9910617390826,214.49428050072103,209.18665153496107,0.9697386116119912,254.92698669433594,575.2144165039062,227.47806694358408,351.4001742466641,-0.014315228606348337,12.048161506652832,0.0
782053317.995,782054978.995,782054150.702307,782053319.51,782054976.08,0.6681608452551597,0.02501400996907162,1.376411341225629e-16,5.152886053628753e-18,20.51779744486601,0.039904445826785206,0.04142721273640504,0.641081069293475,0.025380261754654566,1.3206270027445583e-16,5.22833392145884e-18,20.562717618400438,0.04215500877811351,0.04385807359363625,0.7930889823817721,0.023249782093537612,1.6337633037064504e-16,4.789455111268748e-18,20.331695208284163,0.03137125777722716,0.032304737616826174,1049.0,1163.606288516028,706.0,636.4318699239687,1467.182515915848,183.29237853810304,223.02335236400515,0.9017601972026668,607.5578002929688,309.3385314941406,226.49446424602706,351.4001582732954,-0.014338327190149519,12.842707633972168,0.0
782065151.995,782066810.995,782065989.5597076,782065154.1,782066809.845,0.6753299729282184,0.025389794574227922,1.3911797442321298e-16,5.230297682290952e-18,20.5062099367892,0.04007085988000014,0.041606600089643564,0.6502854012370645,0.02572865522572094,1.3395879265483528e-16,5.300102976498514e-18,20.547239989243486,0.04212930520983704,0.043830251619283445,0.8036835005064816,0.023576814692859625,1.6555880110433522e-16,4.856823826729083e-18,20.31728736894187,0.031392846769477956,0.032327631088975295,1026.0,1161.9831883514532,731.0,644.3622859169493,1445.821878412548,185.57633834408145,221.7863280306233,0.8832506639046928,583.2511596679688,306.07550048828125,205.91939959164176,351.400120203412,-0.014333491007427146,13.349902153015137,0.0
782076986.995,782078642.995,782077811.6441841,782076989.0,782078642.745,0.6749963489318118,0.025086808820762172,1.3904924787995323e-16,5.167882617077007e-18,20.506746440674494,0.0396205150246729,0.04112127912056707,0.6485024306225035,0.025444233771245127,1.3359150070823572e-16,5.241512156876496e-18,20.550220979543575,0.041784799976738896,0.04345748570680996,0.7990961685990164,0.023339846210096455,1.6461381073139737e-16,4.80800831927987e-18,20.32350237906604,0.03125767906708532,0.03218431154246559,1103.0,1172.2010783755304,672.0,632.0940916178806,1466.908645589736,182.04309838594966,220.90725620942217,0.9411767643689124,613.4639892578125,484.98028564453125,229.75753232067413,351.40013048347595,-0.014376055243717288,11.803263664245605,0.0
782094793.995,782095074.995,782094927.3247575,782094798.6,782095071.195,0.7575115980400023,0.06764356367005701,1.560473891962405e-16,1.3934574116031745e-17,20.381526783545283,0.0928658353397438,0.1015581614456984,0.7797956738616528,0.06697449895301455,1.6063790881550047e-16,1.3796746784320997e-17,20.35004794628385,0.0894618256450137,0.09750057302476378,0.9447945013765371,0.06179553504551918,1.9462766728356664e-16,1.2729880219376951e-17,20.141656607360126,0.06878817557189976,0.07344290469537995,206.0,233.75479075614413,183.0,160.8899100760183,247.41336916712623,46.33629410189328,40.82291582408306,0.8814703709981228,542.8277587890625,144.1983642578125,292.9748206400772,351.40009577864333,-0.014341473484294699,11.558252334594727,0.0
782106573.995,782107193.995,782106877.4222617,782106574.16,782107192.26,0.6984432093537963,0.04211877950764395,1.4387930112688205e-16,8.676468578574653e-18,20.46967225185215,0.06357579452425455,0.06753132325171052,0.6783390765176565,0.042553051460833165,1.3973784976263722e-16,8.765928600931632e-18,20.5013829104291,0.06605861824491299,0.07033964546912586,0.8341818874476986,0.03906052461422136,1.718414688142259e-16,8.0464680705296e-18,20.27684811050896,0.04968516194605854,0.05206833455986981,409.0,456.0845574858102,288.0,257.68891662884135,546.7447379866609,74.21440798910632,85.20623682905062,0.8969898374018446,602.3535766601562,298.7058410644531,226.29069053237157,351.4001357834325,-0.014314442750679609,13.019559860229492,0.0
782118413.995,782119712.995,782119062.7249056,782118415.585,782119712.355,0.7040925466609264,0.02941487961309868,1.4504306461215082e-16,6.059465200298328e-18,20.460925632462292,0.04443692032194235,0.04633353122764916,0.7015018954973192,0.029452949409430853,1.4450939047244775e-16,6.067307578342756e-18,20.464927877865197,0.04465425044609006,0.04656986121982243,0.8521435850026343,0.02715071099567365,1.7554157851054265e-16,5.593046465108771e-18,20.253718052636064,0.03405369235920119,0.03515645414918467,953.0,985.0610429709932,614.0,594.2501977453106,1155.9801192048496,171.14405695064949,174.13879819157415,0.9676490323856654,269.404296875,585.6181030273438,226.9566430977131,351.40019175520945,-0.014269882234872881,12.087093353271484,0.0
782136166.995,782137802.995,782137003.1350808,782136167.975,782137800.1,0.6103936832112629,0.02509246901163094,1.2574109874152014e-16,5.169048616395973e-18,20.61597492354663,0.04374015192548342,0.045576513820176245,0.6100262935852075,0.025097530352500213,1.2566541647855274e-16,5.170091252615044e-18,20.616628613649862,0.043774622983878686,0.04561394173774502,0.7605002580698167,0.02293124460703523,1.5666305316238223e-16,4.7238363890492576e-18,20.3772515855913,0.03225416319343921,0.03324175697374443,1052.0,1099.875372015203,788.0,753.7916796313928,1446.2524638804666,217.09200373384115,217.62334188572774,0.9567480389083788,342.85101318359375,619.8722534179688,227.17793580635697,351.4001939073775,-0.014280177498953639,12.672053337097168,0.0
782148002.995,782149635.995,782148801.2096975,782148003.04,782149632.215,0.7145478436995051,0.02567939491604504,1.4719685580209805e-16,5.289955352705278e-18,20.444921717535735,0.03833437269871709,0.039737547804950424,0.6774376490274152,0.026173141241254083,1.3955215569964754e-16,5.391667095698341e-18,20.502826677072818,0.04115790454167012,0.04277979566572654,0.835198020791563,0.024004079233498763,1.7205079228306198e-16,4.944840322100745e-18,20.275526358772158,0.030764683374144397,0.031661895098768156,1025.0,1210.622690942211,717.0,607.2322505235323,1449.5037833002016,174.88288815077735,228.67425572697854,0.847001399677881,520.9622192382812,214.3162841796875,221.60844028125055,351.40009743522194,-0.014310639743220851,13.060487747192383,0.0
