t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
759310740.995,759312146.995,759311436.2113851,759310757.565,759312143.635,0.06746484372005214,0.012679118451100542,1.389775780633074e-17,2.6118984009267115e-18,23.007306203324593,0.1869832267086693,0.22602525833419307,0.027663848379196027,0.013844855561740498,5.698752766114381e-18,2.8520402457185425e-18,23.975218510892823,0.44056644406889234,0.7535905113527477,0.13719965596810565,0.010324027499010624,2.826312912942976e-17,2.1267496647961886e-18,22.236617444083016,0.07877181306188419,0.08493703964599675,148.0,176.60692929455874,371.0,311.68210281760156,1287.2257444698985,89.76444561146927,140.99731146974574,0.8382423132900809,432.02508544921875,376.805419921875,39.54231458868228,189.1344685419364,62.25395319011095,15.574324607849121,0.0
759316657.995,759318078.995,759317332.706077,759316670.095,759318074.425,0.04507214065319094,0.01216786214691588,9.284860974557334e-18,2.5065796022646712e-18,23.44522953771632,0.2594786535484772,0.3416395311735272,,,,,,,,0.1186332486113368,0.00955976412537508,2.443844921393538e-17,1.9693114098272664e-18,22.394483942168343,0.08414482781278565,0.09121808926683173,130.0,153.99920992349155,393.0,331.56436138428376,1298.1117159492092,95.49053607867374,,0.8443252288171159,438.2801513671875,392.114013671875,39.08399632921589,189.13457158008168,62.2539428646234,16.75384521484375,0.0
759322734.995,759324068.995,759323393.2386134,759322748.065,759324056.955,0.04033046996651781,0.012602731165416263,8.30807681310267e-18,2.59616262007575e-18,23.565916792943003,0.29523718973379687,0.4067970713601916,,,,,,,,0.11695829173031409,0.009795871511280103,2.4093408096444702e-17,2.0179495313237013e-18,22.40992245889808,0.0873280405122614,0.09497125758049663,119.0,142.55283964427264,388.0,324.2939518396663,1218.834830222856,93.3966581298239,,0.8349627557540092,423.255126953125,364.59912109375,42.355910531364295,189.13443349023223,62.25403827649611,16.06722640991211,0.0
759328498.995,759330198.995,759329328.26509,759328514.385,759330192.705,0.05743427308884559,0.011251887762883443,1.1831460256302192e-17,2.317888879153989e-18,23.18207217791671,0.19424528435112975,0.23673692077172603,0.017681309350774287,0.012335275960371898,3.642349726259503e-18,2.541066847836611e-18,24.461213943505214,0.5746171568713301,1.2987068891012612,0.12719315434154552,0.009042260685196687,2.6201789794358375e-17,1.8627057011505176e-18,22.31884065551807,0.07456570330350232,0.0800668173613559,167.0,197.8670271243413,446.0,376.8050461555198,1555.6421109977248,108.51985329278972,170.36123772069897,0.8441832694878897,427.1454772949219,380.6316833496094,33.346793360665394,189.1344055582653,62.25401918373162,16.143712997436523,65.0
759334410.995,759336115.995,759335228.1144445,759334411.12,759336114.36,0.05569576844162594,0.011074717298935435,1.1473328298974943e-17,2.2813917635806995e-18,23.21544449915106,0.19690583825499175,0.2407060088786963,0.013820018247330576,0.01222606901020766,2.8469237589500986e-18,2.518570216102778e-18,24.728728458846348,0.688084686755726,2.34508532564967,0.12357154846766798,0.00889748445907059,2.54557389843396e-17,1.8328817985685414e-18,22.35020377792924,0.07548969246279569,0.08113321200882595,162.0,192.88679700265473,439.0,367.8801529477648,1560.9321028547508,105.9494840489563,171.314686858358,0.8400770879191779,426.6496887207031,368.7667236328125,41.057562781288965,189.13460844550093,62.25405389644797,16.179012298583984,65.0
759340327.995,759342033.995,759341188.1495365,759340333.9,759342016.065,0.039050457245004735,0.011020747531167812,8.044394192470975e-18,2.2702739914205693e-18,23.600934691418054,0.2699047944084825,0.3600188084134466,,,,,,,,0.1143846773314311,0.008557357644145551,2.3563243530274806e-17,1.7628156746939833e-18,22.434080371464578,0.07833136502561544,0.08442513655982253,151.0,178.67193322819037,485.0,408.5905273249981,1562.026815099422,117.67407186959947,,0.8453944221686005,434.72857666015625,386.1181335449219,37.40027076261578,189.13443020874823,62.25398610064459,16.192052841186523,0.0
759346244.995,759347950.995,759347089.5090384,759346254.695,759347944.82,0.05074124818175134,0.01097184384848296,1.0452697125440775e-17,2.2601998327874894e-18,23.316597134479665,0.21254040085704418,0.26453015010667613,,,,,,,,0.11917987476448966,0.00874466645856945,2.4551054201484868e-17,1.8014012904653066e-18,22.38949268818091,0.07687735851269295,0.08273842509198204,156.0,185.74594912709566,441.0,370.3609797062724,1558.5345218238117,106.66396215540648,,0.8400238668319778,435.98187255859375,379.21539306640625,41.55352016624916,189.134603679656,62.254005334994126,16.03205108642578,0.0
759369914.995,759371620.995,759370738.071645,759369930.85,759371620.455,0.04193971803625808,0.011140966763856997,8.639581915469164e-18,2.2950391533545414e-18,23.52343623413477,0.2557775269157254,0.33523099462219363,,,,,,,,0.11794620204899929,0.008687942937115334,2.4296917622093853e-17,1.7897162450457586e-18,22.400790097855634,0.07716715391658369,0.08307421135303983,155.0,184.30367799001186,490.0,412.39006732403897,1562.60799235778,118.76833938932324,,0.841324160366512,427.3282165527344,374.84490966796875,37.14310150708739,189.13475184179777,62.253985539345,15.909677505493164,65.0
759375832.995,759376679.995,759376225.6946052,759375833.97,759376679.54,0.04172905477791504,0.015681675940570326,8.596185284250498e-18,3.230425243757487e-18,23.528903631402184,0.3463863178094506,0.5116863022682843,0.005925529535070979,0.017090637734911325,1.2206590842246217e-18,3.520671373391733e-18,25.64818208212031,1.4732645949418988,,0.11620436857708023,0.012241975123909453,2.3938099926878526e-17,2.521846875525347e-18,22.416943862023068,0.10874822786365357,0.1208654644746332,76.0,90.10355475536186,237.0,200.5115175350248,775.3887040451041,57.747317050087155,85.50896608838218,0.8437178980060213,423.17266845703125,371.713134765625,36.5666420143713,189.13510279108073,62.25406636959692,16.986841201782227,65.0
759381750.995,759382702.995,759382271.427258,759381757.225,759382700.1,0.056325653527321586,0.015049097835866498,1.1603084626628247e-17,3.1001141541884987e-18,23.203234401510862,0.25709592244655255,0.33750697206015445,,,,,,,,0.1268883852276856,0.012064007639083715,2.6139007356903237e-17,2.4851855736512452e-18,22.321445323454732,0.09861039860930987,0.10846942659291514,93.0,110.62684688215397,254.0,213.60999070921048,871.843760038775,61.519677324252626,,0.8408858212900115,425.74310302734375,373.9831848144531,36.600300898699416,189.13467078288525,62.25398267638174,16.29032325744629,64.0
