t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
782639277.995,782640561.995,782639887.1445032,782639278.315,782640560.81,0.03663871409384035,0.015097936381852296,7.547575103331112e-18,3.1101748946615726e-18,23.670149442842714,0.3746452135441274,0.5766971094357984,,,,,,,,0.14871159690929325,0.01140116258731124,3.063458896331441e-17,2.3486394929861155e-18,22.14913790691755,0.08020276323302511,0.08660324095421501,161.0,170.13411112693535,471.0,445.19944550024394,1144.0540930423117,128.21744030407027,,0.9465265311638013,623.9330444335938,482.1177673339844,238.51485509547675,35.277645567101224,-5.023339281191547,11.757763862609863,0.0
783284959.995,783285980.995,783285492.4973245,783284969.17,783285979.74,-0.0047954408755928055,0.016865224109249285,-9.878608203721178e-19,3.4742361665053525e-18,,,,,,,,,,,0.12730265356102324,0.011814768943742808,2.6224346633570788e-17,2.4338424024110183e-18,22.31790635899432,0.09636016571171879,0.10575257480411793,114.0,116.09792221567027,426.0,418.3030738531438,911.9835209092329,120.47128526970545,,0.9821353445108548,206.60678100585938,543.4296875,240.77585512103013,35.277598723586955,-5.02326129290454,11.008771896362305,0.0
783349641.995,783351103.995,783350375.2214211,783349646.85,783351101.545,0.04541876965033028,0.01438512561743848,9.356266547968037e-18,2.9633358771923268e-18,23.43691158641519,0.2987352670468759,0.41350647781017713,,,,,,,,0.15659488583312767,0.011000708938459103,3.22585464816243e-17,2.2661460413225754e-18,22.09305606372073,0.07371256139649063,0.07908392248173257,190.0,202.6346921129491,532.0,499.5227093544315,1294.0058101826062,143.8625402940763,,0.9380230304037025,166.53118896484375,355.13409423828125,237.74068904162982,35.27748225415921,-5.023263397490689,10.989473342895508,65.0
784485610.995,784487317.995,784486521.1251531,784485615.025,784487303.655,0.032009291287713425,0.012740071456579797,6.5939140052689654e-18,2.624454720055438e-18,23.816809853474613,0.36377699122971663,0.5510298180980442,0.01397103058473045,0.013198074901760126,2.8780323004544727e-18,2.718803429762586e-18,24.716928891523203,0.7221172414622785,3.1426846220418483,0.13923018001679702,0.009575758910858987,2.868141708346018e-17,1.9726063356369513e-18,22.220666538356472,0.07221719958070594,0.07736513556393732,196.0,211.40748648396305,609.0,565.2933714110454,1518.402737527585,162.8044909663811,190.19383539802672,0.9273116906040356,584.832275390625,491.50732421875,206.24393424232207,35.27754451278701,-5.02313590306939,12.571428298950195,0.0
784491527.995,784493233.995,784492363.596915,784491541.14,784493231.725,0.05379336549528395,0.012419562647899665,1.1081433292028494e-17,2.558429905467331e-18,23.253178209833223,0.22553519525573407,0.2850081885727036,,,,,,,,0.14516206379690688,0.009729467103328985,2.9903385142162815e-17,2.004270223285771e-18,22.175367164949076,0.07043634550192124,0.07532482151247066,188.0,222.60153769639703,576.0,486.4967865549033,1533.4690887822733,140.11107452781218,,0.8448536818598701,443.95477294921875,81.93889617919922,321.08392645650076,35.27750397622636,-5.023278144011281,9.06382942199707,32.0
784509634.995,784510984.995,784510321.855,784509635.96,784510981.43,0.02288445962674305,0.014520088878825558,4.714198683109068e-18,2.9911383090380647e-18,24.18114834539719,0.5334593877137515,1.0927684682803758,,,,,,,,0.13883951115397786,0.0107184191088695,2.860093929771944e-17,2.207994336427117e-18,22.223717310310256,0.08074092608036665,0.08723111035609676,167.0,167.7894623096493,489.0,486.57388029180504,1208.5137790752156,140.13327752403987,,0.995501968595122,116.3267593383789,527.6011352539062,311.05073088734525,35.27758711247923,-5.023265011175409,8.706586837768555,32.0
784574363.995,784576068.995,784575185.56215,784574377.57,784576058.785,0.021956520205593175,0.012892549711793199,4.523043162352194e-18,2.655865240629399e-18,24.226091220579782,0.5015691999692322,0.9606125717039475,0.004928233146864341,0.013317468296994747,1.0152160282540541e-18,2.7433984691809177e-18,25.848271886442717,1.4211732969031523,,0.13804899754389283,0.009502057854064928,2.8438093494041924e-17,1.957423917937375e-18,22.229916856711313,0.07227265734446675,0.0774287885980236,200.0,211.0722666649925,651.0,616.3246074288401,1528.966312108727,177.50148693950595,203.53716420521934,0.9478582236785817,245.5762939453125,673.943359375,314.4704201309321,35.27771918272633,-5.0231341210751115,8.180000305175781,32.0
784864316.995,784865993.995,784865170.6498545,784864319.925,784865987.08,0.03769074029106068,0.013244487311683536,7.764292499958501e-18,2.7283643862068083e-18,23.639413331013472,0.32695895884432247,0.4700559147430958,,,,,,,,0.1501586281079037,0.010014770730571646,3.093267739022816e-17,2.063042770497759e-18,22.1386242705174,0.07010024874979592,0.0749405619263186,206.0,224.8115193946341,637.0,584.6612628417049,1497.1601847153597,168.38244369841104,,0.9165297834380512,286.61962890625,704.4234008789062,324.8518363070089,35.27753730406782,-5.023240136572736,8.213592529296875,32.0
787219756.995,787220790.995,787220225.4025862,787219762.045,787220763.935,0.03548527635550153,0.0181417880887076,7.309966929233314e-18,3.737208346273766e-18,23.704879520458455,0.44833958108472416,0.7772793524203578,0.014329608259778961,0.018769734921396667,2.951899301514466e-18,3.866565393807713e-18,24.68941420525957,0.9089626447123678,,0.16794338407870446,0.013564709493504017,3.459633712021312e-17,2.7943301556618273e-18,22.01709274994437,0.08433273818709708,0.09143898009553553,145.0,153.28681680991644,444.0,419.7860132741954,912.7291179155983,120.8983718229683,140.20776610289232,0.9462318919569823,442.2824401855469,716.283447265625,319.09720111945785,35.27758185318251,-5.0232644431775055,8.793103218078613,32.0
787243444.995,787244508.995,787243957.4630675,787243451.035,787244505.935,0.0506402376040567,0.018321560586490135,1.0431888946435679e-17,3.7742414808169675e-18,23.318760663189202,0.33528210635505573,0.48760540084050064,,,,,,,,0.18243671549333784,0.013960229437106321,3.7581963391627593e-17,2.875807264043902e-18,21.92721938799673,0.08005620749257147,0.0864323725549987,163.0,170.7809313355902,449.0,428.3891368815792,936.1105349532929,123.37607142189482,,0.9546145874892357,89.5817642211914,372.41046142578125,311.64188380698494,35.277607902531194,-5.023385933187853,8.441718101501465,97.0
