t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
755043472.995,755045165.995,755044358.0857623,755043478.375,755045156.685,0.016932379794973806,0.012088808865519057,3.488070237764604e-18,2.4902946262969257e-18,24.50820499705018,0.5849929881970297,1.3588808430850179,,,,,,,,0.11911300620508097,0.008869081482738423,2.453727927824668e-17,1.8270307854441152e-18,22.39010203595093,0.07797501158035658,0.08401129936288854,164.0,180.36866108737988,590.0,537.2519108418293,1514.2650398465548,154.72855032244686,,0.9094275210052243,602.9043579101562,333.3926696777344,213.55728718915725,36.058767326679344,-4.665805851875597,13.62195110321045,0.0
755049386.995,755051083.995,755050225.8061616,755049392.365,755051067.445,0.02121986738705052,0.012894829195576484,4.371292681732407e-18,2.6563348142887555e-18,24.2631433363426,0.5154971188474029,1.0158910773381145,,,,,,,,0.13573974523614865,0.009496721796461808,2.7962387518646623e-17,1.9563246900711322e-18,22.248232425629144,0.07342161534406344,0.07874910670826907,198.0,204.29918219374645,618.0,598.4777193787356,1505.0800473974946,172.3615831810759,,0.9693423634124961,275.9165344238281,567.3278198242188,208.315399614429,36.058770548835284,-4.66575735479631,12.939393997192383,0.0
755067138.995,755068309.995,755067694.0082031,755067147.275,755068307.55,0.03770268067675824,0.01496183760439737,7.766752219412197e-18,3.082138546505858e-18,23.639069425431458,0.3628647156226421,0.5489141713929548,,,,,,,,0.1357475078292823,0.011400810707698378,2.7963986612832154e-17,2.348567005785866e-18,22.248170337053605,0.08755859651197895,0.0952440277115798,128.0,141.77258575710118,394.0,355.54337668972653,1044.3844459774252,102.39649248664125,,0.9032048030209094,591.9779663085938,335.69891357421875,202.46029058439916,36.058813713414395,-4.665829990311748,13.9375,0.0
755073055.995,755074441.995,755073736.7830392,755073057.89,755074439.705,0.04167922941877053,0.013879529194870842,8.58592126026673e-18,2.859183014143393e-18,23.530200797584037,0.31208213119162664,0.4396989205171842,,,,,,,,0.13992711047486373,0.010638431180389369,2.882498475782193e-17,2.19151682316021e-18,22.215245335125346,0.07955931224227797,0.08585341715904349,153.0,173.00097666565756,478.0,421.77165887856586,1236.3649622903858,121.470237757027,,0.8846566079028454,571.8024291992188,288.37347412109375,204.88180973074867,36.058827409932,-4.665898004999991,13.980392456054688,0.0
755108560.995,755110252.995,755109380.7338979,755108569.125,755110238.595,0.023780134555063705,0.01258790159374152,4.898707718343123e-18,2.593107728310753e-18,24.13946423085804,0.46126385600206987,0.8182439160839401,,,,,,,,0.13150620224352846,0.009332899229251908,2.7090277662166863e-17,1.922577241225893e-18,22.282634410015035,0.07444252423785969,0.07992480149265191,186.0,198.54516647548655,602.0,564.7307059282401,1509.7779655123236,162.64244330733317,,0.9371229469159061,602.20361328125,442.5104064941406,206.62389959607862,36.05875598513279,-4.665875456604625,13.48924732208252,0.0
755114482.995,755116169.995,755115315.4331714,755114490.885,755116165.91,0.029791720477087356,0.012379403925682186,6.137094418279995e-18,2.5501572086905304e-18,23.89476103869539,0.37729899045048754,0.5830975765087878,,,,,,,,0.13045389470278826,0.009300647559962783,2.687350230877438e-17,1.9159333973523333e-18,22.291357376256464,0.0747722065182721,0.0803049773262785,175.0,196.7377607813878,593.0,527.1139299419646,1508.101856442181,151.80881182328582,,0.8897160475275873,576.7063598632812,293.8895263671875,206.11785519627176,36.058829252138416,-4.6658554870197415,13.708571434020996,0.0
755149982.995,755151063.995,755150491.892353,755149984.58,755151062.995,0.008861158458237763,0.016118974233789194,1.825398642396979e-18,3.3205086921605737e-18,25.211273742931436,1.1252605953668073,,,,,,,,,0.12998768234151525,0.011597192338410603,2.677746256235214e-17,2.389021621712584e-18,22.295244498936007,0.09278665078961268,0.10146345592975692,119.0,125.63153928229976,429.0,406.4838044559578,966.488031936975,117.06733568331586,,0.9474249192070643,537.064208984375,556.3169555664062,207.89802303548308,36.05883340630553,-4.665765453065827,13.403361320495605,0.0
755155904.995,755157103.995,755156555.9866803,755155913.135,755157080.135,0.02994849615737874,0.014711685298602097,6.16939020842002e-18,3.0306071715120317e-18,23.88906245129598,0.43386365953013595,0.7337023574699479,,,,,,,,0.13007144940552726,0.011058749902471788,2.6794718577538613e-17,2.278102479909188e-18,22.294545050801283,0.08859493794216533,0.09647168374622694,122.0,138.34131083416617,419.0,369.75245838818654,1063.57937477006,106.48870801579774,,0.8821193911350121,568.3514404296875,290.4609680175781,200.85070829448588,36.05876328365421,-4.665800924744494,14.245902061462402,0.0
755191409.995,755193087.995,755192209.006164,755191410.99,755193077.735,0.021330742607021724,0.012781080606481643,4.3941329770464754e-18,2.6329026049352182e-18,24.257485061972094,0.5097473926221525,0.9926425734887268,,,,,,,,0.13323026272780386,0.009422604784350795,2.7445434121927595e-17,1.941056585576264e-18,22.26849278921128,0.07419405415351576,0.07963844036025591,189.0,199.9234866126318,617.0,583.0377421908787,1500.586147015904,167.91486975097308,,0.9456433734374373,607.4925537109375,447.9071960449219,212.9513072943504,36.05872008017066,-4.665877659488827,13.126984596252441,0.0
755197322.995,755199003.995,755198162.9808694,755197328.23,755198981.575,0.01430068367226419,0.0127234058237414,2.9459408364864233e-18,2.6210215996907285e-18,24.691607999345322,0.690985675564395,2.393621490459612,,,,,,,,0.12866088770873937,0.009257733348129913,2.650414286800031e-17,1.907093069714762e-18,22.306383641167102,0.07544090697451367,0.08107685878186288,184.0,193.14512540977083,626.0,596.1007141813717,1501.1953426515283,171.67700568423507,,0.9528616734399555,384.72528076171875,607.8663940429688,208.42685724309877,36.058777807880325,-4.6658905461328155,13.358695983886719,0.0
755836601.995,755836890.995,755836741.5377381,755836603.38,755836888.245,0.09515046257542159,0.03373237224357246,1.9600995290536846e-17,6.948868682175927e-18,22.63397274010649,0.3294604400106067,0.4752864878167671,,,,,,,,0.1917946039704322,0.02750668648515897,3.950968841790903e-17,5.666377415942748e-18,21.872909039039968,0.1455120071541316,0.16807689963997774,42.0,48.61790199022359,99.0,85.06342666775976,253.48941515434248,24.498266880314816,,0.8642133146438304,409.6428527832031,106.35515594482422,293.80312974845424,36.05859647856667,-4.665902290143253,10.880952835083008,0.0
755842463.995,755843094.995,755842771.5600001,755842465.695,755843094.885,0.015524584685234823,0.02193420418033731,3.1980644451583736e-18,4.518446061149486e-18,24.602450023180126,0.9563343518338314,,,,,,,,,0.1414977452671146,0.015953587821945926,2.9148535525025607e-17,3.2864390913208606e-18,22.203126201159332,0.11599205620382236,0.1298825328683506,75.0,78.66513716860904,255.0,243.17466297071843,555.9462238787459,70.03430293556693,,0.9536618267207119,391.0231018066406,611.3654174804688,211.55596046405023,36.05878845239301,-4.665789760378125,14.319999694824219,0.0
755848383.995,755849335.995,755848870.274253,755848403.095,755849335.19,-0.0009826797924646611,0.016697266048864016,-2.024320372477202e-19,3.4396368060659873e-18,,,,,,,,,,,0.11671939310630655,0.011781977491377583,2.404419497989915e-17,2.427087363223782e-18,22.412142448161497,0.10441184787135072,0.11553164122397064,87.0,98.14081586634417,388.0,343.6356929076995,840.8269890245124,98.96707955741746,,0.8867830817007479,575.5144653320312,291.01214599609375,206.60029008006157,36.058943925768816,-4.665933578996771,13.540229797363281,0.0
755860224.995,755861655.995,755860939.4858333,755860226.585,755861646.59,-0.0026544044869484763,0.013481184140494982,-5.468073243113861e-19,2.777123932941966e-18,,,,,,,,,,,0.1120761466235815,0.00947669052770633,2.3087686204457787e-17,1.9521982487075038e-18,22.456217023197652,0.08812977349010964,0.09592033059351124,126.0,139.86626722409824,553.0,497.1487888859855,1247.9574953076549,143.17885119916386,,0.9011199843978265,591.18017578125,300.104248046875,215.7058665637769,36.058781031460356,-4.665761212532554,13.928571701049805,0.0
755866146.995,755867572.995,755866766.4532287,755866151.47,755867562.75,0.044225020908550135,0.014653593881298145,9.110354307161328e-18,3.0186403395474176e-18,23.465829882734923,0.3107238427415382,0.43698941035397354,,,,,,,,0.15672781632498295,0.011180339035040539,3.228593016294649e-17,2.303149841218351e-18,22.092134793379394,0.07481426960660187,0.0803535006059306,175.0,196.5088972460922,552.0,489.7866706907905,1253.8227217982876,141.0585611589477,,0.8908074317471156,581.6353759765625,282.29254150390625,216.44042042039388,36.058823184323934,-4.6658767833268975,13.451428413391113,0.0
755872072.995,755873489.995,755872797.3821591,755872083.915,755873474.375,0.00973748346561733,0.015181743265453296,2.0059215939171696e-18,3.1274391126833787e-18,25.10888316689209,1.0202195708848514,,,,,,,,,0.14876540724543663,0.0109152140738396,3.0645673892559946e-17,2.2485340992109577e-18,22.148745111306713,0.07687564578619899,0.0827364411288869,176.0,185.7545222362331,636.0,602.7635603290116,1248.6405655433791,173.59590537475538,,0.9477561622142407,432.9633483886719,610.4456176757812,213.01159671701927,36.05870806626201,-4.665736321909283,13.607954978942871,65.0
755877988.995,755879406.995,755878721.1229268,755877992.63,755879399.845,0.0287756360412328,0.014641563327787106,5.9277810244939564e-18,3.016162045524144e-18,23.932437670449175,0.4465921849766161,0.7718940264653575,,,,,,,,0.14845123017263295,0.010894548044500872,3.0580953415562385e-17,2.2442768971671798e-18,22.151040497949012,0.07689190184284556,0.08275527185454123,164.0,185.67317537281082,588.0,519.7308166264403,1250.7351751608437,149.68247518841483,,0.8835299162734468,568.4699096679688,279.8878479003906,206.90345464861926,36.058897211612496,-4.665886822529932,14.20121955871582,0.0
755883909.995,755885323.995,755884611.7832468,755883919.98,755885320.05,0.04172077887272244,0.014182144723821986,8.594480447780823e-18,2.921521813107329e-18,23.52911898114061,0.31770528389087005,0.4510250276687451,,,,,,,,0.14612264693857957,0.010831174759730795,3.010126526934739e-17,2.2312220005045437e-18,22.16820617340449,0.07763591061284814,0.08361777010496496,154.0,182.00525812360806,532.0,451.5254000667469,1245.565023196652,130.03931521922314,,0.8466294412825396,488.3171691894531,209.79071044921875,209.71288993538624,36.05877207688099,-4.665871144224893,13.870129585266113,0.0
755889830.995,755891240.995,755890570.9345329,755889836.1,755891240.72,0.028734437384055806,0.015082020432155271,5.9192941011154956e-18,3.1068962090239857e-18,23.9339932546685,0.45808641884312706,0.8079828868613532,,,,,,,,0.15524256865490715,0.011195214859405063,3.1979969142910876e-17,2.306214261037443e-18,22.102472950010693,0.07560275894020663,0.08126383865071318,182.0,192.29003300446934,575.0,544.0914568089661,1238.6424333902642,156.69833956098228,,0.9467433374770576,452.16973876953125,606.0711059570312,212.57229912111112,36.05874696732928,-4.665740772072578,13.807692527770996,0.0
755901672.995,755903074.995,755902362.8706845,755901676.38,755903068.74,0.0468451032806124,0.01489075723816533,9.650091275806154e-18,3.067495991062058e-18,23.40333949803193,0.29968326311114524,0.4153356670237116,,,,,,,,0.1603148825693917,0.011394601648532517,3.3024865809294687e-17,2.3472879395976985e-18,22.06756539689468,0.0745511061096451,0.08004998612192082,168.0,197.9472116433315,571.0,486.4780724384178,1234.7400844562937,140.10568486226435,,0.8489676170632828,501.5911560058594,216.3753662109375,209.85416153313275,36.05878342702458,-4.665703845930399,13.839285850524902,0.0
