t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
746248470.995,746249469.995,746248940.5799038,746248478.31,746249468.525,0.05168525699549648,0.019270611999649308,1.0647162941072275e-17,3.969746071927758e-18,23.2965832998378,0.34405410787651647,0.5065635261978869,0.039066256643374486,0.019637628927899935,8.047648868535143e-18,4.045351559147386e-18,23.600495502972883,0.44216262263006456,0.7583991806336812,0.18992362269819793,0.01466023266563877,3.912426627582877e-17,3.0200079291215865e-18,21.883552535900627,0.08073093237316087,0.08721944464803144,156.0,167.83257025916316,456.0,424.16356738532204,883.6845457916575,122.15910740697277,133.31032300148246,0.9297457636789397,239.158447265625,386.9499206542969,161.3701014963239,333.59571303628996,-17.734061212434398,13.788461685180664,0.0
746254400.995,746255274.995,746254799.9293867,746254402.59,746255273.47,0.026173472496402377,0.018781814786623864,5.391735334258889e-18,3.869053846044516e-18,24.035346636657756,0.5872985799902004,1.3727987445289287,,,,,,,,0.14940527168219514,0.01390362547967033,3.0777485966532196e-17,2.864146848812088e-18,22.14408519602551,0.09660981100626387,0.10605337531503523,106.0,115.47174309792824,361.0,330.70449777818817,772.8759621250312,95.24289536011821,,0.9181706572396175,552.4111328125,450.099609375,160.4341742420146,333.59572326538404,-17.73391987821039,14.792452812194824,0.0
746260305.995,746261396.995,746260855.0260333,746260312.77,746261388.045,0.04482836907136027,0.017571579767612665,9.234644028700216e-18,3.619745432128209e-18,23.45111765295782,0.35907823698115493,0.5401956043729221,,,,,,,,0.17038529174169148,0.013332862487682602,3.5099370098788443e-17,2.7465696724626157e-18,22.001419744450274,0.08179992824803506,0.0884686096438223,150.0,163.31173947537582,456.0,417.8625762362895,958.4849596229271,120.34442195605139,,0.9187569705803927,554.906982421875,448.43682861328125,162.3031101647885,333.59553445475944,-17.73401623430763,14.766666412353516,0.0
746289897.995,746291547.995,746290720.6680456,746289902.335,746291536.965,0.02138138096834601,0.013695884564488493,4.404564479479278e-18,2.8213522202846294e-18,24.254910620647394,0.5374749465294713,1.1109095701296,,,,,,,,0.14748658201242715,0.010055758100580693,3.0382235894559994e-17,2.0714861687196225e-18,22.158118722486286,0.07161195282077415,0.07667090215523231,197.0,215.11732413394697,697.0,638.6506920246293,1458.5552204052115,183.93139930309326,,0.9160961107267684,242.61817932128906,346.0914611816406,166.3585526436092,333.5957947127048,-17.733997475899983,13.522842407226562,0.0
746331313.995,746332403.995,746331861.1557912,746331319.05,746332390.625,0.07255876767895048,0.01778862639098033,1.4947106141863796e-17,3.664457036541948e-18,22.928275254601726,0.23806433092349621,0.30536509224982566,0.037849155182088985,0.018772652270892073,7.796925967510331e-18,3.867166367803767e-18,23.634859524481875,0.4373188459351596,0.7438935676234699,0.1889223162827851,0.013993639980505089,3.891799715425373e-17,2.8826898359840484e-18,21.889291845983827,0.07758234361442007,0.08355562947630801,158.0,182.26577656128018,451.0,389.80404175237754,964.7657309497455,112.26356402468475,145.75020869620175,0.8671240307078462,368.2547912597656,239.48388671875,163.6251230736898,333.5956674404633,-17.733984175054374,13.740506172180176,0.0
746337231.995,746338030.995,746337630.1202971,746337244.94,746338029.835,0.025384376670522266,0.020078216926433336,5.229181594127587e-18,4.136112686845267e-18,24.068583741262607,0.6327192617013289,1.6994654576012458,,,,,,,,0.15525272802881487,0.014815970304942732,3.198206197393586e-17,3.0520898828182027e-18,22.10240189965862,0.09896286899474305,0.10889611455870352,101.0,109.80403068263402,347.0,318.92596765859133,707.2599114796516,91.85067868567431,,0.9201784073342875,240.7528076171875,346.4438171386719,168.0117049627332,333.5956858266549,-17.734127800021625,13.267326354980469,0.0
746343150.995,746344059.995,746343568.2887189,746343162.435,746344054.74,0.04352795218550786,0.018861457088414333,8.966758150214619e-18,3.885460160213353e-18,23.483079410411914,0.39085659438322296,0.6166519789494629,,,,,,,,0.16432950363823157,0.014318936101601898,3.38518777494757e-17,2.949700836929991e-18,22.040711141367193,0.09070921027086243,0.09898422330709877,121.0,131.7072205461471,367.0,336.181697342793,801.4824948056691,96.82032883472439,,0.9189418874236212,552.7063598632812,449.438232421875,160.50972296933693,333.5955567109929,-17.73403343222726,13.7355375289917,0.0
746349070.995,746350225.995,746349673.1339492,746349082.515,746350213.925,0.016916712351391108,0.016491643927631926,3.484842744386568e-18,3.3972786490921767e-18,24.509210088228105,0.7388478594462242,3.9996428003566997,,,,,,,,0.14764827150015594,0.012010449174865798,3.041554392903212e-17,2.4741525300223543e-18,22.15692908225078,0.08491069475740076,0.09211889641475679,138.0,151.12566841268156,508.0,464.6199145520247,1023.5518972026838,133.81053539098312,,0.9133853230191247,549.7162475585938,448.0177307128906,157.22804217391314,333.59560164427114,-17.734006099698504,14.97826099395752,0.0
746360900.995,746362570.995,746361708.5579386,746360906.99,746362560.865,0.04736880044216173,0.01399495754946416,9.757972891085318e-18,2.882961255189617e-18,23.391269032794114,0.28104890399624693,0.38021542427264876,,,,,,,,0.16855616786902097,0.010674241702845297,3.472257058101832e-17,2.198893790786131e-18,22.013138377473794,0.06666762054381437,0.07103058210909552,228.0,249.3533647468151,680.0,622.4943980332426,1479.348800457891,179.27838663357392,,0.9146520518670405,244.15435791015625,345.20843505859375,165.19679097102346,333.5956666136458,-17.734049144520604,14.105262756347656,0.0
746372735.995,746374407.995,746373566.9701352,746372740.15,746374407.61,0.004619414370375099,0.013515149377604958,9.515993602972705e-19,2.7841207717866214e-18,25.918532697384386,1.4848004786031694,,,,,,,,,0.1369569995576688,0.009638271516350305,2.821314190887977e-17,1.985483932368163e-18,22.23853941762345,0.07383931985989989,0.07922985433487639,185.0,201.91572975184934,739.0,677.4490496254477,1474.3001847585615,195.10532629212898,,0.9165697409353024,242.79429626464844,345.7648010253906,166.29819630634182,333.5955756951111,-17.733952687021155,13.405405044555664,0.0
