t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
752587658.995,752589103.995,752588444.0431252,752587913.985,752589060.995,-0.0016703600585435629,0.003277129003391509,-2.338504081960988e-18,4.587980604748113e-18,,,,,,,,,,,0.0068273577590262,0.0021873513854382843,9.55830086263668e-18,3.0622919396135982e-18,24.234368347931586,0.30174764535249565,0.41933520929535106,8.0,9.742450559665219,50.0,42.104194903609105,1426.9723227532763,12.126008132239425,,0.8223017581657879,559.208984375,560.0620727539062,225.75953543537375,36.295968402940474,-4.61831419293293,18.75,0.0
752593575.995,752595024.995,752594427.403,752593707.63,752595010.305,-0.005480513716769244,0.003670797745417421,-7.672719203476941e-18,5.139116843584389e-18,,,,,,,,,,,0.00692635760662758,0.0021971550962932465,9.696900649278613e-18,3.0760171348105454e-18,24.218737724149562,0.2991429268173391,0.41429249724153294,10.0,9.937757417499304,61.0,61.809221164689205,1434.7739435212275,17.80105569543049,,1.0074932210894711,167.51937866210938,460.8314514160156,240.3075212702065,36.296005268458245,-4.618120173439243,9.100000381469727,0.0
752878211.995,752879207.995,752878817.005,752878817.005,752878817.005,-0.00426836942795495,0.0026709341491563602,-5.975717199136931e-18,3.7393078088189046e-18,,,,,,,,,,,0.00138311473056366,0.001184329684066853,1.9363606227891242e-18,1.6580615576935944e-18,25.96785448323349,0.6716071078887076,2.106186237490764,1.0,1.3638643711157739,25.0,19.350090670060105,986.0818780810459,5.572826112977311,,0.7332107364766063,608.119873046875,499.6026611328125,230.72618330346742,36.2951703776714,-4.6193118702786,22.0,0.0
753410845.995,753411866.995,753411349.29125,753410866.06,753411745.88,0.004880501417718326,0.0039185889672184865,6.8327019848056565e-18,5.486024554105881e-18,24.598838891836746,0.6399333389108115,1.7633222430247493,,,,,,,,0.010193568895016923,0.003177123092630691,1.4270996453023694e-17,4.447972329682968e-18,23.79918434370031,0.29456905457031013,0.4055227190287418,8.0,10.294006606162714,25.0,18.629921457225887,1009.8530467768643,5.365417379681057,,0.7783303508228403,611.3948364257812,491.03692626953125,230.16406933334943,36.296268751292246,-4.618079891504104,17.75,8.0
753416848.995,753417784.995,753417338.6729168,753416944.13,753417780.19,-0.002114573628344593,0.005450766300740232,-2.9604030796824307e-18,7.631072821036325e-18,,,,,,,,,,,0.012640788281719618,0.003702540960622566,1.7697103594407467e-17,5.183557344871593e-18,23.565564606327438,0.27891593086699373,0.37630447515034504,12.0,11.655974038051768,46.0,47.24238257556276,922.0923393605103,13.605806181762077,,1.0299170460049871,192.34117126464844,509.5549621582031,234.78602787479366,36.29571052279511,-4.6184717230831644,10.666666984558105,0.0
753422008.995,753423701.995,753422865.4045454,753422146.975,753423435.325,-0.006144256201463472,0.0035083588477143,-8.601958682048861e-18,4.91170238680002e-18,,,,,,,,,,,0.007238959506838868,0.0020786187744035356,1.0134543309574415e-17,2.91006628416495e-18,24.17080963178349,0.2740672571536038,0.36749442164318324,11.0,12.128374633116893,84.0,77.8564229012586,1675.4306501727,22.42264979556248,,0.9075351724269249,495.4765930175781,606.2638549804688,227.28958991922198,36.295529368215064,-4.618423688803845,19.0,0.0
753427925.995,753429619.995,753428709.4070588,753427975.72,753429570.535,0.00037366319223589044,0.0035619706577839803,5.231284691302466e-19,4.986758920897572e-18,27.388799200760847,2.5563359188629136,,,,,,,,,0.010820572972204486,0.002540723602406214,1.514880216108628e-17,3.557013043368699e-18,23.73437435452503,0.2289958643717256,0.29056955546339225,17.0,18.137844417426653,65.0,60.80380681071869,1676.2369667501455,17.511496361486987,,0.9397042382433652,434.8830871582031,628.1928100585938,230.8436447730893,36.29597743591198,-4.6183615359537935,15.588234901428223,65.0
753433842.995,753435537.995,753434545.1282353,753433922.28,753435259.42,-0.002398675780176421,0.0036929406332493926,-3.3581460922469897e-18,5.17011688654915e-18,,,,,,,,,,,0.010110757497651614,0.002468971299303988,1.415506049671226e-17,3.4565598190255836e-18,23.808040764650993,0.23721896057688596,0.3039720282362701,17.0,16.770086601091556,71.0,72.04382431028374,1658.6380006628265,20.74862140136172,,1.0149417957308617,347.964599609375,629.1792602539062,235.0123746195939,36.29586315888036,-4.618373718593919,16.176469802856445,0.0
753439760.995,753441455.995,753440706.6979412,753440163.535,753441414.205,-0.00370900137778822,0.0037360211753844565,-5.192601928903508e-18,5.230429645538239e-18,,,,,,,,,,,0.009798056069554742,0.002422443619400784,1.3717278497376639e-17,3.3914210671610977e-18,23.84215019903619,0.23987260981710534,0.30835457910823294,17.0,16.359592620685394,76.0,78.30704283403587,1669.677383406608,22.552428336202333,,1.0402482951158323,165.09190368652344,399.64520263671875,234.9083642503829,36.295796164837455,-4.6185376802985445,8.411765098571777,0.0
753445677.995,753447372.995,753446303.1962501,753445755.925,753447192.675,-0.006246391099286012,0.004183659064262422,-8.744947539000417e-18,5.857122689967391e-18,,,,,,,,,,,0.011565451110919821,0.0026250143655720927,1.619163155528775e-17,3.67502011180093e-18,23.662093557219933,0.2220851608312593,0.27950960567239136,20.0,19.411620191951634,100.0,103.80435150593836,1678.4144436548306,29.895653233710252,,1.0313148740643279,205.68124389648438,529.4520874023438,233.4900895251052,36.29571753488637,-4.618595531171955,12.25,0.0
