t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
760447113.995,760448557.995,760447784.3628571,760447140.29,760448432.635,0.00048223308213414344,0.002991173544673226,6.751263149878009e-19,4.187642962542517e-18,27.111857498710798,2.1437465700321354,,,,,,,,,0.00662780493473173,0.0021546344952502287,9.278926908624422e-18,3.0164882933503204e-18,24.2665757048473,0.3056136130156233,0.42688567954662204,7.0,9.462202084770048,42.0,30.46437789589123,1427.6524698524559,8.773740834016676,,0.7398786355708362,637.53173828125,496.3616638183594,256.33356577856665,150.30496730306814,2.415050609944971,19.85714340209961,8.0
760453033.995,760454476.995,760453947.216923,760453216.3,760454464.12,-0.002461976781788781,0.003743407679959533,-3.446767494504294e-18,5.2407707519433464e-18,,,,,,,,,,,0.008751611269424715,0.002478416611638046,1.2252255777194601e-17,3.469783256293265e-18,23.964779952873148,0.27073203911376353,0.36149813727005764,13.0,12.468879132668398,53.0,55.47425851938558,1424.7523968792593,15.97658645358305,,1.0438826128247447,356.1708984375,419.96722412109375,48.163058279950704,150.30500285479738,2.415157702577251,9.076923370361328,0.0
760464876.995,760466313.995,760465602.7683333,760464885.915,760466280.495,0.0013119886165621438,0.003238947884482505,1.8367840631870015e-18,4.534527038275507e-18,26.025174832724247,1.3504267723810734,,,,,,,,,0.008125397548586918,0.0023887369025693455,1.1375556568021686e-17,3.3442316635970837e-18,24.045388453123845,0.2798222689419738,0.3779636473404544,9.0,11.570512605851953,43.0,33.688366162929995,1423.9934152962364,9.702249454923841,,0.7780868402912218,480.2350769042969,132.39938354492188,279.37028741971875,150.3057962671751,2.414965108583802,8.777777671813965,0.0
760470797.995,760472232.995,760471362.7373078,760470933.58,760472184.24,0.0017997464605162396,0.0035453361421039354,2.5196450447227353e-18,4.96347059894551e-18,25.68197167967828,1.181857732579065,,,,,,,,,0.009772160190409844,0.002630994371374377,1.3681024266573783e-17,3.6833921199241286e-18,23.845023556139452,0.2588539453635974,0.3405536499090971,13.0,13.795622982907062,41.0,39.07941736835019,1411.7270607624448,11.254872202084858,,0.9426813862326372,433.81341552734375,372.2529296875,43.740678784760874,150.30503181793645,2.415532060746219,8.769230842590332,0.0
760518165.995,760519094.995,760518785.8000001,760518411.37,760519064.975,0.00489149365903595,0.0039648543229892945,6.8480911226503305e-18,5.5507960521850126e-18,24.596396262811652,0.6445329438772944,1.806326906797974,,,,,,,,0.009666522527686825,0.0032438102640119466,1.3533131538761556e-17,4.541334369616725e-18,23.856824331507873,0.3141679247292295,0.4438795031491338,6.0,8.88034109651382,22.0,15.231507683213426,918.6696737196622,4.386674212765468,,0.6770601566802968,643.0752563476562,485.5099182128906,257.6771746997666,150.30447985717,2.4153407042066135,17.66666603088379,8.0
760530099.995,760531422.995,760530894.8133333,760530355.59,760531377.02,-0.0018560792756031038,0.003512326627271192,-2.5985109858443453e-18,4.917257278179669e-18,,,,,,,,,,,0.007107814609489513,0.0023357799095359115,9.950940453285319e-18,3.270091873350276e-18,24.19065977065506,0.3085030992611806,0.43258124686616384,9.0,9.259943698496807,41.0,40.54865687726782,1302.783514659207,11.678013180653133,,0.9722934983593424,361.7046203613281,676.17919921875,278.82160279070916,150.30467626195613,2.4154354999029577,13.88888931274414,0.0
760535929.995,760537341.995,760536487.5653846,760535931.52,760537307.315,-0.002302955656593579,0.0038201524497622577,-3.224137919231011e-18,5.348213429667161e-18,,,,,,,,,,,0.008986887776373534,0.0025432343557534923,1.2581642886922948e-17,3.5605280980548896e-18,23.935976703803338,0.27056147269661324,0.36119286284052876,13.0,12.486648129072563,53.0,54.466815789973964,1389.4296267835762,15.686442947512505,,1.0427038692167878,230.69454956054688,604.6996459960938,265.6431452521074,150.30517151198677,2.4149594363950397,12.84615421295166,0.0
760541850.995,760543261.995,760542645.517619,760541918.93,760543246.495,0.005510262002309316,0.004387006321624351,7.714366803233043e-18,6.141808850274092e-18,24.46706937698488,0.6358577383410662,1.7267340639023274,0.00519267730080536,0.004412943179162153,7.269748221127505e-18,6.1781204508270144e-18,24.531521664547483,0.6678352234924461,2.0586119863792405,0.01614476056189096,0.0034063148327850923,2.2602664786647343e-17,4.7688407658991296e-18,23.299920978726156,0.2078476049393565,0.25728791839708265,21.0,22.464339072894774,55.0,51.37910871146976,1391.4321607172621,14.797183308903294,15.23908087632769,0.9352298056233728,406.4280090332031,356.76031494140625,43.71486776941361,150.30490525229536,2.4150333547166376,7.476190567016602,0.0
760553697.995,760555099.995,760554422.5388889,760553731.765,760554982.025,0.0018633841837904879,0.0034368767488243083,2.608737857306683e-18,4.811627448354032e-18,25.644243987693635,1.1349871139622536,,,,,,,,,0.008947296332705535,0.002567596279194248,1.252621486578775e-17,3.594634790871948e-18,23.940770446675387,0.273920176877418,0.3672289020417381,9.0,12.1431166599593,45.0,33.38251285426101,1357.182796726192,9.614163702027174,,0.7429019089931929,608.1030883789062,225.38751220703125,271.65495814744213,150.30511626274478,2.41522997055516,12.0,8.0
760559613.995,760561019.995,760560026.53,760559655.92,760560644.755,-0.003903169161215567,0.0035014891213675926,-5.464436825701794e-18,4.90208476991463e-18,,,,,,,,,,,0.00646760949140564,0.0021700733727462473,9.054653287967897e-18,3.0381027218447464e-18,24.293140525735822,0.3141336625240072,0.4438106357538558,9.0,8.88257213775884,48.0,49.45541274919022,1373.3933920349207,14.243158871766784,,1.0138877348875597,262.4755859375,607.4931640625,248.93046739180298,150.30468173167642,2.4149281090910666,12.88888931274414,0.0
