t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
760458955.995,760460394.995,760459734.8669018,760458977.96,760460394.935,0.02670659625210141,0.014085652900468053,5.50155882793289e-18,2.901644497496419e-18,24.013453647891723,0.45989777681456445,0.8138168085191957,,,,,,,,0.1392435943768654,0.010474986439029851,2.868418044163427e-17,2.157847206440149e-18,22.22056193635987,0.07875119080896198,0.08491306176889424,163.0,176.7028328764781,536.0,495.8737574710641,1269.0194738741704,142.8116421516665,,0.9226542206818538,519.72265625,540.7470092773438,184.77888147749016,150.14834135930315,1.7841989859879968,13.644171714782715,0.0
760464876.995,760466313.995,760465549.5946405,760464879.385,760466308.455,0.009272828420099511,0.014115221473552025,1.910202654540499e-18,2.907735623551717e-18,25.16196944029061,1.004454469403747,,,,,,,,,0.13017589814942576,0.010163605997216845,2.6816235018781706e-17,2.09370283542667e-18,22.293673543061075,0.08162338738165076,0.08826213055997556,153.0,164.0459541532446,566.0,529.0293672872501,1260.1868432276167,152.36045777872806,,0.9329415726073677,243.2605743408203,443.1175537109375,162.5618989615497,150.14812380521653,1.784152431516674,14.281045913696289,0.0
760476718.995,760478151.995,760477453.1037142,760476719.86,760478150.12,0.0333664140124479,0.014454905435092681,6.8734812865642676e-18,2.977710519629092e-18,23.771726164385708,0.3907800510120474,0.6164584005074083,,,,,,,,0.14818681181906687,0.010850161567898647,3.052648323472778e-17,2.2351332829871213e-18,22.152976113851672,0.07672136916951544,0.0825577601392169,175.0,186.52914452789167,534.0,501.8381845352696,1258.7432190365228,144.52939714615766,,0.9383801671107808,399.8248596191406,597.3543090820312,197.3543867954268,150.14824008423386,1.7842522615798726,14.314285278320312,0.0
760530099.995,760531422.995,760530745.8414074,760530105.66,760531417.44,0.021641703122622362,0.014656234933957778,4.4581908432602064e-18,3.0191843963953023e-18,24.241771412096202,0.5614763000250953,1.227739789788533,,,,,,,,0.13475738110656643,0.010806474569434961,2.7760020507952686e-17,2.226133761303602e-18,22.25611859436863,0.08375247087084503,0.09075713711674283,135.0,155.50238448853062,521.0,453.2259894983988,1153.9433551736881,130.5290849755389,,0.868730878965724,545.7556762695312,331.9570007324219,160.8557332335905,150.1482146450057,1.78422987060235,14.303703308105469,0.0
760547771.995,760549180.995,760548444.3960834,760547776.995,760549179.335,0.028885344547893283,0.01502850088690406,5.9503809768660164e-18,3.0958711827022365e-18,23.92830611943604,0.4548097917910461,0.7975330878331981,,,,,,,,0.15474768986102452,0.011160307204688826,3.187802411137105e-17,2.2990232841658983e-18,22.10593956397798,0.07560786475022852,0.08126973812742833,180.0,192.2631484978873,580.0,542.9692163777486,1242.4298460969244,156.37513431679162,,0.9364853243308119,431.27496337890625,595.6202392578125,198.1045212549066,150.1480403830633,1.7841058600542365,13.994444847106934,0.0
760553697.995,760555099.995,760554406.7217791,760553713.745,760555094.365,0.035882962976701675,0.014790261713660187,7.391890373200545e-18,3.0467939130139986e-18,23.69277925748526,0.3747256133702379,0.5768902381032177,,,,,,,,0.14921692372229065,0.011150084462777144,3.073868628679187e-17,2.2969173993320917e-18,22.145454794330156,0.07824236197924961,0.08432174883119359,163.0,179.0935108099439,517.0,472.31239895572867,1200.2225105729758,136.02597089924987,,0.9104116480010284,234.47943115234375,343.9775085449219,174.74432254149494,150.148098848616,1.784112863195605,13.717791557312012,0.0
760601062.995,760601686.995,760601360.724922,760601067.525,760601676.52,-0.005567218854832122,0.021493597810169175,-1.1468470840954172e-18,4.4276811488948496e-18,,,,,,,,,,,0.12436089203252851,0.015030978129210984,2.561834375870087e-17,3.0963814946174627e-18,22.34329042862954,0.12388404081686843,0.13986205611930558,64.0,68.45310799886165,265.0,248.32473404674522,550.4391845384696,71.51752340546264,,0.9351472164491248,405.39923095703125,594.820068359375,194.89487097016922,150.14819499316098,1.7841388737284678,14.5,0.0
760612904.995,760614285.995,760613626.6428612,760612905.085,760614284.45,0.025491346683599,0.015295976812242313,5.251217416821394e-18,3.150971223321916e-18,24.06401805140069,0.5103310699566848,0.9949744838643184,,,,,,,,0.15321581125736078,0.011295930375321356,3.156245711901632e-17,2.3269616573161994e-18,22.11674103735414,0.077233287663379,0.08315086771997215,173.0,183.97684054712659,566.0,532.5264387065026,1200.769287695091,153.3676143474728,,0.9404989776489456,252.11619567871094,477.17694091796875,166.81097023275464,150.1482875414475,1.7841946816769594,14.040462493896484,0.0
760624745.995,760626135.995,760625408.00006,760624749.535,760626133.525,0.02540236645012809,0.014922871284765462,5.2328874887263865e-18,3.074111484661685e-18,24.067814558021063,0.5017568990816876,0.9613345378830793,0.0020326915845889125,0.015554906552937895,4.1873446642531595e-19,3.2043107499052062e-18,26.80982127705479,2.3428376115082727,,0.1477848524385525,0.011036997191446378,3.044367960234181e-17,2.2736214214379536e-18,22.155925194275834,0.07820081798247003,0.08427349675987728,167.0,179.29078986410497,554.0,515.5310663219551,1213.1878667243811,148.47294710072308,176.82475309688894,0.9316719787770119,492.6928405761719,572.5767211914062,195.89458234278962,150.1480686281122,1.7841283010167672,13.508981704711914,0.0
760636589.995,760637975.995,760637238.4000368,760636591.165,760637973.125,0.0276966712032475,0.014236016986273817,5.705514267868985e-18,2.932619499172406e-18,23.97393106153868,0.4503128233461382,0.783403518325926,,,,,,,,0.1352069954809654,0.010625214218278547,2.785264106907887e-17,2.1887941289653806e-18,22.25250209457719,0.08213573563161347,0.08886156517669264,136.0,161.92836649828723,532.0,447.0761030066011,1197.6330508807416,128.75791766590115,,0.8401637083750918,471.166259765625,247.34817504882812,168.4256993156081,150.1481880398431,1.7841083091298302,14.220588684082031,0.0
