t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
760447113.995,760448557.995,760447951.8785714,760447590.58,760448471.445,-0.0013804750318895226,0.003105883395891481,-1.9326650446453317e-18,4.348236754248074e-18,,,,,,,,,,,0.006195695588819772,0.002083213519138207,8.673973824347682e-18,2.9164989267934895e-18,24.33977482111016,0.31470760763561856,0.44496513526699744,7.0,8.845300109832513,48.0,37.55603714819179,1427.6524698524559,10.816138698679238,,0.7920427069473897,576.310302734375,378.65216064453125,177.59800982959763,150.15213092566358,2.577953609183502,13.285714149475098,0.0
760453033.995,760454476.995,760453916.3580556,760453147.42,760454475.54,0.005113208975584019,0.003976704596640342,7.158492565817627e-18,5.56738643529648e-18,24.548266143507167,0.6246655283265277,1.6328060729980542,0.0028851453564954685,0.004168693391309405,4.0392034990936565e-18,5.836170747833168e-18,25.16958075442171,0.9706445728825841,,0.01382224952507031,0.00311472469558169,1.9351149335098435e-17,4.360614573814366e-18,23.46855317807343,0.22064274432240083,0.27722409655778435,18.0,19.693283141107127,47.0,43.08411943541407,1424.7523968792593,12.408226397399254,15.582665379095143,0.9153026745172355,273.25677490234375,313.90521240234375,153.21931196699947,150.1520688690474,2.5771729296545294,7.222222328186035,0.0
760470797.995,760472232.995,760471471.9002174,760470909.59,760472029.16,0.009809714580682681,0.0043764202233116944,1.3733600412955755e-17,6.126988312636372e-18,23.840859071213178,0.4005192772707744,0.6414828431218318,,,,,,,,0.018424299583901665,0.0036126020462404645,2.5794019417462333e-17,5.0576428647366504e-18,23.15652253311304,0.1943988656945308,0.2369653794983222,23.0,26.010082298188234,48.0,42.22723182737004,1411.7270607624448,12.161442766282574,,0.8848828582918837,528.5015869140625,466.42510986328125,144.65459916567238,150.15226989049523,2.5770952440746724,15.608695983886719,0.0
760518165.995,760519094.995,760518694.598,760518246.365,760519085.395,0.01618349091336979,0.005263448395673014,2.265688727871771e-17,7.36882775394222e-18,23.297319479231255,0.30573278626307143,0.4271196974739766,0.010145155524809562,0.005854639316073359,1.4203217734733388e-17,8.196495042502703e-18,23.804353227158433,0.49463926191641505,0.9343729053641852,0.02081710679727341,0.0047602580385477464,2.9143949516182777e-17,6.6643612539668454e-18,23.023949074346454,0.22358857010825517,0.2819001338482643,15.0,19.124044709238525,19.0,14.780424972944376,918.6696737196622,4.256762392207981,9.803997993426497,0.7854328188702664,580.880615234375,369.2649230957031,183.4732730396421,150.15212417144772,2.576666739683697,14.866666793823242,0.0
760535929.995,760537341.995,760536711.4432352,760535950.04,760537336.345,0.00020849533771150882,0.004086573990267236,2.918934727961124e-19,5.721203586374131e-18,28.022259130248386,3.2846845759957652,,0.0005412431385222275,0.004057166720806117,7.577403939311185e-19,5.680033409128564e-18,26.986518990664912,2.32303818470087,,0.011706045477354104,0.002902597560696381,1.6388463668295746e-17,4.063636584974934e-18,23.648974482519918,0.24049917559722545,0.30939351951780125,17.0,16.264726398711684,53.0,55.468877775864804,1389.4296267835762,15.975036799449066,15.512707146755574,1.0458086737882888,361.2151184082031,582.067626953125,186.1528614457269,150.1522516976238,2.5772826103419795,16.117647171020508,0.0
760541850.995,760543261.995,760542579.5928125,760541938.295,760543042.495,0.0058410341037435035,0.003781411751060596,8.177447745240906e-18,5.2939764514848344e-18,24.403775645150475,0.5419893351812419,1.1317553636126263,0.0015045700680742576,0.004173202853142795,2.1063980953039608e-18,5.842483994399914e-18,25.876468955719645,1.441914003759198,,0.012868613346090985,0.003041129104031106,1.801605868452738e-17,4.257580745643548e-18,23.54617061964378,0.23032849280232526,0.29272349005491094,16.0,17.905802473586377,38.0,33.95277697844214,1391.4321607172621,9.778399769791337,15.812295292815294,0.894143047169367,530.545166015625,402.1982727050781,130.56367325153266,150.15210751861824,2.5771022224918654,13.5,0.0
760559613.995,760561019.995,760560365.8163159,760559832.5,760560968.785,0.0023003608016823017,0.004301678659565269,3.2205051223552224e-18,6.022350123391377e-18,25.41551010355315,1.1447053931446263,,0.002142540803899299,0.004315014685828369,2.999557125459019e-18,6.041020560159716e-18,25.492677245869483,1.197847612746319,,0.01385711772304919,0.0031764277138402837,1.9399964812268868e-17,4.446998799376398e-18,23.465817733680765,0.22408036700760192,0.28268399003922084,19.0,19.031273913485744,54.0,55.111019406802484,1373.3933920349207,15.871973589159118,16.08872253124526,0.9995437426416569,388.7333068847656,581.2505493164062,181.60038546559278,150.1522179175272,2.577097571007701,15.8421049118042,65.0
760572742.995,760572858.995,760572804.1925,760572759.045,760572849.34,0.013590027150013242,0.015543808259197357,1.902603801001854e-17,2.17613315628763e-17,23.486949189094233,0.8279433449998592,,,,,,,,,0.020364972003009896,0.013464650427653704,2.851096080421386e-17,1.8850510598715187e-17,23.047790456572834,0.551033333307462,1.1750362168925719,2.0,2.287586207821365,3.0,2.6424509150535815,112.32945508018695,0.7610258635354317,,0.876797644070983,537.8349609375,349.84613037109375,146.67612994415785,150.1527297974875,2.5758705946363154,12.5,0.0
760618825.995,760620215.995,760619649.2763333,760618920.8,760620160.985,0.004581944885235545,0.0038133724955463754,6.4147228393297626e-18,5.338721493764926e-18,24.667375347765088,0.6574681454412605,1.9384127053652271,,,,,,,,0.012287377263881608,0.0029895230806642617,1.7202328169434252e-17,4.185332312929966e-18,23.59635201804401,0.23644013207621128,0.30269115463468665,15.0,16.89330270398634,41.0,36.78407988055221,1374.850168688457,10.593815005599039,,0.888885555280206,311.5157165527344,275.2335510253906,152.95795241473994,150.15213529351368,2.5773520202306157,6.4666666984558105,0.0
760630667.995,760632055.995,760631379.3030952,760630697.5,760632014.94,0.010292182425193924,0.004293202134394833,1.4409055395271496e-17,6.010482988152767e-18,23.78873131170394,0.3785260223461968,0.5860751005516285,0.006466037597913271,0.004607283375328204,9.05245263707858e-18,6.450196725459486e-18,24.29340443608861,0.5840991576748173,1.3535406435856068,0.01775967181739581,0.0036021733879595184,2.4863540544354132e-17,5.043042743143326e-18,23.196412659627068,0.20050956889529914,0.24612103507277894,21.0,24.307519646177074,41.0,35.48851573488682,1368.6919384606854,10.220692531647405,15.457506112129485,0.8651513788580929,526.226806640625,530.9683837890625,181.89536626041055,150.15222809246697,2.5772001058151766,18.33333396911621,0.0
