t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
760447113.995,760448557.995,760447780.3211018,760447121.565,760448537.265,0.0396060796265839,0.014618570070231731,8.158852403076283e-18,3.0114254344677364e-18,23.585595359326547,0.3410872469696784,0.5000972076233765,,,,,,,,0.15514402863348495,0.01106732734793099,3.19596698984979e-17,2.2798694336737838e-18,22.10316233849206,0.07481406989784745,0.0803532702156673,177.0,196.50998293042858,564.0,508.13805321433944,1266.6293679576113,146.3437593257298,,0.9010928598774096,577.9227294921875,378.5116882324219,179.21563886159814,150.15220855817543,2.5770669414920278,13.87005615234375,0.0
760453033.995,760454476.995,760453793.6670897,760453034.385,760454474.355,0.06467922059341555,0.01521662967504719,1.3323919442243602e-17,3.134625713059721e-18,23.053088055325432,0.22939861273713902,0.291219790769901,0.031295581109626075,0.016060090500627677,6.446889708582971e-18,3.3083786431293015e-18,23.8412924496791,0.44972245034674785,0.7815664407882714,0.17884530547932534,0.011888169598781324,3.684213292874102e-17,2.4489629373489525e-18,21.948806137965363,0.06987344171125898,0.07468139733951773,201.0,226.32113125755916,565.0,501.64002482978344,1265.4574893704553,144.47232715097766,186.7179037581823,0.8883347084578244,272.7967529296875,314.7586364746094,153.12333630410083,150.15226184869948,2.5770505588127284,14.064676284790039,0.0
760470797.995,760472232.995,760471534.2714489,760470807.745,760472206.575,0.05453298334716289,0.0145223759192655,1.1233794569515555e-17,2.9916094393686927e-18,23.23835185656375,0.2563453292203235,0.3362102815732655,,,,,,,,0.15970891258866052,0.0112764837321768,3.290003599326407e-17,2.322955648828421e-18,22.07167711823127,0.0740746666076717,0.07950089668135263,176.0,200.59075360308645,522.0,458.67558893505395,1255.977204726949,132.09856961329555,,0.8787149530368985,528.6400146484375,465.8873291015625,144.53163496234248,150.15212525003489,2.577155185890288,14.142045021057129,8.0
760518165.995,760519094.995,760518614.7731018,760518175.66,760519086.61,0.035277538672644715,0.01779367505734372,7.267172966564812e-18,3.665497061812806e-18,23.71125430843798,0.443401858405025,0.762152166383288,0.0011369888099347827,0.01893287933175297,2.342196948465652e-19,3.9001731423411114e-18,27.44060952387321,3.116970821867522,,0.14681720920443234,0.01341356203709754,3.024434509611306e-17,2.7631937796420933e-18,22.163057588834597,0.09492239656194101,0.10402315349976021,108.0,119.80244584368673,350.0,316.02801960712713,815.9972968623215,91.01606964685263,118.87466604821724,0.9017654556796147,580.9828491210938,369.3315124511719,183.56292600773503,150.15222381540954,2.577057739486822,14.36111068725586,0.0
760535929.995,760537341.995,760536595.971925,760535933.605,760537332.705,0.04682063592715095,0.015493927280375928,9.645051000993096e-18,3.1917490197574413e-18,23.403906729814153,0.31038061779240067,0.4363063502998159,0.025270549485474303,0.016045938428335335,5.205733194007706e-18,3.305463316237079e-18,24.073463286581806,0.5337717801916639,1.0941665539283392,0.17198142492517712,0.011787456616608719,3.5428173534586485e-17,2.428216063021396e-18,21.99129614273297,0.07197607305043974,0.07708845772826223,200.0,212.87412269015823,573.0,537.9193075315329,1237.773921124168,154.9207605690815,181.59489556456037,0.9397183535495698,360.8210144042969,581.144287109375,185.33279705619293,150.1522719885328,2.577104119257624,14.454999923706055,0.0
760541850.995,760543261.995,760542560.8140385,760541853.19,760543258.79,0.07292789399499733,0.015880613060038913,1.502314616296945e-17,3.271406290368016e-18,22.92276581942987,0.2139022426066859,0.26664680728600487,0.03853161095243747,0.016733143810700325,7.937511856202118e-18,3.4470276250042667e-18,23.61545708341554,0.3915777013778161,0.6184780283631817,0.19245696637847567,0.012472873048317368,3.964613507396599e-17,2.569411847953378e-18,21.86916591024169,0.06817890964730822,0.07274877816941583,208.0,238.0862242835065,587.0,513.430534472918,1237.0881073501841,147.8679939282004,190.419226617202,0.8738425366268616,530.5673828125,404.9562072753906,130.66141528799753,150.15225069746865,2.5770533367950317,14.769230842590332,0.0
760559613.995,760561019.995,760560292.7416843,760559639.745,760561015.63,0.0496994198481618,0.015272567776845714,1.0238080488721331e-17,3.146148962030217e-18,23.339121702121023,0.2909370844172763,0.3986350143208064,0.017367894250015965,0.016116900482416124,3.577786215503289e-18,3.3200814993777216e-18,24.48063208471642,0.7127511871670897,2.8562300501302467,0.1671227964627952,0.011704517993900126,3.442729607133581e-17,2.411130706743426e-18,22.02241076481267,0.07349540123954412,0.07883400000064711,190.0,203.8751628185214,533.0,497.3827323693055,1219.9123466911828,143.24622692236,182.68785418690013,0.9321771789626281,390.2293701171875,581.4889526367188,181.75176790744032,150.15221411013715,2.577213699491915,14.631579399108887,0.0
760572742.995,760572858.995,760572803.5385715,760572751.26,760572855.075,0.04840849839867001,0.052216961642221324,9.972150670126022e-18,1.0756694098297593e-17,23.367695971733138,0.7944656689683285,,,,,,,,,0.16178956799848285,0.040039238625725976,3.3328651007687463e-17,8.24808315689955e-18,22.057623711549066,0.24008159233066095,0.3087009264739393,14.0,16.32786533367301,46.0,39.730767656935676,100.92038402516856,11.442461085197476,,0.8576741353918796,533.8632202148438,352.16778564453125,142.1523213191936,150.15235682423366,2.577209513650277,15.071428298950195,0.0
760618825.995,760620215.995,760619548.8195858,760618851.09,760620214.88,0.05956210198020726,0.015208364034322729,1.2269793007922696e-17,3.132922991070482e-18,23.142574960379868,0.24690017897891892,0.3200994740787806,,,,,,,,0.17056556098256515,0.011836838938847991,3.513650556240842e-17,2.438388821402686e-18,22.0002716325855,0.07284800300741878,0.07808956822658075,181.0,207.64009424059367,538.0,469.20636483288195,1217.3623622755722,135.13143307187002,,0.8720542508125583,310.5856018066406,276.8597106933594,152.17905721486048,150.15229136388896,2.5770067024373824,14.0,0.0
760630667.995,760632055.995,760631359.1104473,760630670.11,760632044.765,0.06274339923208748,0.015062969048621042,1.292514024181002e-17,3.1029716240159347e-18,23.086079890866966,0.23361775210674907,0.2980696965044025,0.019636175532273554,0.016197035618472452,4.045052159648352e-18,3.336589337405325e-18,24.34735773574226,0.6530720574804967,1.891517653028,0.16931913728558673,0.011800265813706443,3.4879742280830863e-17,2.430854757623527e-18,22.008234882521165,0.07314732812367808,0.07843363827370808,190.0,205.88680455882528,488.0,449.9749396461413,1215.9688967205207,129.5927826180887,182.00982586103612,0.9230023726862913,527.5266723632812,530.45361328125,182.43134977899388,150.15221739453057,2.577091745314264,13.415789604187012,0.0
