t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
746248470.995,746249469.995,746249018.5150001,746248698.73,746249376.255,0.004002276727913742,0.003943680360668862,5.6031874190792395e-18,5.521152504936407e-18,24.814232216004264,0.7445977543989919,4.586091053438853,,,,,,,,0.009692139703486627,0.0031304379446382945,1.3568995584881278e-17,4.3826131224936125e-18,23.853950836311547,0.3038891804366983,0.42350794610603515,8.0,9.58581697839421,24.0,19.53974030065854,989.0300048962182,5.627445206589661,,0.8349671945826496,520.7689819335938,192.54086303710938,240.05091232208244,334.1861961999384,-17.834139252623253,10.875,0.0
746254400.995,746255274.995,746254838.086,746254463.22,746255225.52,0.003560311658741301,0.004901378812399258,4.984436322237822e-18,6.861930337358961e-18,24.94127995889697,0.939922795852695,,,,,,,,,0.012172022839424783,0.00375092050844084,1.7040831975194696e-17,5.251288711817176e-18,23.606593103521522,0.29165147835485783,0.39998453443699944,10.0,10.53051949084511,27.0,25.869260015038748,865.1412858622894,7.450346884331161,,0.9507184377554779,229.89404296875,566.0413818359375,237.70943838961267,334.1861427664925,-17.83402270064758,11.199999809265137,65.0
746260305.995,746261396.995,746260720.3335,746260328.38,746261143.34,-0.0004121787400600379,0.004325081395000044,-5.770502360840531e-19,6.055113953000061e-18,,,,,,,,,,,0.009820598127540459,0.0030267009785736967,1.3748837378556643e-17,4.2373813700031755e-18,23.839655151311742,0.2916847396238751,0.40004742890544875,10.0,10.527781060392257,40.0,38.08903076828625,1072.0101692043181,10.969640861266441,,0.9513042814954022,231.8888397216797,563.3827514648438,234.425437370491,334.18615258251526,-17.83391986726572,10.199999809265137,65.0
746289897.995,746291547.995,746290670.800909,746290287.405,746291508.05,0.002665905906696702,0.002948690515782422,3.732268269375383e-18,4.128166722095391e-18,25.25538795775134,0.8086843192675381,,,,,,,,,0.008420041878404888,0.0022726752364351723,1.1788058629766845e-17,3.1817453310092415e-18,24.006714371157372,0.2594345644976528,0.34156283850194313,11.0,13.72630812036191,42.0,32.57070239489091,1630.1947565802668,9.380362289728584,,0.8022775220606604,564.9927368164062,233.11807250976562,234.6746277828597,334.18661994500934,-17.834327236895763,11.090909004211426,8.0
746331313.995,746332403.995,746331783.912857,746331331.775,746332356.445,0.0025389820635873775,0.00374580973964386,3.5545748890223285e-18,5.244133635501405e-18,25.308350917875305,0.9840781562614076,,,,,,,,,0.008842942486928034,0.0028620828013434995,1.2380119481699248e-17,4.006915921880899e-18,23.953507998892402,0.30443888966920696,0.4245829667756986,7.0,9.54617107504296,32.0,23.629438556222667,1079.5242747710352,6.80527830419213,,0.7350206992976045,632.3560180664062,461.342529296875,240.31692622912368,334.18640323067393,-17.83418124096801,17.571428298950195,8.0
746337231.995,746338030.995,746337481.7739999,746337353.02,746337775.16,0.0018139528623335773,0.004257004641304168,2.5395340072670084e-18,5.959806497825835e-18,25.67343500693623,1.3115779890526227,,,,,,,,,0.008074712873458656,0.003194932271015945,1.1304598022842118e-17,4.472905179422323e-18,24.052182279207173,0.36195788249394667,0.5468169799717231,5.0,6.3874992855002,22.0,17.1964319370197,791.0497110672162,4.952572397861674,,0.7857459864541185,562.6687622070312,228.7034149169922,236.22795401702106,334.18667609960056,-17.8340639961209,11.0,8.0
746343150.995,746344059.995,746343741.3033333,746343164.9,746344043.9,0.0034663228416011533,0.00444818351319624,4.852851978241615e-18,6.227456918474737e-18,24.97032747754311,0.8963870578911362,,,,,,,,,0.010586039049990201,0.0034394754469530696,1.482045466998628e-17,4.815265625734298e-18,23.75816627076931,0.305463274303726,0.42659057122813593,9.0,9.472891353051498,23.0,22.12173878654215,894.8475731402357,6.37106077052414,,0.9522170377012973,230.5139923095703,566.0899658203125,237.30019711123919,334.186049190036,-17.834120477522667,12.88888931274414,65.0
746349070.995,746350225.995,746349677.5132142,746349091.32,746350034.98,0.005932442354311568,0.004147166116948909,8.305419296036196e-18,5.806032563728473e-18,24.386916182850737,0.5755253399911915,1.3038202561121857,,,,,,,,0.012797006465550176,0.0033457733919927883,1.7915809051770247e-17,4.6840827487899035e-18,23.55222902657191,0.2521748371771011,0.3290497902219691,14.0,14.629306289779958,28.0,27.248074687396358,1143.1819097038338,7.847445509970152,,0.9588151388621943,226.72532653808594,564.1668090820312,238.69405871849648,334.18588567216955,-17.83395161053047,11.785714149475098,65.0
746360900.995,746362570.995,746361779.3761538,746361129.61,746362555.215,0.004317585950838016,0.0031251199859077443,6.044620331173222e-18,4.375167980270842e-18,24.73189752027091,0.5912246708771711,1.396987498821698,,,,,,,,0.010233842306407353,0.002487702638140432,1.4327379228970294e-17,3.482783693396605e-18,23.79490319842362,0.2362528399413364,0.30238349319845526,13.0,16.92312287685914,44.0,33.97005761435937,1653.6431156715855,9.783376592935499,,0.7700645548420172,566.8650512695312,227.07049560546875,240.30929824982115,334.18627859532074,-17.83430228405683,12.0,8.0
746372735.995,746374407.995,746373436.7583332,746372805.755,746374262.08,0.0039042761370649847,0.003039253738937813,5.465986591890979e-18,4.254955234512938e-18,24.841148684120355,0.625099455335814,1.636282933757787,,,,,,,,0.00955123520534069,0.0024093546623066794,1.3371729287476968e-17,3.3730965272293514e-18,23.86985115005255,0.24423264641329823,0.31561739546202006,12.0,15.715116769467558,42.0,32.261178223756694,1645.3491544926312,9.29121932844193,,0.7652121578199703,567.0484008789062,229.49188232421875,238.70103985851807,334.18634985357266,-17.834315095364275,11.5,8.0
