t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
746248470.995,746249469.995,746248941.3981818,746248488.82,746249460.765,-0.0011724310986453183,0.004744436038264291,-1.6414035381034456e-18,6.6422104535700086e-18,,,,,,,,,,,0.010545155608207284,0.003265290033281748,1.4763217851490198e-17,4.571406046594448e-18,23.762367518168958,0.2928867501906538,0.4023240818338465,11.0,10.429475302816632,38.0,40.23973902100795,989.0300048962182,11.58904483805029,,1.0553738250755054,325.2746276855469,479.01788330078125,108.75526262608868,333.59135025398626,-17.94370011611389,11.181818008422852,0.0
746254400.995,746255274.995,746254649.7783333,746254553.72,746254713.215,-0.004468443885933586,0.0037710356045018065,-6.255821440307021e-18,5.279449846302529e-18,,,,-0.006823622324178793,0.004116189320099715,-9.553071253850311e-18,5.7626650481396015e-18,,,,0.0039172395215441745,0.0021278771202931307,5.484135330161844e-18,2.979027968410383e-18,24.83754968122441,0.4710613939341606,0.8507045499110575,3.0,3.388965636699306,28.0,25.19028099298393,865.1412858622894,7.2548009259793735,9.29236302847797,0.8853383961920397,493.1003112792969,341.7298278808594,109.83205779323379,333.5914684757147,-17.9435911581951,11.666666984558105,0.0
746260305.995,746261396.995,746260854.1685,746260327.73,746261384.86,0.0032883196980006343,0.004056361087421333,4.6036475772008886e-18,5.6789055223898665e-18,25.0275649149285,0.8724972279935521,,,,,,,,,0.010463622496924768,0.003124219788852686,1.4649071495694675e-17,4.373907704393761e-18,23.770794842670856,0.2836710860878817,0.38505336283300906,10.0,11.21710972341843,30.0,26.70832488738499,1072.0101692043181,7.691997567566878,,0.8919966342991763,493.87353515625,338.5977478027344,112.17164159282112,333.59135742083,-17.943292137696602,11.0,0.0
746289897.995,746291547.995,746290689.6941175,746290123.04,746291305.905,-0.0009182341679339209,0.0036023422216116775,-1.2855278351074892e-18,5.043279110256349e-18,,,,,,,,,,,0.01011829520890346,0.0024913453129563595,1.4165613292464846e-17,3.487883438138903e-18,23.80723163468286,0.23898839917306347,0.30689113189588824,17.0,16.494791795085657,60.0,62.47115389223742,1630.1947565802668,17.99169232096438,,1.0314936407796451,304.263427734375,457.1711730957031,111.50800106857842,333.59089166858814,-17.94365975619095,9.588234901428223,0.0
746331313.995,746332403.995,746331904.944,746331342.175,746332342.795,0.001217881226688939,0.004119611117586442,1.7050337173645147e-18,5.767455564621019e-18,26.105987660023033,1.6043308228029964,,,,,,,,,0.009769349510826648,0.003008268646894037,1.3677089315157309e-17,4.211576105651652e-18,23.84533588171216,0.29146064589163956,0.399623792739181,10.0,10.546249945659905,34.0,32.05388054743496,1079.5242747710352,9.23151759766127,,0.9494088952927466,304.39703369140625,347.989501953125,108.83482473035043,333.59095061552034,-17.94380224998109,7.0,0.0
746337231.995,746338030.995,746337605.0292307,746337250.06,746338017.72,0.006408012490927494,0.005580861206552878,8.971217487298492e-18,7.81320568917403e-18,24.303191625917695,0.6801375882634133,2.2228460029810293,,,,,,,,0.01552302806579908,0.004429822587106822,2.1732239292118712e-17,6.2017516219495515e-18,23.342558893262563,0.2725712729416401,0.3647984630607368,13.0,12.27948686633865,24.0,25.036216794706046,791.0497110672162,7.210430436875343,,1.059699149499771,301.07550048828125,456.2035827636719,113.77565345502067,333.59069811909137,-17.943651241147542,9.923076629638672,0.0
746343150.995,746344059.995,746343662.07,746343377.315,746343968.1,-0.001805851115248603,0.0032091175762755733,-2.5281915613480444e-18,4.492764606785803e-18,,,,,,,,,,,0.0037048395024912653,0.0020347458295258917,5.186775303487772e-18,2.8486441613362485e-18,24.89807650341689,0.47527779603114695,0.8650714197455045,3.0,3.315266637678387,19.0,17.122319880594397,894.8475731402357,4.931228125611187,,0.906791495633084,490.2918395996094,334.71209716796875,111.4231867902114,333.59185926962465,-17.944140281376303,11.0,0.0
746349070.995,746350225.995,746349687.7780769,746349105.82,746350036.77,0.004615433746843723,0.0042961217082701725,6.461607245581212e-18,6.0145703915782416e-18,24.659468697045313,0.7143524820014306,2.89999307184641,,,,,,,,0.012857377776349033,0.003353656136290241,1.8000328886888647e-17,4.695118590806337e-18,23.547118988596214,0.2516457743656737,0.328146742594253,13.0,14.69832168015032,37.0,32.71542123375691,1143.1819097038338,9.422041315321993,,0.8853070536387769,489.4754638671875,337.26068115234375,109.27982779871247,333.5910440086292,-17.94342476215201,11.615385055541992,0.0
746360900.995,746362570.995,746361496.2896667,746360902.785,746362291.225,4.4229298239945204e-05,0.003251892854573928,6.192101753592328e-20,4.552649996403499e-18,29.705724878172035,4.680733123378836,,,,,,,,,0.008765593160467417,0.002302341603438091,1.2271830424654384e-17,3.2232782448133276e-18,23.963046725565032,0.25321320226149524,0.33082562573008545,15.0,14.495162784584881,48.0,50.076469826525724,1653.6431156715855,14.42202331003941,,1.0353866380034906,303.50079345703125,453.68133544921875,110.42546191451541,333.591213247342,-17.94332931632422,9.733333587646484,0.0
746372735.995,746374407.995,746373385.8933333,746372750.195,746374229.795,0.004491175905609423,0.0040487879088323,6.287646267853193e-18,5.66830307236522e-18,24.689099836547506,0.697739912795317,2.516391826369233,,,,,,,,0.015731431946361424,0.0030921111140010307,2.2024004724905995e-17,4.328955559601443e-18,23.328079360304653,0.1948327899059592,0.23761129475877496,27.0,25.883698251904136,62.0,64.21578393379164,1645.3491544926312,18.494145772931994,,1.0436472527202212,303.07342529296875,457.17034912109375,112.53092776239541,333.59106594106765,-17.94350385529878,9.777777671813965,0.0
746786966.995,746788533.995,746787504.0407896,746786972.41,746788257.7,-0.0011178845594859968,0.003948162189743989,-1.5650383832803955e-18,5.5274270656415846e-18,,,,,,,,,,,0.011526922520613655,0.00272645170013631,1.6137691528859118e-17,3.817032380190834e-18,23.66571656496246,0.23051078406676595,0.2930186668025918,19.0,17.874385950370105,64.0,68.08281077452835,1550.6641879829806,19.60784950306417,,1.0640561598295613,324.8547058105469,476.5484619140625,107.26827238390733,333.591294278088,-17.94336160469473,9.789473533630371,0.0
746822469.995,746824172.995,746823165.65,746822555.43,746824167.005,0.00760433231305475,0.0037725359097422455,1.064606523827665e-17,5.281550273639144e-18,24.11734728127463,0.4374041005822207,0.7441466551222895,,,,,,,,0.015796554785903964,0.0030613325940445305,2.2115176700265552e-17,4.285865631662343e-18,23.323594054864422,0.19232664932715693,0.2338896288443486,24.0,26.625864969760066,52.0,47.94580305656635,1685.5488637003064,13.80839128029111,,0.9024531340633642,500.551025390625,363.1084289550781,107.1050732751191,333.5912513142127,-17.943394603762446,10.666666984558105,0.0
