t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
751332489.995,751332934.995,751332695.6817241,751332494.95,751332927.845,0.02744041223239427,0.03195385854816161,5.65272491987322e-18,6.582494860921291e-18,23.984023421470308,0.8383848079808836,,0.06653874751516994,0.03036228290574384,1.3706981988125008e-17,6.25463027858323e-18,23.022313445712243,0.4081344338432231,0.6616212477322527,0.21497537767376956,0.02335227230965349,4.428492780079653e-17,4.8105680957886186e-18,21.749028198499055,0.11196427518580876,0.12485211679564756,87.0,84.74598827113871,250.0,256.69664529495304,394.21253349182547,73.92863384494649,58.515580037810665,1.026705148681069,143.11990356445312,586.2201538085938,317.2780005440531,36.1632967239699,-4.634137258663579,9.873562812805176,32.0
751338407.995,751338708.995,751338560.0790385,751338408.4,751338703.205,0.08445915714159336,0.03655424011244549,1.739858637116823e-17,7.530173463163772e-18,22.763383142305646,0.3904667753574813,0.6156666269225433,,,,,,,,0.22033710431670347,0.028749178937437305,4.5389443489240917e-17,5.922330861112084e-18,21.72228090597551,0.13315543686959685,0.15179875735605464,52.0,58.738707136959015,141.0,125.77468401330593,266.5856362191745,36.22310899583211,,0.8856111958759156,557.278564453125,127.69222259521484,314.46473963159974,36.16314799834054,-4.634097787079718,11.192307472229004,32.0
751344326.995,751344791.995,751344550.6832912,751344337.47,751344787.27,0.01821652161842914,0.02995817550696861,3.752603453396403e-18,6.171384154435533e-18,24.428836366176334,1.0558838484866584,,,,,,,,,0.19407539085119657,0.021698929988952058,3.9979530515346494e-17,4.469979577724124e-18,21.86007382632954,0.11507322213407534,0.12873127423537412,79.0,79.99526874875785,255.0,251.6898030298427,412.1865652203819,72.48666327259471,,0.9878005928832911,78.86348724365234,365.1661071777344,323.0202159532139,36.1631597655341,-4.634244199736933,8.379746437072754,97.0
751350245.995,751350961.995,751350596.8873334,751350246.915,751350941.81,0.09496146070504916,0.023409010355497924,1.9562060905240124e-17,4.822256133232572e-18,22.636131534121038,0.239239973895085,0.30730718842189475,,,,,,,,0.22152193591044625,0.018674560237501678,4.563351879755193e-17,3.846959408925345e-18,21.716458154717795,0.08787482438844663,0.09561836174446015,120.0,140.7125097508258,326.0,279.1396824787191,635.2080175378707,80.39222855387112,,0.8530612306627733,394.6727294921875,87.42866516113281,312.6167288774141,36.163272574898734,-4.634263544068721,10.083333015441895,32.0
751356168.995,751357215.995,751356703.1080788,751356186.14,751357212.81,0.04132892299939632,0.020471639598819587,8.513758137875641e-18,4.217157757356835e-18,23.539364779894782,0.4368458516050353,0.7424908645971442,0.07150856324475403,0.019662450047796726,1.473076402841933e-17,4.0504647098461256e-18,22.944104869369355,0.26374682352088286,0.3491046213149005,0.21539122012351591,0.015224351774995232,4.437059134544428e-17,3.1362164656490176e-18,21.746930008974182,0.07415158121551357,0.07958950452338698,203.0,200.16049775727112,554.0,561.6459077018636,929.2881002414548,161.75402141813674,133.70844086855772,1.0144342073337766,129.14712524414062,549.7426147460938,309.49011362967684,36.16329859167463,-4.634151150386032,9.246305465698242,32.0
751362083.995,751363559.995,751362903.33216,751362091.295,751363551.275,0.014492281480930909,0.016726893960051926,2.9854099850717673e-18,3.4457401557706967e-18,24.677158098333354,0.8332116691275573,,,,,,,,,0.1902868613100129,0.012059542956585532,3.919909342986266e-17,2.4842658490566196e-18,21.88147799325445,0.06671672150966756,0.07108632510227864,250.0,248.97509555983453,797.0,798.6566237293603,1308.4197923376723,230.0131076340558,,1.0043649527085832,185.1254425048828,626.5192260742188,312.2211319561593,36.163269572397,-4.634222785551741,9.131999969482422,32.0
751391680.995,751393280.995,751392475.2646831,751391687.23,751393277.25,0.05921690992467254,0.016261381319227466,1.2198683444482542e-17,3.349844551760858e-18,23.148885647115073,0.2634407960995162,0.34856668343782715,,,,,,,,0.21676936533858815,0.01237467536570603,4.4654489259749155e-17,2.549183125335442e-18,21.740005234813832,0.06027665264436877,0.06382074280921657,284.0,306.85145222532265,836.0,774.3957575907322,1415.5665019640971,223.0259781861309,,0.9257395397702539,654.3576049804688,222.13580322265625,310.37632594424764,36.16320706304057,-4.634267691032691,10.735915184020996,32.0
751397599.995,751398782.995,751398222.2179104,751397599.995,751398781.96,0.08220804521490034,0.018487815027690892,1.693485731426947e-17,3.8084898957043235e-18,22.792714196373012,0.2202432374354295,0.2765924636112871,,,,,,,,0.21964521227279013,0.014499807880102314,4.5246913728194766e-17,2.9869604233010764e-18,21.72569564712651,0.06940796099406299,0.07414987168844434,201.0,229.4663387982205,571.0,498.5502657843157,1044.7135925422901,143.58247654588294,,0.8761626376755305,512.5004272460938,107.329833984375,313.54771918508214,36.16319757285569,-4.634287451623194,11.139303207397461,32.0
752587658.995,752589103.995,752588407.5795704,752587675.735,752589100.095,0.06610770461532622,0.017682359990363702,1.3618187150757202e-17,3.642566158014923e-18,23.029369805259897,0.2573511184605053,0.3379483944585644,,,,,,,,0.23314343057644976,0.013496606532092174,4.802754669874865e-17,2.7803009456109877e-18,21.660942043538874,0.06110098619084425,0.0647456364104535,291.0,298.39888161577915,762.0,742.3195350032811,1279.8940157909856,213.788026080945,,0.975363539248855,600.9104614257812,624.7896118164062,301.48861187595617,36.163386218996386,-4.634282699686079,10.319587707519531,32.0
752593575.995,752595024.995,752594267.9138665,752593581.715,752595023.815,0.02919308802073983,0.016723382587748435,6.0137761322724045e-18,3.4450168130761775e-18,23.91679990817624,0.4917211542247486,0.9235596057491691,0.04992334771282723,0.016234215900744878,1.0284209628842409e-17,3.344248475553445e-18,23.33424074959714,0.3056895072573127,0.427034702623569,0.1944051880414134,0.012295827731473367,4.004746873653116e-17,2.5329405126835133e-18,21.858230373373985,0.06658690049464511,0.07093895452639387,247.0,249.97706314436306,747.0,737.6352705077106,1285.8559262889187,212.4389579062207,185.78283062764183,0.9882188127192503,89.97915649414062,461.39617919921875,316.04179190155713,36.16324779655056,-4.63433204378692,8.441295623779297,32.0
752630087.995,752630551.995,752630323.9232777,752630101.72,752630548.245,0.056807828803834386,0.030473332534186482,1.1702412733589883e-17,6.2775065020424154e-18,23.193979522869746,0.4662808134101333,0.8347079383293448,,,,,,,,0.21999588847116475,0.023089981187102225,4.5319153025059934e-17,4.756536124543058e-18,21.723963589205518,0.10836287537392053,0.12038954728529916,90.0,90.77828432757863,235.0,233.81011582468966,412.6362767887687,67.33731335751064,,0.9916346912637374,95.81159973144531,474.9362487792969,313.28265869507544,36.163125669113676,-4.6343094425955815,8.577777862548828,32.0
752636152.995,752636472.995,752636315.2139829,752636159.28,752636468.35,0.06256668679101268,0.03563499954142272,1.2888737478948613e-17,7.34080990553308e-18,23.089142106022653,0.4894394700568121,0.9151989877756677,0.06616912219367263,0.03545688855794377,1.3630839171896561e-17,7.304119042936417e-18,23.02836156678276,0.4658737618530573,0.8333599259425419,0.21192128304763622,0.027292578085237666,4.365578430781306e-17,5.622271085558959e-18,21.764563563319843,0.1315294158991236,0.14968837808622126,59.0,60.29204662360466,151.0,147.54060366868384,284.50208377632396,42.49169385658095,41.466793477854594,0.978793424692359,622.3953857421875,609.7968139648438,305.73585126578735,36.16328051239062,-4.6344132524180885,10.525424003601074,32.0
752670510.995,752671996.995,752671203.529519,752670518.775,752671984.8,0.07365715944480933,0.016917173494675777,1.5173374845630723e-17,3.48493773990321e-18,22.91196258382331,0.2244754444051651,0.28331435637537083,,,,,,,,0.22620886330155193,0.01307375171171349,4.65990258401197e-17,2.693192852612979e-18,21.693725956444805,0.06100382209583799,0.06463654182227074,291.0,299.37723232241484,721.0,701.0253559373493,1323.4549166330607,201.89530250995665,,0.972238814355757,705.2774047851562,370.1597900390625,306.73234586993425,36.16323097801202,-4.634220952597132,10.034364700317383,32.0
752676427.995,752677916.995,752677168.0889153,752676429.68,752677916.785,0.06142826744080302,0.017240512552696874,1.2654223092805422e-17,3.551545585855556e-18,23.109079334015508,0.2685853718191922,0.3576658252647995,,,,,,,,0.22771440274220725,0.013106810359539521,4.690916696489469e-17,2.7000029340651412e-18,21.686523749399253,0.06076059879626072,0.06436354469494887,295.0,301.8470730983955,782.0,765.3498843216732,1325.5510826871719,220.42076668464193,,0.9776964767190931,681.8832397460938,533.8319702148438,312.0403132631112,36.1633516661085,-4.634203572660024,9.715253829956055,32.0
752712806.995,752713439.995,752713100.7374754,752712819.59,752713434.06,0.01868749790408672,0.02477626348506268,3.849624568241864e-18,5.103910277922912e-18,24.401122107600457,0.9164403771191019,,,,,,,,,0.18256432001887624,0.017985769859663932,3.76082499238885e-17,3.70506859109077e-18,21.926460240238598,0.10201739261647447,0.11260667944990388,101.0,103.03238280806113,329.0,321.1314835763116,564.3620987792582,92.48586726997776,,0.9805029238469388,697.7647705078125,477.1181640625,307.5891249442036,36.16314726368241,-4.634232123226003,9.772276878356934,32.0
752718826.995,752719360.995,752719093.1443956,752718828.01,752719354.685,0.029920136393905436,0.027295349777232594,6.16354809714452e-18,5.622842054109914e-18,23.890091077571622,0.7038750590124749,2.6421739149479997,0.05293962222033693,0.02639481148521626,1.0905562177389406e-17,5.43733116595455e-18,23.270547905424248,0.43920222058157066,0.749503011669848,0.1923161388516988,0.020098261958198096,3.961712460344995e-17,4.1402419633888075e-18,21.869960672397344,0.10792056429974295,0.11984375026691652,91.0,91.561828532244,270.0,268.4612282322352,476.1005970635168,77.31683373088376,66.35724278482456,0.9940176229189944,193.63723754882812,645.712890625,320.87445262247354,36.16338904451308,-4.634167187185938,9.659340858459473,32.0
752753368.995,752754891.995,752754160.1779753,752753371.19,752754887.85,0.060494412979594014,0.01660062511471122,1.2461849073796366e-17,3.4197287736305112e-18,23.125711832962875,0.26327790138443063,0.34828051602778487,,,,,,,,0.21717412457450078,0.01265253540581701,4.473786966234716e-17,2.606422293598304e-18,21.737979801114275,0.0614808151147308,0.06517230235561655,284.0,294.6191936546751,764.0,738.0286693687242,1356.6035743526484,212.5522567781926,,0.9642346358713174,400.208251953125,710.4207763671875,310.4208462221624,36.16327198508506,-4.634153821354041,9.514084815979004,32.0
752759285.995,752760811.995,752760037.059572,752759290.805,752760803.145,0.02527820201740302,0.016489984800964714,5.207309615585022e-18,3.396936868998731e-18,24.07313454924252,0.5452486059791077,1.1471134939008927,,,,,,,,0.19623607412802463,0.01205485310111626,4.042463127037307e-17,2.4832997388299494e-18,21.848052882876452,0.06472876609755218,0.06883374764173311,257.0,264.99266249430735,826.0,801.5887579230676,1350.376905325908,230.85756228184354,,0.9699953641435645,704.1995239257812,344.0669860839844,309.2989692876476,36.16329694571286,-4.634152747061469,10.365758895874023,32.0
752878211.995,752879207.995,752878707.8005916,752878217.53,752879204.475,0.0222057454760465,0.020356533339274122,4.574383568065579e-18,4.193445867890469e-18,24.213836606023232,0.7063987869019286,2.6986965561207406,,,,,,,,0.19528847119380213,0.014821743423942229,4.022942506592324e-17,3.053279145332099e-18,21.853308486054583,0.07942640198482209,0.0856986545451015,169.0,173.60196199326703,547.0,534.2435181355604,888.9514108643226,153.86213322304144,,0.9737805876789186,665.14599609375,557.4146728515625,308.3533338128702,36.16330534083648,-4.634355687886272,9.68639087677002,32.0
753410845.995,753411866.995,753411356.5483416,753410846.835,753411863.835,0.0614536208872649,0.020851610654438798,1.265944590277657e-17,4.295431794814392e-18,23.108631307776584,0.3171999103116363,0.449999851420138,,,,,,,,0.22737790339740815,0.01585442718855935,4.683984809986608e-17,3.2660120008432258e-18,21.688129355924254,0.07318260871991811,0.0784742062620083,202.0,205.68158179590068,530.0,521.1522373215487,904.580342780332,150.09184434860603,,0.9823410420191704,674.5194702148438,538.751708984375,307.5922240127718,36.16323249267343,-4.634311323328519,10.584157943725586,32.0
753416848.995,753417784.995,753417303.0775151,753416849.905,753417779.09,0.03129821220687674,0.02096355984049307,6.4474317146166074e-18,4.318493327141573e-18,23.84120117297598,0.556661501290975,1.2030591456366757,,,,,,,,0.19741438406020634,0.01544841646396694,4.0667363116402504e-17,3.1823737915771896e-18,21.841553017078983,0.081802446172059,0.08847155509025839,165.0,163.30130251433872,472.0,477.12292262026403,827.2006282203631,137.41140171463604,,1.0105294019695112,115.15435791015625,531.5130615234375,313.7399005049291,36.163278465779875,-4.634273502550951,8.939393997192383,32.0
