t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
760447113.995,760448557.995,760447644.871,760447126.14,760448457.56,0.004335972751960066,0.0031281638219437663,6.070361852744093e-18,4.379429350721273e-18,24.727283639116152,0.5897325822371009,1.3877207702100058,-0.0009496333548379492,0.0036725624239830716,-1.329486696773129e-18,5.1415873935763e-18,,,,0.009153067966080501,0.0025320489256955916,1.2814295152512703e-17,3.544868495973828e-18,23.91608328193375,0.26516593494380203,0.35160462605431064,10.0,13.067400088502222,31.0,23.878950972060704,1427.6524698524559,6.877137879953484,14.423146492990893,0.765785394828469,577.6990356445312,656.008056640625,311.6361216770383,150.28454352059333,2.1299903845334187,17.5,32.0
760453033.995,760454476.995,760453700.3146875,760453057.34,760454443.99,0.002188195823973051,0.003693025492696267,3.0634741535622714e-18,5.170235689774774e-18,25.46978453781017,1.073453344502532,,,,,,,,,0.010809796021083506,0.002754476372137513,1.513371442951691e-17,3.856266920992519e-18,23.735456252571318,0.2464475089498599,0.31933680080470594,16.0,15.401282790814607,41.0,42.65154703391602,1424.7523968792593,12.283645545767817,,1.0395094292474627,330.6712951660156,588.3824462890625,200.73468903956098,150.28459778273694,2.129949682579302,14.125,0.0
760458955.995,760460394.995,760459602.9835714,760459086.255,760460338.81,0.002101945690931649,0.002850570282739072,2.942723967304309e-18,3.990798395834701e-18,25.513446273140282,0.9305109855677358,,-0.0031754588693842494,0.003440495838301835,-4.445642417137949e-18,4.81669417362257e-18,,,,0.00682837287036215,0.0021913368908434575,9.55972201850701e-18,3.0678716471808407e-18,24.23420692952619,0.3021883368137388,0.42019190629726566,7.0,9.709931278449226,33.0,23.33669828416908,1421.9978116007965,6.720969105840696,14.225426841541967,0.721227102604067,647.5771484375,359.09381103515625,250.93377756705337,150.28484239869672,2.1302711458321473,13.142857551574707,8.0
760464876.995,760466313.995,760465514.8373077,760464931.52,760466136.87,0.002110936692572225,0.003552355089540962,2.9553113696011153e-18,4.973297125357347e-18,25.508811977695828,1.0714843221193924,,,,,,,,,0.010040316197068952,0.002655337351423386,1.4056442675896535e-17,3.7174722919927405e-18,23.815631524630916,0.2547691807624304,0.33349533634820006,13.0,14.297344152118338,43.0,39.206195145098164,1423.9934152962364,11.291384201788274,,0.9098346208098008,400.37139892578125,284.9828796386719,115.01771999728699,150.28462360843363,2.130647165440327,8.15384578704834,0.0
760470797.995,760472232.995,760471531.2323077,760470803.495,760472123.28,0.003834618159316797,0.0035055896375560166,5.368465423043516e-18,4.907825492578424e-18,24.860694688516915,0.7049655752818254,2.6662214457386177,,,,,,,,0.010591778029954292,0.0027391074275817315,1.4828489241936008e-17,3.834750398614424e-18,23.757577823106885,0.24972531527438946,0.32487872591234535,13.0,14.95269966647561,38.0,33.12244945582295,1411.7270607624448,9.539265443277012,,0.8698809701714919,439.8110046386719,201.00875854492188,202.93454675380818,150.2850056096647,2.1301407410745514,10.84615421295166,0.0
760476718.995,760478151.995,760477307.5891666,760476726.25,760477786.52,0.0022261342121596087,0.002538719320942844,3.1165878970234523e-18,3.554207049319982e-18,25.45112163971214,0.8262455282009817,,-0.00432715128610314,0.00332961581766959,-6.058011800544396e-18,4.6614621447374266e-18,,,,0.005663198200624733,0.0020027125363799116,7.928477480874627e-18,2.8037975509318766e-18,24.437345596670326,0.32875499156724786,0.47380762747431504,6.0,7.996248640742236,23.0,16.85076641145772,1411.9669411994328,4.853020726499824,14.106043206288478,0.752037946380881,617.5217895507812,541.2633056640625,259.36663327520125,150.28550420346218,2.130142001364075,18.83333396911621,8.0
760518165.995,760519094.995,760518837.6458334,760518524.285,760519035.74,0.0032529044510670358,0.003850713475082415,4.55406623149385e-18,5.3909988651153814e-18,25.03932173311398,0.8480207194085487,,-0.0014884678160862136,0.0044709196819055245,-2.083854942520699e-18,6.259287554667734e-18,,,,0.008437466553207746,0.0030305841120135315,1.1812453174490845e-17,4.242817756818944e-18,24.00446983933892,0.3331938467588671,0.4831628430174142,6.0,7.751244645455924,21.0,16.537847134558795,918.6696737196622,4.7628999747529335,9.118654888402064,0.7744032698312018,592.33837890625,647.2158813476562,313.2247499652329,150.28452492249681,2.1303590642226733,18.16666603088379,32.0
760530099.995,760531422.995,760530793.0805554,760530171.875,760531363.88,0.004395832743638586,0.004220416696232587,6.154165841094021e-18,5.908583374725622e-18,24.712397100844704,0.7306927590183108,3.49742959674726,,,,,,,,0.013800452346378573,0.003254696775826593,1.9320633284930004e-17,4.55657548615723e-18,23.47026669553378,0.22990549810072025,0.29203905187204526,18.0,17.979001811701977,42.0,42.54230340309192,1302.783514659207,12.252183380090475,,1.002726204072944,415.9313049316406,514.5930786132812,115.69520362959985,150.28429366202238,2.1299888532209774,13.61111068725586,0.0
760535929.995,760537341.995,760536689.3821428,760535958.55,760537340.99,0.005520304369087149,0.004190563455930992,7.72842611672201e-18,5.8667888383033895e-18,24.465092440563403,0.6132375479738421,1.5454899813564893,,,,,,,,0.014959915417595773,0.003281302666821872,2.0943881584634083e-17,4.5938237335506205e-18,23.382677154844547,0.21531174389325614,0.26884470021473916,21.0,20.785749695383963,44.0,45.54053908372034,1389.4296267835762,13.11567525611146,,1.0113330901585114,92.44583892822266,502.090087890625,324.0554706189672,150.28476297513856,2.1302208965196243,8.285714149475098,32.0
760541850.995,760543261.995,760542635.2153572,760542030.62,760543250.545,0.002871630003182648,0.0037785503112025007,4.020282004455708e-18,5.289970435683501e-18,25.174678794367864,0.9117623469041263,,,,,,,,,0.011368861303434844,0.002858429370085328,1.5916405824808784e-17,4.001801118119459e-18,23.680707579353626,0.24351309070839378,0.3144134142334245,14.0,15.818999248333215,46.0,41.053197598000914,1391.4321607172621,11.823320908224265,,0.8851172751236539,342.36187744140625,198.5132598876953,209.5687467471304,150.2848282599157,2.130389255730131,8.642857551574707,0.0
