t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
760447113.995,760448557.995,760447851.7282563,760447115.83,760448546.245,0.05312194239105927,0.016446526826028728,1.0943120132558209e-17,3.3879845261619177e-18,23.26681513369083,0.2928462518346393,0.4022472575957039,0.04911692543726375,0.016542375682983505,1.0118086640076333e-17,3.407729390694602e-18,23.351922066160576,0.315162705593643,0.44588187982974503,0.1978651483692388,0.012498557020304205,4.0760220564063194e-17,2.5747027461826663e-18,21.839076737372462,0.06650376727510832,0.07084460288821859,238.0,250.62180781976792,670.0,636.5833177232635,1266.6293679576113,183.3359955042999,188.40886759714542,0.9497969870246294,654.5390014648438,349.23046875,259.55278571046864,150.26220404210227,2.6578879745521435,12.029411315917969,0.0
760453033.995,760454476.995,760453783.7001429,760453035.4,760454475.775,0.10174033082698963,0.0166029713713011,2.0958508150359863e-17,3.420212102488026e-18,22.561267136289317,0.16412634495933887,0.1934324228102362,0.0733753254124252,0.017264804695665423,1.511531703495959e-17,3.556549767307077e-18,22.91612489921577,0.2294261998598941,0.29126435313153465,0.22528732227685505,0.013342726881258133,4.6409188389032136e-17,2.7486017375391755e-18,21.698158117229696,0.06247094400071873,0.06628601651814492,245.0,285.0915292354616,633.0,542.8592556229853,1265.4574893704553,156.3434656194198,192.23817415731386,0.8596601354217833,342.2834167480469,271.5944519042969,140.78064058682773,150.262095991672,2.6580555796233507,13.983673095703125,0.0
760470797.995,760472232.995,760471538.935388,760470801.71,760472232.93,0.10021150191799293,0.016292970268733244,2.0643569395106542e-17,3.3563518753590483e-18,22.57770607209913,0.16356256380334244,0.1926492372620352,0.06238340376942429,0.01719242098540821,1.2850981176501403e-17,3.541638722994091e-18,23.092327332285194,0.2642802035688945,0.3500432022472779,0.2168121580840468,0.013138655865313318,4.466330456531364e-17,2.7065631082545433e-18,21.739790919255228,0.06387829718203264,0.06787275258328052,245.0,272.31112826121847,565.0,508.4991881971125,1255.977204726949,146.44776620076843,193.95899517354434,0.899844098304134,464.22882080078125,516.5535278320312,133.07917294434526,150.2620392440612,2.658042323089155,14.448979377746582,0.0
760518165.995,760519094.995,760518576.3797581,760518168.44,760519092.49,0.033348990993423706,0.018787636813834063,6.869892144645284e-18,3.870253183649817e-18,23.772293253890123,0.48515059791463244,0.8997023324695732,,,,,,,,0.16068793962210076,0.014032895174295455,3.3101715562152755e-17,2.8907764059048638e-18,22.065041794590165,0.09090353468900858,0.09921569074663594,124.0,131.12092437001016,381.0,360.7924925912864,815.9972968623215,103.9082378662905,,0.9459173825275469,655.7892456054688,338.9215393066406,262.9804489464665,150.26193162020905,2.6580984161477823,11.943548202514648,0.0
760535929.995,760537341.995,760536607.4505242,760535956.25,760537332.745,0.05605574907814887,0.016167095714357354,1.1547484310098667e-17,3.330421717157615e-18,23.20844959884664,0.2751360760826316,0.3694269640856014,0.043294244962843446,0.016482870753073392,8.91861446234575e-18,3.3954713751331188e-18,23.48892457476279,0.35026196531815756,0.5202777397368195,0.189789443853038,0.012382700320048243,3.909662543372583e-17,2.550836265929938e-18,21.884319867072502,0.06862315983283906,0.07325482271834005,229.0,234.91642410594997,590.0,574.7641658608928,1237.773921124168,165.53207976793718,181.32793675618097,0.9750159598258099,366.1289367675781,662.5122680664062,264.68838246108095,150.2620328557835,2.658144324839828,11.218340873718262,0.0
760541850.995,760543261.995,760542532.300673,760541855.71,760543259.955,0.07236497322793134,0.01583156341005298,1.4907184484953855e-17,3.261302062470914e-18,22.931178985568796,0.21480781380241964,0.26805806252561126,0.03493909603521985,0.016759821080325338,7.197453783255289e-18,3.4525231425470195e-18,23.721720838823074,0.4254244549878834,0.7093377655802584,0.191213378560643,0.012432510126252651,3.938995598349246e-17,2.5610970860080463e-18,21.87620431216082,0.06839342900866896,0.07299308147022998,208.0,236.5477965836201,581.0,510.50676671747135,1237.0881073501841,147.0259488146318,193.32505639688367,0.8797235330996014,492.60870361328125,477.22357177734375,120.5813087629386,150.26205742903545,2.658047836129276,14.802885055541992,0.0
760559613.995,760561019.995,760560319.2017112,760559615.07,760561009.74,0.050030470312009516,0.016433302619423502,1.030627688427396e-17,3.3852603396012415e-18,23.331913536267866,0.3083760140742342,0.43232979610034405,0.040484491631989396,0.01666969015555957,8.339805276189816e-18,3.4339561720452713e-18,23.561778274587382,0.37439830414596287,0.5761043116071995,0.18973599495618432,0.012471266250039924,3.908561496097397e-17,2.5690808475082244e-18,21.8846256774181,0.0691175447392105,0.07381849672334795,225.0,231.46128285878524,608.0,591.765605605549,1219.9123466911828,170.42849441439816,182.0737516674055,0.9723161327489998,396.81231689453125,664.1737670898438,264.1929986620007,150.26210495033817,2.6580228281278813,11.51111125946045,0.0
760572742.995,760572858.995,760572805.7539285,760572744.51,760572849.76,0.003003743158292125,0.05545024442784285,6.187710906081777e-19,1.1422750352135626e-17,26.385843013478315,3.222878370981906,,,,,,,,,0.1566533179405692,0.03939856025449524,3.227058349575725e-17,8.11610341242602e-18,22.092651005657885,0.24357852375119649,0.31452281054619746,14.0,15.80951300537907,61.0,53.84157670948352,100.92038402516856,15.506374092331257,,0.8856999464748484,527.1647338867188,434.53741455078125,131.77140261958402,150.26196386100364,2.658138782695942,15.285714149475098,0.0
760618825.995,760620215.995,760619513.8975,760618840.275,760620212.85,0.09633880309990607,0.01645733619512227,1.984579343858065e-17,3.390211256195187e-18,22.62049688400806,0.17123247196592573,0.2033880373754826,,,,,,,,0.21302699541657263,0.013228402047135589,4.388356105581396e-17,2.725050821709931e-18,21.758913394952742,0.06541076586954375,0.06960553914169054,220.0,259.33104636878636,581.0,493.2354633620954,1217.3623622755722,142.0518134482835,,0.848668589275065,391.0140686035156,262.9403076171875,137.35394511674397,150.26199360669708,2.658085185069292,14.686363220214844,0.0
760630667.995,760632055.995,760631356.9935087,760630668.825,760632054.865,0.057821304722734446,0.01641294923426254,1.1911188772883295e-17,3.3810675422580832e-18,23.17478028203131,0.2712911527689066,0.36249976031114883,0.043944260812855566,0.016757005614496532,9.052517727448247e-18,3.4519431565862853e-18,23.472744591012628,0.35073897095255546,0.5213419994686781,0.1926924837448306,0.01258841796905031,3.9694651651435104e-17,2.593214101624364e-18,21.867838063281027,0.06870943005758079,0.0733531443417732,228.0,234.30806686553854,584.0,569.4415234544932,1215.9688967205207,163.9991587548941,180.87321252773174,0.9732824577900383,597.4835815429688,573.552001953125,262.9069462014572,150.26200824771126,2.658028665609033,11.311403274536133,0.0
