t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
746248470.995,746249469.995,746248966.9599365,746248474.75,746249465.585,0.18287683818647693,0.021726589564027513,3.7672628666414245e-17,4.475677450189668e-18,21.92460323883464,0.12188550192137271,0.13731931147040655,0.14816753156800982,0.02261244418184302,3.0522511503010026e-17,4.658163501459662e-18,22.15311738572506,0.15420975460579456,0.1797968276466726,0.30000771963560074,0.0184254280082793,6.180159024493375e-17,3.795638169705536e-18,21.387168925267428,0.0647145997022669,0.06881772705845535,236.0,265.11218546017676,404.0,359.398436706755,883.6845457916575,103.50674977154544,134.17882762542894,0.8904533835554348,567.0678100585938,320.81158447265625,184.88498671202487,334.08400828957963,-18.042594652477256,15.029661178588867,0.0
746254400.995,746255274.995,746254824.7118251,746254402.38,746255269.56,0.1493662992326517,0.022603553613909134,3.076945764192625e-17,4.6563320444652814e-18,22.144368447872854,0.15299924697417921,0.17815245906445298,0.12337406573442689,0.023335620257292862,2.541505754129194e-17,4.80713777300233e-18,22.351940307648103,0.18808727654210955,0.2276423561058749,0.2721222886664019,0.018764074880259912,5.605719146527879e-17,3.8653994253335416e-18,21.493089712728167,0.07239811884298675,0.07757281594022913,200.0,210.31677566871085,346.0,329.42761611187444,772.8759621250312,94.87515344021986,114.96392591293883,0.95125820694348,218.2904510498047,428.6563415527344,183.95528285665077,334.0839904838877,-18.042577927146677,13.920000076293945,0.0
746260305.995,746261396.995,746260867.0939256,746260318.54,746261394.275,0.13533418407374787,0.02034300045972357,2.787884191919206e-17,4.190658094703056e-18,22.251481227658395,0.152043649296008,0.17685741177403358,0.11787063159539468,0.020785995822544097,2.4281350108651305e-17,4.281915139444084e-18,22.40148597337079,0.17633755469809387,0.210637762544863,0.2659956821468816,0.01665883559698315,5.47951105222576e-17,3.4317201329785288e-18,21.517813532811456,0.06595336105689853,0.07022031093264047,242.0,254.95286066242673,458.0,434.85097466978715,958.4849596229271,125.23708070489873,141.97563309698594,0.9495326664784348,221.00677490234375,427.19500732421875,181.04735030986936,334.0838630345273,-18.0425371557195,13.512396812438965,0.0
746289897.995,746291547.995,746290751.5523046,746289899.11,746291539.555,0.17013459618540613,0.016795866701030678,3.5047726814193665e-17,3.4599485404123194e-18,22.003018413430606,0.10221861692356526,0.11285193529420212,0.14171356371943475,0.01736625697833339,2.919299412620356e-17,3.5774489375366784e-18,22.20147145118812,0.12550918321741733,0.14193759068249534,0.2907973420229236,0.014119970140191921,5.990425245672226e-17,2.9087138488795356e-18,21.421023918449734,0.05147912550509659,0.054041977231648275,384.0,424.143981287495,676.0,611.0877703115914,1458.5552204052115,175.99327784973835,217.4469231222869,0.9056419360062352,576.18798828125,366.3932189941406,179.3644974463165,334.08404020540337,-18.042577405014928,14.411458015441895,0.0
746331313.995,746332403.995,746331861.8206121,746331329.405,746332398.86,0.14929928294068626,0.02023567642667126,3.075565228578137e-17,4.1685493438942794e-18,22.144855695283063,0.13800386158417766,0.1581348128842528,0.12414788414119267,0.02086989590387833,2.557446413308569e-17,4.299198556198936e-18,22.345151694374124,0.16870482585941105,0.1998288814425564,0.2721770316350751,0.01679634561073557,5.606846851682547e-17,3.4600471958115275e-18,21.49287131663239,0.06501590061871809,0.06915856019386979,245.0,262.58707287314525,442.0,411.625836932643,964.7657309497455,118.5482410366012,142.8134486838032,0.9331932382451177,517.5493774414062,538.9232177734375,181.98218751676805,334.0839929911551,-18.042588789580662,14.0,0.0
746337231.995,746338030.995,746337628.023075,746337234.805,746338029.49,0.20358508707746198,0.024511765802386794,4.193852793795717e-17,5.0494237552916796e-18,21.80813509478186,0.12343332785134109,0.13928768384041135,0.1641004648171987,0.02562526606869345,3.380469575234293e-17,5.278804810150851e-18,22.042225471997696,0.15754105836475318,0.1843445351359989,0.3142628496946951,0.021079339617316607,6.473814703710719e-17,4.342343961167221e-18,21.336767389217112,0.0704878775667801,0.07538376069469521,200.0,222.2655152564131,302.0,271.7984187202436,707.2599114796516,78.27794459143017,106.20383503603146,0.9000604485047462,574.769775390625,366.7143249511719,177.91124347141664,334.08414253759634,-18.04249316536491,14.760000228881836,0.0
746343150.995,746344059.995,746343579.8587962,746343155.895,746344054.245,0.15979520219588325,0.022542610951247977,3.291781165235195e-17,4.643777855957083e-18,22.071090660977056,0.14328251553038385,0.1651079579913315,0.13709475631640475,0.023162305149552635,2.8241519801179375e-17,4.771434860807843e-18,22.237447890130547,0.1694908278562437,0.20093350741069216,0.2835420036777971,0.018808825675700587,5.840965275762619e-17,3.874618089194321e-18,21.448456489950214,0.06973440050218827,0.07452257708089505,216.0,227.25395248987903,362.0,344.37810824981307,801.4824948056691,99.18089517594618,117.37490517263167,0.9507268490849606,218.20411682128906,428.7732238769531,184.05879917298378,334.08400245189017,-18.0425315989112,13.282407760620117,0.0
746349070.995,746350225.995,746349650.2135531,746349072.415,746350218.495,0.15583822495846736,0.019900902460940707,3.210267434144427e-17,4.099585906953785e-18,22.098315017936187,0.13048618221109365,0.1483382031945908,0.13550087553318482,0.02039400172623677,2.7913180359836074e-17,4.2011643556047745e-18,22.25014474651264,0.15222435753608465,0.17710210585313746,0.2806058882422592,0.016557450151318737,5.780481297790539e-17,3.4108347311716597e-18,21.459758049909464,0.06224612155168785,0.06603294289709893,273.0,287.2146892766086,465.0,443.42423077663443,1023.5518972026838,127.70617846367074,148.52251105199258,0.9507973605615934,215.70599365234375,427.12774658203125,186.2798846099301,334.08396876008226,-18.04257782782102,13.175824165344238,0.0
746360900.995,746362570.995,746361739.9657907,746360901.825,746362565.535,0.1757782933405173,0.016602941421115524,3.6210328428146566e-17,3.420205932749798e-18,21.96758689119429,0.0979936608005545,0.1077235620186201,0.14418838793593902,0.017234024203092325,2.970280791480344e-17,3.5502089858370186e-18,22.18267428417338,0.12258386590946557,0.13820663274466227,0.2917860638344405,0.014044199199910675,6.010792914989474e-17,2.893105035181599e-18,21.417338636352607,0.05103978196786585,0.05355799656000926,392.0,431.65336352380916,657.0,595.8887365415954,1479.348800457891,171.61595612397954,218.34844479082074,0.9084313513332977,578.0125732421875,365.98876953125,181.23255786503594,334.08402786976177,-18.042493674674205,14.627551078796387,0.0
746372735.995,746374407.995,746373630.4661337,746372746.285,746374407.295,0.1374095279906363,0.015997029622024424,2.830636276607108e-17,3.2953881021370314e-18,22.234957880522128,0.11956769210542006,0.13438362970699913,0.10996312713863211,0.01656869091889275,2.2652404190558213e-17,3.4131503292919064e-18,22.47688229539488,0.15238166587909774,0.17731519259085715,0.2573451264876253,0.01321189197500839,5.3013096056450815e-17,2.7216497468517284e-18,21.553710129633934,0.05435714052497431,0.05722260757735498,344.0,379.4039675274214,678.0,613.9620660529151,1474.3001847585615,176.8210750232396,217.2853088703069,0.9069529565687522,577.3820190429688,366.5731201171875,180.50411900690827,334.0839894293842,-18.04248810198463,14.598836898803711,0.0
746786966.995,746788533.995,746787760.2110226,746786977.545,746788530.835,0.17280845415194276,0.01691813263629381,3.559854155530021e-17,3.485135323076525e-18,21.986087536851645,0.10140802124736226,0.11186458125107279,0.1391003864973588,0.017620087182975603,2.8654679618455913e-17,3.629737959692974e-18,22.221679158243518,0.12949349730230253,0.14705620850045875,0.2853798035079434,0.014326798710658496,5.878823952263634e-17,2.95132053439565e-18,21.441441913507344,0.05318268875204524,0.05592252129868669,352.0,396.7785179143868,611.0,543.4508850629206,1390.3524812797157,156.51385489812117,203.37995040081648,0.8873502483477267,566.1222534179688,320.7650451660156,184.05102865294552,334.0841163163696,-18.042507715811222,14.84375,0.0
746822469.995,746824172.995,746823329.508989,746822475.025,746824172.465,0.13508281783587384,0.015871321714716235,2.782706047419001e-17,3.2694922732315443e-18,22.253499721331444,0.12061228881550079,0.13570493249778437,0.1143946115422138,0.01629696162691109,2.356528997769604e-17,3.3571740951436846e-18,22.433986080304113,0.14460504458574164,0.16686741146623163,0.25784579682559466,0.013063324775738133,5.31162341460725e-17,2.6910449038020555e-18,21.551599859211407,0.05365892951334317,0.05644934979844862,366.0,389.59436266196025,686.0,644.0617957785516,1510.958749215057,185.4897971842229,216.74882348919456,0.939779356990993,212.24624633789062,378.2562255859375,189.00863403554266,334.08396221346595,-18.04254145535964,13.019125938415527,0.0
746846141.995,746846380.995,746846263.4197825,746846153.415,746846377.575,0.11125165959058173,0.04166588624935226,2.2917841875659834e-17,8.583172567366565e-18,22.464233754335982,0.34537705295968735,0.5094651003356496,0.08565364520092282,0.04309523082082585,1.76446509113901e-17,8.877617549090125e-18,22.74813537459616,0.4424939904387841,0.759401028243829,0.23902776870593892,0.03363472207193916,4.923972035342342e-17,6.928752746819467e-18,21.633879106466296,0.14294260067296705,0.16465655121794853,46.0,50.50344782475516,103.0,93.7410561428522,211.28694836659932,26.99742416914144,32.405950513776766,0.9110010960980969,575.7549438476562,413.4042663574219,176.26535292981862,334.08405915921566,-18.04255904229516,14.67391300201416,65.0
747432117.995,747433739.995,747433284.5664705,747432119.78,747433738.605,0.15084581094305805,0.025229534014371686,3.1074237054269954e-17,5.197284006960567e-18,22.133666864693232,0.16791323447273498,0.1987183416942706,0.13563527742092882,0.02567212584851981,2.7940867148711335e-17,5.288457924795081e-18,22.249068349979947,0.18820409990441433,0.22781370416467084,0.2903036840494607,0.02073584417380866,5.980255891418891e-17,4.2715838998045845e-18,21.422868631982993,0.07490759328303653,0.08046117170501077,187.0,196.00251918462146,342.0,326.9336745789062,675.1637335447227,94.15689827872501,104.42649888073294,0.9543289231055329,231.03057861328125,467.98028564453125,182.13177811703972,334.0840165086758,-18.04267853933721,13.647058486938477,4.0
747439391.995,747439658.995,747439523.4556249,747439395.565,747439647.835,0.09005358683205728,0.03849613591897388,1.8551038887403797e-17,7.930203999308618e-18,22.693747461404644,0.38642532219826364,0.6055239461854178,,,,,,,,0.21912275885646712,0.03053876931907399,4.5139288324432225e-17,6.290986479729242e-18,21.728281281880246,0.14166034312174958,0.16295667037621087,48.0,51.48395613234878,113.0,105.29662727675742,234.95485544736377,30.32542865570614,,0.9327331756968719,216.7243194580078,378.4284973144531,184.54079442292138,334.08398242056944,-18.04259671696016,12.770833015441895,0.0
747515681.995,747516605.995,747516169.0583935,747515696.99,747516602.34,0.1874454721776636,0.022784411375165962,3.8613767268598704e-17,4.693588743284188e-18,21.8978126141931,0.12454873856684756,0.14071011341410156,0.15563559415626624,0.023621764110435216,3.2060932396190843e-17,4.866083406749655e-18,22.099727680032867,0.1534201597671938,0.17872374199112429,0.3062053563683781,0.019340491226900076,6.307830341188589e-17,3.984141192741415e-18,21.36496804143532,0.0664984419407304,0.07083855945181483,221.0,250.66319206778985,383.0,337.56317272192723,818.6113889080091,97.21819374391507,123.25812217200553,0.8819522476827386,281.25982666015625,258.2964172363281,184.87599663784627,334.08401972613024,-18.042537136617522,12.891402244567871,0.0
747668906.995,747670509.995,747669715.5913926,747668911.105,747670507.15,0.15902620040666224,0.01722134513223899,3.275939728377242e-17,3.5475970972412316e-18,22.07632829368573,0.11163598775448591,0.12444395390061302,0.1366798458826609,0.01767397445219463,2.8156048251828145e-17,3.640838737152094e-18,22.240738798935958,0.13203225633213833,0.15034022894935362,0.28931091818518334,0.0142999329453863,5.959804914614777e-17,2.945786186749578e-18,21.426587940956917,0.052381164202557784,0.05503695416069476,377.0,409.3187557105446,694.0,640.0262852702205,1414.8057677123204,184.32757015782352,215.94332142572492,0.9213050416483334,221.35462951660156,325.5972900390625,193.51984819310414,334.08406034055747,-18.042553943946313,13.021220207214355,0.0
747788721.995,747788904.995,747788798.6719445,747788723.48,747788899.62,0.13582919513967112,0.04846880313260897,2.798081419877225e-17,9.984573445317447e-18,22.24751718181559,0.33131872735074097,0.47919638281268817,0.09768472983509414,0.050849461949813275,2.0123054346029394e-17,1.0474989161661534e-17,22.605433300699733,0.4549993943322228,0.798134177744867,0.2574105086320481,0.03994482405057114,5.302656477820191e-17,8.228633754417655e-18,21.553434318134716,0.15662364666964024,0.183088840968189,36.0,41.52709204260927,78.0,68.10509309098556,161.3263275974859,19.614266810203844,25.767973315960965,0.8670883568333383,327.7595520019531,225.34722900390625,189.0033670164965,334.084263991866,-18.042549005578305,14.36111068725586,0.0
747822819.995,747824137.995,747823496.7684067,747822824.01,747824130.105,0.1571828512838273,0.018888215785373585,3.237966736446843e-17,3.890972451786958e-18,22.088987093563702,0.12320708421241378,0.1389995714668082,0.1252509889223343,0.0196039778641846,2.5801703718000865e-17,4.038419440022028e-18,22.335547091160425,0.15788056836674969,0.18480987234258706,0.2853363120214659,0.01569051041047255,5.877928027642197e-17,3.232245144557345e-18,21.44160739080954,0.05812037659807956,0.06140845242671489,295.0,330.70437822943836,577.0,515.7280486711725,1158.9985721991086,148.5296780172977,185.53866090192653,0.8922229054759265,576.2640991210938,332.824462890625,188.63081780266918,334.08406625684466,-18.042429670608634,14.810169219970703,0.0
747947735.995,747948745.995,747948204.698038,747947737.725,747948735.24,0.18192698654791745,0.021775549494738655,3.747695922887099e-17,4.485763195916163e-18,21.93025718527781,0.12274827499073382,0.13841571477073344,0.1488632159997305,0.02261463543652965,3.0665822495944486e-17,4.6586148999251075e-18,22.148031507162433,0.15355159040975508,0.1789022329308132,0.3014223610090496,0.018427153095697736,6.209300636786422e-17,3.795993537713733e-18,21.382061331757047,0.06442557001014038,0.06849096454184433,237.0,267.56816886248873,415.0,368.31345623514426,887.6852001516089,106.07427539572157,135.42449517255577,0.8860176313849578,270.89654541015625,263.0222473144531,188.230196083983,334.08405564969655,-18.04250210811208,12.983122825622559,0.0
748119280.995,748120418.995,748119858.8283334,748119284.615,748120418.005,0.13864480712936714,0.019078302784268787,2.856083026864963e-17,3.93013037355937e-18,22.225240980150293,0.13997930942449344,0.16073518893599825,0.09602521564388705,0.020161143231453012,1.9781194422640732e-17,4.15319550567932e-18,22.62403677216575,0.20692462644677434,0.2558728476180505,0.2518680265739292,0.015846215100252588,5.1884813474229414e-17,3.264320310652033e-18,21.577067401459615,0.06624608919527475,0.07055225038470425,219.0,252.6358537743945,454.0,394.3346660075963,1003.0485298626816,113.56838381018775,156.3179023930466,0.8671820991116806,326.5901184082031,234.21226501464844,181.31349587632687,334.08407529081273,-18.042479384806267,13.56620979309082,0.0
