t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
746248470.995,746249469.995,746248941.6982411,746248472.625,746249466.655,0.0062580791099414185,0.035162986861579135,1.2891642966479322e-18,7.243575293485302e-18,25.58889737782521,2.051950556009732,,,,,,,,,0.5494385752433798,0.024935090206076867,1.1318434650013623e-16,5.136628582451834e-18,20.730202131731566,0.04818843086449931,0.05042692280034444,452.0,485.5303778043615,1078.0,1003.3337723095688,883.6845457916575,480.00021000856464,,0.9311025186667653,571.41162109375,474.8066101074219,187.02398980278213,333.8989133449591,-18.22903221792768,13.891592979431152,0.0
746254400.995,746255274.995,746254836.9954302,746254405.525,746255274.495,0.107157192645964,0.03658432224022209,2.2074381685068583e-17,7.536370381485749e-18,22.504946681909693,0.3189022258030789,0.4534588635292458,,,,,,,,0.5707920723481013,0.02717590816376159,1.1758316690370884e-16,5.598237081734887e-18,20.688805168428264,0.05049999186369547,0.052963927058499394,395.0,441.1514720893791,838.0,749.0139470213763,772.8759621250312,358.3322537245124,,0.8958113590917953,253.915283203125,279.1020812988281,189.62344588130006,333.8987525363394,-18.229158754184237,13.387341499328613,0.0
746260305.995,746261396.995,746260844.9999585,746260307.6,746261396.24,0.0671611847674782,0.03322759289743817,1.3835204062100509e-17,6.844884136872263e-18,23.01220412806518,0.4364170437876673,0.7412212915830096,,,,,,,,0.5626992411336151,0.02422955921623813,1.159160436735247e-16,4.9912891985450545e-18,20.704309176357533,0.04577272806844235,0.047787684300526934,481.0,539.3387594178048,1111.0,992.8104024879432,958.4849596229271,474.9657739477205,,0.8922013550309079,256.01025390625,277.2981872558594,189.17923202836178,333.89886942882555,-18.22916841751208,13.284823417663574,0.0
746289897.995,746291547.995,746290738.2382045,746289900.985,746291544.48,0.04483064743517863,0.0267511527940154,9.235113371646798e-18,5.510737475567172e-18,23.45106247273876,0.5080690136775026,0.985971810035327,,,,,,,,0.5443040124546097,0.019317874037067896,1.121266265656496e-16,3.9794820516359866e-18,20.740396160438838,0.037865783517627705,0.03923424813315535,738.0,793.8974588531742,1635.0,1522.787185310674,1458.5552204052115,728.5094840024489,,0.9299351217109891,540.4876098632812,516.361083984375,182.41894197455562,333.89875952713834,-18.229131583219676,14.109756469726562,0.0
746331313.995,746332403.995,746331845.582121,746331315.54,746332400.67,0.04450962608040903,0.03374055490580327,9.16898297256426e-18,6.950554310595474e-18,23.458865135384297,0.6125785121516785,1.5406892463750808,,,,,,,,0.5714115485452351,0.02433680556527961,1.1771077900031844e-16,5.0133819464476e-18,20.68762746632882,0.0452845942875264,0.04725587119120078,521.0,551.2782803053698,1124.0,1062.565364083658,964.7657309497455,508.3369183656041,,0.9453109755205276,369.4566345214844,583.1696166992188,185.69869589335542,333.8986642309445,-18.22904027782013,14.3435697555542,0.0
746337231.995,746338030.995,746337628.9072912,746337232.165,746338027.725,0.11197958528469022,0.039252516665369844,2.3067794568646186e-17,8.086018433066187e-18,22.45715286310866,0.32626283407663337,0.468606929412978,,,,,,,,0.6008487060802058,0.029146945168194684,1.2377483345252238e-16,6.004270704648105e-18,20.633087174345185,0.05143105335477216,0.05398900091241643,395.0,424.9562026749495,775.0,722.7292837554886,707.2599114796516,345.7575310989714,,0.9298236078533885,539.2343139648438,516.9075927734375,181.80643397124476,333.89889716130955,-18.229131343113867,14.331645965576172,0.0
746343150.995,746344059.995,746343602.7130362,746343151.165,746344057.22,0.09245646981987556,0.03646778488524413,1.9046032782894363e-17,7.512363686360291e-18,22.665156732117676,0.36099330582843336,0.5445926006781789,,,,,,,,0.5791737531121964,0.026881742427324187,1.1930979314111246e-16,5.5376389400287825e-18,20.672977819102645,0.04925880321096443,0.05160027870711659,415.0,464.19762457032584,910.0,815.4077092078347,801.4824948056691,390.0953824781669,,0.8943999936912581,254.15345764160156,278.59771728515625,189.76229384752642,333.8986821139623,-18.229003623199343,13.250602722167969,0.0
746349070.995,746350225.995,746349648.79999,746349071.155,746350221.03,0.06479954832119103,0.03149391434304791,1.3348706954165353e-17,6.487746354667869e-18,23.051070053313406,0.43006206330493413,0.7226356843429897,,,,,,,,0.5400132650638625,0.02296927462268225,1.1124273260315568e-16,4.731670572272543e-18,20.748988929732946,0.04522624441294454,0.04719233345524643,497.0,552.7316019707322,1132.0,1016.7234465691577,1023.5518972026838,486.4059013487001,,0.8995695670813683,251.50889587402344,277.2640380859375,192.64922618978207,333.8987816439033,-18.229258994937005,13.18913459777832,0.0
746360900.995,746362570.995,746361756.5803003,746360904.495,746362570.7,0.040195268335695665,0.02695109855624618,8.280225277153306e-18,5.551926302586713e-18,23.569562669318874,0.5571189671744428,1.2053754821396403,,,,,,,,0.5573687988677521,0.019410469258581847,1.1481797256675694e-16,3.99855666726786e-18,20.7146433661416,0.03716747019401723,0.03848504284152199,766.0,824.5428640176647,1716.0,1599.22981005814,1479.348800457891,765.0800420211702,,0.929319321690152,542.0670776367188,516.0744018554688,183.45659245266253,333.89882403560097,-18.229130992082464,14.07180118560791,0.0
746372735.995,746374407.995,746373594.8372817,746372736.99,746374407.7,0.03717764526248782,0.026867359885251085,7.65859492407249e-18,5.534676136361723e-18,23.6542953020029,0.590508464239722,1.3925279824013224,,,,,,,,0.5507043226188253,0.019327081708493243,1.13445090459478e-16,3.981378831949608e-18,20.72770378654268,0.037450743050055024,0.038788839771125794,756.0,811.9034845842725,1698.0,1582.5335768525997,1474.3001847585615,757.0924753048985,,0.9314631223866554,541.5298461914062,516.7116088867188,183.44562412848532,333.8988030588393,-18.229319533048724,14.11111068725586,0.0
