t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
746248470.995,746249469.995,746248927.5257499,746248471.625,746249469.235,0.05314763534728013,0.01737301424088663,1.0948412881539706e-17,3.5788409336226455e-18,23.26629013351837,0.30708089369467473,0.4297722595127773,,,,,,,,0.15993136994874954,0.013452970773851049,3.2945862209442404e-17,2.771311979413316e-18,22.070165856590894,0.08769053516136083,0.09540018084449997,120.0,141.32888001099826,386.0,327.6497778098485,883.6845457916575,94.36313600923638,,0.8492760917320474,403.6886901855469,337.7145080566406,62.39462270028753,333.8604754394702,-17.869139191224022,15.574999809265137,0.0
746254400.995,746255274.995,746254797.1448585,746254402.525,746255269.22,0.048488577081548336,0.018927338969914557,9.988646878798957e-18,3.899031827802398e-18,23.365901400646376,0.35780750093540803,0.5372920502673857,,,,,,,,0.16268343864489196,0.014508308165461717,3.351278836084774e-17,2.9887114820851136e-18,22.051641641186222,0.09275036511184709,0.10142006296271688,106.0,125.73411916447934,362.0,306.45299826563866,772.8759621250312,88.25846350050394,,0.8432793857099972,380.9042663574219,455.869140625,59.04242472599102,333.86033714545465,-17.86914357515645,16.30188751220703,0.0
746260305.995,746261396.995,746260860.885,746260306.73,746261394.27,0.055914568218272905,0.017149483705115924,1.1518401052964218e-17,3.5327936432538804e-18,23.211187561119484,0.2904469443040689,0.3977106010615117,,,,,,,,0.16890479364111957,0.013274810692457327,3.479438749007063e-17,2.7346110026462093e-18,22.010895061650572,0.08214444794676723,0.08887176367619887,137.0,161.89270431322734,444.0,376.0396932368146,958.4849596229271,108.29943165220263,,0.8464545488143476,383.0010986328125,453.4615783691406,56.099046421584866,333.86044410875763,-17.86934230766584,16.59123992919922,0.0
746289897.995,746291547.995,746290712.097296,746289901.185,746291523.57,0.04929462648531699,0.01356430078179806,1.01546930559753e-17,2.7942459610504003e-18,23.348001049421836,0.26391846241321204,0.3494065128850856,0.004806015569550011,0.014645548500031434,9.900392073273022e-19,3.0169829910064753e-18,25.875537066477662,1.517923386477534,,0.15882728721945538,0.010435208264674178,3.271842116720781e-17,2.1496529025228808e-18,22.077687204539657,0.0690890533165529,0.07378599724772883,196.0,231.65836891673456,658.0,554.7202573564251,1458.5552204052115,159.75943411865046,224.64852981841867,0.8463376080194629,413.87554931640625,340.0548400878906,61.53009885999198,333.8606275365885,-17.869151013417273,16.489795684814453,0.0
746331313.995,746332403.995,746331832.0078261,746331325.125,746332386.54,0.06127837298690533,0.01688520148661165,1.2623344835302498e-17,3.4783515062419995e-18,23.111731935633046,0.26424296500157496,0.34997763276346916,,,,,,,,0.16817137937554355,0.013202771555394885,3.4643304151361974e-17,2.719770940411346e-18,22.015619784081665,0.08205826503768776,0.08877088712588588,138.0,162.24598374807323,421.0,358.07885222899426,964.7657309497455,103.12670944195037,,0.850790998034773,458.5242614746094,385.4521789550781,60.30529229100477,333.8603609836249,-17.86914937181781,15.601449012756348,0.0
746337231.995,746338030.995,746337654.5709695,746337252.005,746338029.48,0.05282880542557747,0.019707512767081416,1.0882733917668959e-17,4.059747630018772e-18,23.272823023866856,0.34421179344495556,0.5069087808890345,,,,,,,,0.1637593477312478,0.015216456497877727,3.373442563263705e-17,3.1345900385628114e-18,22.044484750443807,0.09647055694327022,0.10588556767203272,98.0,115.82042178036781,322.0,272.41918587325745,707.2599114796516,78.45672553149815,,0.8463756971946172,413.0920715332031,340.32708740234375,61.092215829171145,333.8605007289333,-17.869255344381504,16.071428298950195,0.0
746343150.995,746344059.995,746343639.5484298,746343152.145,746344057.16,0.07763622351171376,0.01868259761746208,1.5993062043413033e-17,3.848615109197189e-18,22.854838995802993,0.23411689206403707,0.2988847012537157,,,,,,,,0.17869261783882542,0.014931597860981293,3.681067927479804e-17,3.075909159362146e-18,21.94973347181487,0.08713265082552724,0.09474019157083902,121.0,143.2190051488178,332.0,281.23239944916287,801.4824948056691,80.99493104135892,,0.845070558341433,380.7716979980469,455.0392150878906,58.301310408681225,333.86057508166357,-17.869071753009404,16.11570167541504,0.0
746349070.995,746350225.995,746349612.2778289,746349074.16,746350203.065,0.07232012685043025,0.016518048320160402,1.4897946131188632e-17,3.4027179539530427e-18,22.93185205193483,0.22335112469316698,0.2815220081847265,,,,,,,,0.17579604311241492,0.01310537987424161,3.6213984881157474e-17,2.6997082540937715e-18,21.967477261064936,0.07806533470654031,0.08411616483650519,152.0,179.93637344843708,434.0,367.75336946090425,1023.5518972026838,105.91297040474045,,0.8449994692905264,378.6868591308594,453.2387390136719,57.346432369186665,333.8604641264276,-17.869177711552336,15.546052932739258,0.0
746360900.995,746362570.995,746361750.7110733,746360906.48,746362569.34,0.04620271261093642,0.013246609564410266,9.517758797852902e-18,2.7288015702685148e-18,23.418331314498342,0.27369858269316083,0.3668290551725697,,,,,,,,0.15289399451035843,0.01016622978276027,3.1496162869133835e-17,2.0942433352486155e-18,22.119023932025677,0.06989402045205395,0.07470490717285116,191.0,226.18354737611412,650.0,548.0334024209188,1479.348800457891,157.83361989722465,,0.8446877568018312,415.7455749511719,340.18377685546875,61.85388978729897,333.86038901360115,-17.869153457278582,15.858638763427734,0.0
746372735.995,746374407.995,746373582.8963947,746372736.93,746374400.82,0.04353175545372424,0.013335357502180229,8.967541623467193e-18,2.747083645449127e-18,23.482984548021182,0.29013749911817044,0.39712760146241877,,,,,,,,0.15285457582576228,0.010182308760813438,3.148804262010703e-17,2.097555604727568e-18,22.119303889463907,0.07001855937380341,0.07484720492498553,190.0,225.35352938111288,664.0,559.6342162250787,1474.3001847585615,161.17465427282272,,0.8434205373706832,415.0912780761719,340.441162109375,61.4410436504304,333.86057386520577,-17.869288447422356,15.778947830200195,0.0
