file,sn_name,band,ra,dec,total_epochs,t_mean_first,t_mean_last,disc_date,epochs_pre_disc,epochs_post_disc,t_delta_first,t_delta_last,t_delta_next
Adrian-FUV.fits.gz,Adrian,FUV,338.854025,-25.95266944444444,2,2007-08-18,2007-08-31,2006-04-20,0,2,485.0,499.0,485.0
Adrian-NUV.fits.gz,Adrian,NUV,338.854025,-25.95266944444444,2,2007-08-18,2007-08-31,2006-04-20,0,2,485.0,499.0,485.0
Aki-FUV.fits.gz,Aki,FUV,334.0044875,-17.62280277777778,96,2003-08-30,2008-08-22,2006-06-19,48,48,-1024.0,796.0,42.0
Aki-NUV.fits.gz,Aki,NUV,334.0044875,-17.62280277777778,109,2003-08-30,2009-09-21,2006-06-19,55,54,-1024.0,1191.0,42.0
ASASSN-13ch-FUV.fits.gz,ASASSN-13ch,FUV,244.1419166666667,-0.5909444444444445,1,2004-05-18,2004-05-18,2013-08-28,1,0,-3388.0,-3388.0,
ASASSN-13ch-NUV.fits.gz,ASASSN-13ch,NUV,244.1419166666667,-0.5909444444444445,1,2004-05-18,2004-05-18,2013-08-28,1,0,-3388.0,-3388.0,
ASASSN-13cj-FUV.fits.gz,ASASSN-13cj,FUV,244.295875,4.554083333333333,2,2006-07-10,2007-07-14,2013-08-27,2,0,-2605.0,-2235.0,
ASASSN-13cj-NUV.fits.gz,ASASSN-13cj,NUV,244.295875,4.554083333333333,4,2005-05-18,2007-07-14,2013-08-27,4,0,-3023.0,-2235.0,
ASASSN-13cp-FUV.fits.gz,ASASSN-13cp,FUV,233.45515,21.13940833333333,2,2006-07-18,2006-07-19,2013-08-30,2,0,-2599.0,-2599.0,
ASASSN-13cp-NUV.fits.gz,ASASSN-13cp,NUV,233.45515,21.13940833333333,2,2006-07-18,2006-07-19,2013-08-30,2,0,-2599.0,-2599.0,
ASASSN-13cu-FUV.fits.gz,ASASSN-13cu,FUV,10.041375,-10.43941666666667,2,2006-10-09,2006-11-22,2013-09-01,2,0,-2518.0,-2474.0,
ASASSN-13cu-NUV.fits.gz,ASASSN-13cu,NUV,10.041375,-10.43941666666667,2,2006-10-09,2006-11-22,2013-09-01,2,0,-2518.0,-2474.0,
ASASSN-13dd-FUV.fits.gz,ASASSN-13dd,FUV,136.903125,3.394361111111111,8,2004-01-13,2009-01-26,2013-09-24,8,0,-3541.0,-1702.0,
ASASSN-13dd-NUV.fits.gz,ASASSN-13dd,NUV,136.903125,3.394361111111111,8,2004-01-13,2009-01-26,2013-09-24,8,0,-3541.0,-1702.0,
Caleb-FUV.fits.gz,Caleb,FUV,218.1197833333333,33.536125,2,2006-04-14,2007-04-29,2005-12-12,0,2,123.0,504.0,123.0
Caleb-NUV.fits.gz,Caleb,NUV,218.1197833333333,33.536125,39,2005-05-22,2007-04-29,2005-12-12,13,26,-204.0,504.0,123.0
Cayanne-FUV.fits.gz,Cayanne,FUV,189.3629583333333,62.20213333333334,82,2004-01-25,2008-05-20,2004-08-27,44,38,-214.0,1362.0,545.0
Cayanne-NUV.fits.gz,Cayanne,NUV,189.3629583333333,62.20213333333334,131,2004-01-25,2011-03-09,2004-08-27,77,54,-214.0,2386.0,233.0
DES12C1a-FUV.fits.gz,DES12C1a,FUV,54.72708333333333,-27.54116666666667,24,2003-12-07,2008-12-12,2012-12-07,24,0,-3287.0,-1455.0,
DES12C1a-NUV.fits.gz,DES12C1a,NUV,54.72708333333333,-27.54116666666667,57,2003-12-07,2010-12-08,2012-12-07,57,0,-3287.0,-729.0,
DES12C1b-FUV.fits.gz,DES12C1b,FUV,53.77416666666667,-26.76497222222222,2,2007-10-12,2007-12-24,2012-12-07,2,0,-1883.0,-1810.0,
