Title: The ASAS-SN Bright Supernova Catalog -- II. 2015
Authors: T. W.-S. Holoien et al.
Table: Table 1 - ASAS-SN Supernovae
================================================================================
Byte-by-byte Description of file: table1.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label      Explanations
--------------------------------------------------------------------------------
   1- 11 A11    ---      SNName     Name of supernova
  13- 19 A7     ---      IAUName    IAU name of supernova (1)
  21- 33 A13    ---      DiscDate   Discovery Date
  35- 46 A12    ---      RA         Right Ascension (2)
  48- 59 A12    ---      Dec        Declination (2)
  61- 67 F7.5   ---      Redshift   Redshift of supernova
  69- 72 F4.1   mag      DiscMag    Discovery V-band Magnitude (3)
  74- 77 F4.1   mag      PeakMag    Peak V-band Magnitude (3)
  79- 84 A6     arcsec   Offset     Offset from host nucleus (4)
  86- 92 A7     ---      Type       Type of supernova
  94- 97 A4     d        DiscAge    Age of supernova at discovery, relative to peak (5)
  99-128 A30    ---      HostName   Host galaxy name
 130-155 A26    ---      DiscAtel   Discovery ATel
 157-186 A30    ---      ClassAtel  Classification ATel
--------------------------------------------------------------------------------
Note (1):   IAU name is not provided if one was not given to the supernova.
Note (2):   Right ascension and declination are given in the J2000 epoch.
Note (3):   All magnitudes are V -band magnitudes from ASAS-SN.
Note (4):   Offset indicates the offset of the SN in arcseconds from the coordinates of the host nucleus, taken from NED.
Note (5):   Discovery ages are given in days relative to peak. All ages are approximate and are only listed if a clear age was given in the classification telegram.
--------------------------------------------------------------------------------
ASASSN-15ab ---     2015-01-02.33 14:03:06.34  -38:28:24.6  0.01780 16.3 15.5 25.86  IIn     ---  ESO 325-G045                   Dong et al. (2015a)        Shappee et al. (2015b)         
ASASSN-15ad ---     2014-12-29.18 06:23:44.87  -16:05:51.0  0.02400 16.3 16.3 14.67  Ia      -4   PGC 902451                     Shappee et al. (2015a)     Shappee et al. (2015b)         
ASASSN-15ae ---     2015-01-01.63 15:51:05.81  +34:25:55.8  0.03124 17.4 16.4 4.98   Ia      -5   2MASX J15510599+3425520        Kiyota et al. (2015a)      Tomasella et al. (2015a)       
ASASSN-15aj ---     2015-01-08.30 10:52:53.26  -32:55:34.9  0.01092 15.0 14.7 6.36   Ia      -3   NGC 3449                       Dong et al. (2015b)        Simon et al. (2015)            
ASASSN-15ak ---     2015-01-09.22 00:12:01.55  +26:23:37.3  0.01503 15.1 14.7 3.36   Ia-91T  ---  UGC 00110                      Dong et al. (2015c)        Tomasella et al. (2015a)       
ASASSN-15al ---     2015-01-10.33 04:57:49.63  -21:35:34.1  0.03200 17.0 16.8 7.20   Ia      0    GALEXASC J045749.46-213526.3   Holoien et al. (2015a)     Fremling et al. (2015a)        
ASASSN-15ar ---     2015-01-13.28 02:28:20.36  +10:23:03.8  0.02882 17.6 16.6 21.06  Ia      -6   CGCG 439-010                   Kiyota et al. (2015b)      Ochner et al. (2015a)          
ASASSN-15as ---     2015-01-13.44 09:39:16.55  +06:25:48.5  0.02800 16.4 16.1 3.40   Ia      -1   SDSS J093916.69+062551.1       Gonzalez et al. (2015)     Morrell et al. (2015a)         
ASASSN-15az ---     2015-01-14.46 11:08:37.60  -10:14:57.8  0.02832 16.3 16.3 19.00  Ia      -1   2MASX J11083863-1014456        Brimacombe et al. (2015a)  Ochner et al. (2015a)          
ASASSN-15ba ---     2015-01-15.64 14:04:55.09  +08:55:14.5  0.02313 16.6 15.8 0.86   Ia      -5   SDSS J140455.12+085514.0       Conseil et al. (2015a)     Challis et al. (2015a)         
ASASSN-15bb ---     2015-01-16.27 13:01:06.38  -36:36:00.2  0.01587 16.3 16.3 10.24  II      -2   ESO 381-IG048                  Kiyota et al. (2015c)      Milisavljevic et al. (2015)    
ASASSN-15bc ---     2015-01-16.31 04:06:14.64  -08:53:08.3  0.03672 17.1 16.9 3.64   Ia      -7   2MASX J04061478-0853112        Brimacombe et al. (2015b)  Zhang & Wang (2015a)           
ASASSN-15bd ---     2015-01-17.63 15:54:38.33  +16:36:38.1  0.00795 16.8 16.0 1.08   IIb     ---  SDSS J155438.39+163637.6       Kiyota et al. (2015d)      Challis et al. (2015b)         
ASASSN-15be ---     2015-01-19.07 02:52:46.39  -34:18:52.5  0.02190 16.4 15.6 7.00   Ia      -10  GALEXASC J025245.83-341850.6   Brimacombe et al. (2015c)  Morrell et al. (2015b)         
ASASSN-15bf ---     2015-01-19.12 04:38:41.10  -41:37:26.2  0.04853 17.7 16.1 4.77   Ia      8    2MASX J04384102-4137212        Brimacombe et al. (2015d)  Fremling et al. (2015b)        
ASASSN-15bk ---     2015-01-19.62 15:44:12.43  +11:16:16.4  0.03428 17.2 17.1 6.99   Ia      -1   CGCG 078-056                   Kiyota et al. (2015e)      Morrell et al. (2015b)         
ASASSN-15bm ---     2015-01-22.36 15:05:51.58  -05:37:37.1  0.02060 16.6 15.5 0.14   Ia      -10  GALEXASC J150551.56-053737.2   Fernandez et al. (2015a)   Morrell et al. (2015b)         
ASASSN-15bn ---     2015-01-23.63 15:55:35.35  +66:43:19.3  0.02800 16.7 16.1 7.69   Ia      -2   GALEXASC J155536.57+664316.5   Brimacombe et al. (2015e)  Zhang & Wang (2015b)           
