,name,pgc,DM,eDM
0, NGC 2841                       ,26512,30.82,0.14
1, NGC 2841                       ,26512,30.82,0.14
2, NGC 4496A                      ,41471,30.84,0.2
3, NGC 4096                       ,38361,30.45,0.3
4, NGC 4382                       ,40515,31,0.24
5, NGC 4564                       ,42051,31.04,0.24
6, NGC 1084                       ,10464,31.42,0.3
7, NGC 4536                       ,41823,30.8,0.17
8, NGC 5236                       ,48082,28.34,0.14
9, NGC 3625                       ,34718,32.81,0.3
10, NGC 4419                       ,40772,30.65,0.28
11, MCG +00-32-01                  ,39697,32.06,0.4
12, NGC 2336                       ,21033,32.62,0.3
13, NGC 3627                       ,34695,29.77,0.13
14, NGC 4579                       ,42168,31.11,0.4
15, NGC 4639                       ,42741,31.75,0.13
16, MCG +03-44-03                  ,59955,35.41,0.17
17, PGC 63925                      ,63925,36.12,0.17
18, NGC 7479                       ,70419,32.83,0.4
19, IC 4919                        ,63956,33.58,0.17
20, UGC 2936                       ,14345,33.12,0.4
21, MCG -05-56-027                 ,72688,35.72,0.4
22, NGC 4374                       ,40455,31.13,0.15
23, IC 1151                        ,56537,32.95,0.18
24, NGC 1380                       ,13318,31.35,0.15
25, ESO 508-G67                    ,46839,34.9,0.17
26, UGC 10430                      ,58385,35.09,0.5
27, ESO 269-G57                    ,45683,32.85,0.2
28, IC 126                         ,5577,34.32,0.16
29, NGC 1808                       ,16779,29.84,0.3
30, IC 5270                        ,70117,31.95,0.4
31, NGC 3370                       ,32207,32.09,0.12
32, NGC 4948                       ,45224,29.93,0.54
33, NGC 2962                       ,27635,32.46,0.2
34, NGC 5308                       ,48860,32.09,0.17
35, NGC 673                        ,6624,33.85,0.15
36, MCG +03-41-115                 ,57118,36.56,0.4
37, NGC 5061                       ,46330,31.88,0.16
38, NGC 5061                       ,46330,31.88,0.16
39, NGC 4680                       ,43118,32.39,0.16
40, NGC 5490                       ,50558,34.2,0.17
41, NGC 105                        ,1583,34.1,0.17
42, IC 2060                        ,14823,34.33,0.5
43, NGC 4704                       ,43288,34.85,0.17
44, NGC 4462                       ,41150,32.56,0.54
45, UGC 646                        ,3773,33.89,0.15
46, NGC 2595                       ,23725,34.04,0.17
47, NGC 6063                       ,57205,33.05,0.15
48, NGC 6038                       ,56812,35.54,0.17
49, NGC 4501                       ,41517,31.5,0.3
50, NGC 5468                       ,50323,33.19,0.17
51, NGC 5468                       ,50323,33.19,0.17
52, NGC 5468                       ,50323,33.19,0.17
53, NGC 976                        ,9776,33.32,0.16
54, IC 5179                        ,68455,33.14,0.15
55, NGC 495                        ,5037,34.11,0.17
